"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"
15799	24281	"Kulzer Moos"	49.3912	12.4482	120	"AWI"	120	9389	10030	9791	0	0	1	0	0	4	1	0	0	46	0	0	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	300	"AWI"	300	13399	14042	13646	0	0	0	0	0	2	11	0	0	25	3	0	0	0	0	0	0	0	0	471	1	0	0	0	0	0	0	0	0	0	0	0	8	20	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	20	0	51	0	0	3	0	0	0	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	130	"AWI"	130	9532	10097	9882	0	0	0	0	0	4	0	0	0	128	0	0	0	0	0	0	0	0	6	70	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	396	0	0	0	3	0	0	0	0	3	0	4	0	0	0	0	0	4	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	110	"AWI"	110	9210	9951	9667	0	0	0	0	0	10	3	0	0	87	0	0	0	0	0	0	0	0	16	93	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	299	0	0	0	1	0	1	0	0	5	0	1	0	0	0	0	0	2	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	295	"AWI"	295	13326	13789	13503	0	0	1	0	0	0	2	0	0	12	4	0	0	0	0	0	0	0	0	344	0	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	13	2	15	0	0	2	0	0	0	1
15799	24281	"Kulzer Moos"	49.3912	12.4482	190	"AWI"	190	10320	11084	10715	0	0	2	1	0	2	3	0	0	199	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	275	0	0	0	4	0	0	0	41	1	2	28	0	0	0	0	0	0	1
15799	24281	"Kulzer Moos"	49.3912	12.4482	280	"AWI"	280	12902	13551	13204	0	0	1	0	0	1	6	0	0	70	4	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	18	34	0	0	0	0	0	0	271	0	0	0	1	0	0	0	0	31	0	12	0	0	4	1	0	0	2
15799	24281	"Kulzer Moos"	49.3912	12.4482	90	"AWI"	90	8475	9698	9221	0	0	2	0	0	4	1	0	0	76	2	0	0	0	0	0	1	0	52	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	338	0	0	0	6	0	5	0	0	6	0	3	0	0	0	0	0	5	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	200	"AWI"	200	10509	11252	10898	0	0	1	2	0	0	7	0	0	96	1	0	0	0	0	0	0	1	0	211	1	0	0	1	0	0	0	0	0	0	0	0	36	10	0	0	0	0	0	0	573	0	0	0	2	0	0	0	0	10	0	10	0	0	1	0	0	0	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	140	"AWI"	140	9658	10164	9974	0	0	1	0	0	3	5	0	0	245	0	0	1	0	0	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	409	0	0	0	6	0	0	0	0	2	1	18	0	0	0	0	0	4	2
15799	24281	"Kulzer Moos"	49.3912	12.4482	150	"AWI"	150	9766	10227	10064	0	0	1	0	0	4	4	0	0	374	0	0	0	0	0	0	0	0	3	15	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	502	0	0	0	3	0	1	0	0	0	1	56	0	0	1	0	0	5	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	115	"AWI"	115	9300	9985	9727	0	0	0	0	0	6	0	0	0	66	1	0	0	0	0	0	0	0	7	103	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	2	430	0	0	0	4	0	1	0	0	4	0	0	0	0	0	0	0	0	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	40	"AWI"	40	6964	8893	8048	2	0	7	0	0	1	0	0	0	73	0	0	0	0	0	0	0	0	68	232	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	0	0	0	7	232	0	0	0	0	0	26	0	0	11	0	11	1	0	0	0	7	13	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	180	"AWI"	180	10165	10913	10525	0	0	3	1	0	0	4	0	0	519	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	478	0	0	0	4	0	2	0	0	3	0	25	0	0	1	0	0	1	2
15799	24281	"Kulzer Moos"	49.3912	12.4482	80	"AWI"	80	8167	9544	8985	0	0	1	0	0	6	0	0	0	63	0	0	0	0	0	0	0	0	48	109	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	4	290	0	0	0	6	0	14	0	0	18	0	4	0	0	0	0	2	5	0
15799	24281	"Kulzer Moos"	49.3912	12.4482	290	"AWI"	290	13084	13712	13379	0	0	0	1	0	3	7	0	0	64	2	0	0	0	0	0	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	15	12	0	0	0	0	0	2	162	0	0	0	0	0	0	0	0	31	1	24	0	0	2	0	0	0	0
