"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
3227	4187	"Lavau"	47.34194	-1.93417	25	"AWI"	25	3	1466	541	0	0	38	4	0	0	1	0	5	0	1	0	0	0	0	6	12	37	0	2	3	0	0	0	0	0	1	1	0	205	0	1	0	2	0	0	83	1	0	0	0	25	1	0	0	0	0	2	0	0	0	0	1	1	0
3227	4187	"Lavau"	47.34194	-1.93417	30	"AWI"	30	17	1774	663	0	0	35	2	0	1	1	0	9	0	0	0	0	0	0	9	2	7	0	0	3	0	0	1	0	0	2	0	0	36	0	0	0	2	0	0	202	0	0	0	0	20	2	0	0	0	0	3	0	0	0	0	2	0	0
3227	4187	"Lavau"	47.34194	-1.93417	35	"AWI"	35	31	2079	784	0	0	31	2	3	0	2	0	4	0	0	0	1	0	0	6	3	3	0	0	4	0	0	0	0	0	1	1	0	34	0	0	0	1	0	0	185	0	0	0	2	24	1	2	0	2	0	4	0	0	0	0	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	40	"AWI"	40	131	2238	906	0	0	16	1	1	0	1	0	2	0	0	0	0	0	0	2	1	0	0	0	3	1	0	0	0	0	1	1	0	29	0	1	0	2	0	0	169	0	0	0	2	21	0	0	0	2	0	2	0	0	0	0	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	45	"AWI"	45	268	2285	1045	0	1	19	1	5	0	1	5	13	0	0	0	1	0	0	7	4	0	0	1	16	0	0	0	0	0	0	1	0	38	0	0	0	1	0	0	0	0	0	0	4	64	0	0	0	1	0	1	0	0	0	0	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	50	"AWI"	50	370	2335	1184	0	0	23	1	2	1	2	0	16	0	0	0	0	0	0	7	11	3	0	0	7	2	0	0	0	0	0	0	1	95	0	1	0	1	0	0	192	0	0	0	0	27	0	0	0	0	0	2	0	0	0	0	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	55	"AWI"	55	452	2391	1337	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	7	40	0	0	0	4	2	0	0	0	0	0	0	0	68	0	0	0	1	0	0	133	0	0	0	0	55	0	0	0	2	0	2	0	0	0	0	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	60	"AWI"	60	518	2440	1488	0	0	14	2	2	0	1	0	2	0	0	0	0	0	0	5	54	0	0	0	3	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	107	0	0	1	0	30	1	0	0	0	0	57	0	1	0	0	2	0	0
3227	4187	"Lavau"	47.34194	-1.93417	65	"AWI"	65	575	2513	1630	0	0	10	2	2	0	0	0	25	0	0	0	0	0	0	3	21	3	0	0	1	0	0	0	0	0	0	2	0	147	0	0	0	1	0	0	138	0	0	1	0	32	1	1	0	1	0	3	0	2	0	0	1	1	0
3227	4187	"Lavau"	47.34194	-1.93417	70	"AWI"	70	642	2652	1764	0	0	21	2	0	0	0	0	22	0	1	0	0	0	1	0	3	0	0	0	0	3	0	0	0	0	0	1	0	40	0	0	0	0	0	0	170	0	0	0	0	26	1	0	0	1	0	2	0	0	0	0	0	0	0
3227	4187	"Lavau"	47.34194	-1.93417	75	"AWI"	75	701	2806	1898	0	0	17	1	1	1	2	0	33	0	0	0	1	0	0	3	7	0	0	0	2	1	0	0	0	0	1	0	0	19	0	0	0	1	0	0	207	0	0	0	0	36	1	0	0	0	0	8	0	0	0	0	0	0	0
3227	4187	"Lavau"	47.34194	-1.93417	80	"AWI"	80	973	2825	2007	0	0	27	2	2	2	1	0	90	1	2	0	0	0	1	13	1	0	0	0	2	2	0	0	0	0	0	1	0	76	0	0	0	2	0	0	0	0	0	0	0	51	1	0	0	0	0	3	0	0	0	0	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	85	"AWI"	85	1227	2851	2115	0	0	16	1	0	0	0	0	13	0	0	0	0	0	0	10	0	0	0	0	2	0	0	0	0	0	0	0	0	192	0	0	0	2	0	0	296	0	0	0	0	21	1	1	0	0	0	3	0	0	0	0	1	1	0
3227	4187	"Lavau"	47.34194	-1.93417	90	"AWI"	90	1486	2878	2223	0	0	15	1	0	0	1	0	67	0	0	0	0	0	1	7	0	0	0	0	2	1	0	0	0	0	0	0	0	116	0	0	0	2	0	0	124	0	0	0	0	21	2	0	0	0	0	3	0	0	0	1	1	0	0
3227	4187	"Lavau"	47.34194	-1.93417	95	"AWI"	95	1727	2906	2340	0	0	18	2	2	0	1	0	69	0	0	0	1	0	1	4	5	0	0	0	4	1	0	0	0	0	0	1	0	42	0	18	0	2	0	0	0	0	0	0	0	25	1	0	0	0	0	0	0	1	0	0	1	0	0
