"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
15770	24236	"Chrást"	50.259284	14.573476	5	"AWI"	5	86	390	227	1	1	39	11	7	0	10	0	27	0	12	1	0	0	0	0	0	0	10	152	3	0	1	2	0	0	0	0	0	0	1	30	375	0	0	0	0	18	0	0	6	0	7	0	0	1	0	6	1
15770	24236	"Chrást"	50.259284	14.573476	10	"AWI"	10	234	813	504	3	2	34	10	4	1	9	0	26	2	12	0	1	0	0	0	0	0	8	175	1	1	1	2	0	0	0	0	0	0	1	29	391	3	0	0	0	8	0	0	3	0	5	0	0	2	0	5	0
15770	24236	"Chrást"	50.259284	14.573476	15	"AWI"	15	784	1501	1177	6	0	15	8	6	0	7	0	5	0	10	0	0	0	0	0	0	0	6	144	1	0	1	3	0	0	0	0	0	0	0	30	440	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0
15770	24236	"Chrást"	50.259284	14.573476	20	"AWI"	20	887	2653	1842	4	0	1	3	0	0	5	0	4	2	1	0	0	0	0	0	0	0	2	154	1	0	0	2	0	0	0	0	0	0	0	29	450	2	0	0	0	11	0	0	0	0	3	0	0	0	0	0	0
15770	24236	"Chrást"	50.259284	14.573476	25	"AWI"	25	2036	2832	2453	13	0	10	14	4	0	9	0	9	0	9	0	0	0	0	0	0	1	3	232	0	0	0	5	0	0	0	0	0	0	2	19	436	5	0	0	0	8	0	0	5	0	5	0	0	1	0	0	0
15770	24236	"Chrást"	50.259284	14.573476	30	"AWI"	30	2613	3540	3081	27	0	5	23	6	0	35	0	15	0	21	0	0	0	0	0	0	0	1	301	0	0	1	9	1	0	0	0	0	0	1	29	422	0	0	0	0	8	0	0	1	0	1	0	0	1	0	1	0
15770	24236	"Chrást"	50.259284	14.573476	35	"AWI"	35	2884	4329	3510	39	2	92	4	6	0	22	0	12	0	2	0	0	0	0	0	0	0	8	144	0	6	0	2	0	0	0	0	0	0	4	39	308	2	0	0	0	4	0	0	1	0	2	0	0	0	0	4	0
15770	24236	"Chrást"	50.259284	14.573476	40	"AWI"	40	2993	5387	3888	25	0	67	1	1	0	26	0	16	0	0	0	0	0	0	0	0	0	4	40	1	0	0	11	0	0	0	0	0	0	1	17	366	2	0	0	0	1	0	0	0	0	2	0	0	1	0	4	0
15770	24236	"Chrást"	50.259284	14.573476	45	"AWI"	45	3409	5726	4409	34	1	82	2	2	0	10	0	13	0	1	0	0	0	0	0	0	0	3	30	1	0	1	5	0	0	0	0	0	0	1	15	359	0	0	0	0	5	0	0	0	0	1	0	0	0	0	2	0
15770	24236	"Chrást"	50.259284	14.573476	50	"AWI"	50	3570	6541	4905	21	0	201	2	1	0	18	0	4	0	4	0	1	0	0	0	0	0	21	16	1	0	4	7	0	0	0	0	0	0	0	27	232	0	0	0	0	6	0	0	0	0	1	0	0	0	0	5	0
