"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	95	"AWI"	95	1175	3988	2244	68	0	86	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	19	7	0	0	0	0	0	37	0	0	0	0	0	0	0	2	1	35	0	0	0	25	0	0	0	0	0	0	2	0	0	0	0	0	2	5	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	100	"AWI"	100	1243	5126	2693	74	0	87	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10	3	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	23	0	0	0	26	0	0	0	0	1	0	0	0	0	0	1	0	5	10	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	105	"AWI"	105	1485	5939	3155	90	1	52	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	22	14	0	0	2	0	0	65	15	0	0	0	0	0	0	0	0	15	0	0	0	22	1	26	0	0	2	0	0	0	0	0	13	0	15	27	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	110	"AWI"	110	1873	6169	3717	56	3	26	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	32	14	0	0	0	0	0	27	14	0	0	0	0	0	0	0	0	8	0	0	0	33	0	1	0	0	7	0	0	0	0	0	8	0	21	29	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	115	"AWI"	115	2150	6465	4334	93	1	10	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	17	10	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	12	0	0	0	12	0	1	0	0	2	0	0	0	0	0	8	0	9	30	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	120	"AWI"	120	2399	6856	4894	105	1	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	2	4	0	0	0	0	0	0	0	0	18	0	0	0	12	0	0	0	0	4	0	0	0	0	0	7	0	16	20	0	1
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	125	"AWI"	125	2787	7366	5408	124	3	6	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	23	32	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	12	0	0	0	32	1	0	0	0	0	0	0	0	0	0	2	0	13	29	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	130	"AWI"	130	3902	7473	5895	50	0	2	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	20	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	22	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	135	"AWI"	135	4914	7598	6390	142	2	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	30	22	0	0	0	0	0	2	12	0	0	0	0	0	0	0	0	40	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	26	34	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	140	"AWI"	140	5683	7760	6929	155	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	34	0	0	0	0	0	1	6	0	0	0	1	0	0	0	0	19	0	0	0	16	3	0	0	0	0	0	1	0	0	0	0	0	5	24	0	0
3374	4375	"Grand Ratz le Pellet"	45.425	5.60833	145	"AWI"	145	6185	8098	7458	84	4	4	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	55	41	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	26	0	0	0	36	0	2	0	0	0	1	0	0	0	0	2	0	7	33	0	0
