"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	0	"AWI"	0	-91	75	-9	1.48148148148148	0	7.77777777777778	0	0	0.740740740740741	0	0	0.37037037037037	0.37037037037037	0	0	0	0	0.37037037037037	57.7777777777778	0	0	0	0	0	0	0.37037037037037	0	0	0	0.37037037037037	0	0	0	0	9.25925925925926	20	0	0	0	0.740740740740741	0.37037037037037	0	0	0	0	0	0	0	0	0	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	10	"AWI"	10	0	801	251	1.07913669064748	0	6.83453237410072	0	0	1.07913669064748	0	0	0	1.43884892086331	0.359712230215827	0	1.43884892086331	0	0	33.4532374100719	0	0	0	0.359712230215827	0	0	0.359712230215827	0.359712230215827	0	0	0	0	0	0	0	15.1079136690647	32.0143884892086	0	0	0	0.719424460431655	2.51798561151079	0	0	0.719424460431655	0.719424460431655	0.359712230215827	0	0.359712230215827	0.719424460431655	0	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	20	"AWI"	20	136	1191	560	2.97872340425532	0	6.38297872340426	0	0	0.425531914893617	0	0.425531914893617	0.425531914893617	0.851063829787234	0	0	0	0	0.425531914893617	34.0425531914894	0	0	0	0	0	0	0	0.425531914893617	0	0	0.851063829787234	0	0	0	0	16.1702127659574	33.1914893617021	0	0	0	0.425531914893617	2.12765957446809	0	0	0	0.425531914893617	0	0	0	0	0.425531914893617	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	30	"AWI"	30	344	1462	876	1.65745856353591	0	6.07734806629834	0	0	1.38121546961326	0	1.65745856353591	0	3.03867403314917	0	0	2.20994475138122	0	1.38121546961326	32.8729281767956	0.276243093922652	0	0	0.276243093922652	0	0	0.276243093922652	0	0	0	0.552486187845304	0	0	0	0	12.4309392265193	29.5580110497238	0	0	0	0	3.59116022099448	0	0	0	0.828729281767956	0	0	0	0.276243093922652	0	1.65745856353591	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	40	"AWI"	40	585	1750	1180	2.46085011185682	0	6.71140939597315	0	0	1.56599552572707	0	2.01342281879195	0	0.671140939597315	0	0	0.223713646532438	0	0.671140939597315	31.3199105145414	0	0	0	0.223713646532438	0	0	0	0	0	0	0.447427293064877	0	0	0	0	7.15883668903803	42.2818791946309	1.11856823266219	0	0	0.894854586129754	1.11856823266219	0	0	0	0.223713646532438	0.223713646532438	0	0	0.223713646532438	0.223713646532438	0	0.223713646532438
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	45	"AWI"	45	788	1853	1325	2.06611570247934	0	5.16528925619835	0	0	1.2396694214876	0	0.826446280991736	0	0.619834710743802	0	0	0	0	0.619834710743802	51.6528925619835	0	0	0	0	0	0	0	0.206611570247934	0	0	0	0	0	0	0	7.64462809917355	27.0661157024793	0	0	0	0.206611570247934	1.8595041322314	0	0	0.206611570247934	0	0	0	0.206611570247934	0.413223140495868	0	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	50	"AWI"	50	901	2002	1476	1.37362637362637	0	7.41758241758242	0	0	1.64835164835165	0	1.37362637362637	0	0.274725274725275	0	0	0.274725274725275	0	0.549450549450549	51.6483516483517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.34065934065934	22.2527472527473	0	0	0	0.274725274725275	1.37362637362637	0	0	0.274725274725275	0.824175824175824	0.274725274725275	0	0.274725274725275	0	0.549450549450549	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	60	"AWI"	60	1349	2231	1754	3.85542168674699	0	10.3614457831325	0	0	1.92771084337349	0	0.240963855421687	0	0	0	0	0	0	0.481927710843374	44.0963855421687	0	0	0	0	0	0	0	0	0	0	0.72289156626506	0	0	0	0	6.50602409638554	29.6385542168675	0	0	0	0.240963855421687	0.72289156626506	0	0	0	0	0.240963855421687	0	0.240963855421687	0.481927710843374	0.240963855421687	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	65	"AWI"	65	1767	2621	2095	2.25733634311512	0	11.7381489841986	0.225733634311512	0	2.25733634311512	0	0.451467268623025	0.225733634311512	0.451467268623025	0.225733634311512	0	0	0	1.58013544018059	45.1467268623025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.86907449209932	24.6049661399549	0.90293453724605	0	0	0	2.25733634311512	0	0	0.225733634311512	0.677200902934537	0.677200902934537	0.225733634311512	0	0	0	0	0
14550	22807	"Alp Lüsga Belalp 1"	46.23083	7.59028	70	"AWI"	70	1874	3511	2425	2.4822695035461	0.354609929078014	7.80141843971631	0	0	0.709219858156028	0	1.41843971631206	0	0.354609929078014	0	0	0.354609929078014	0	2.12765957446809	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60992907801418	28.3687943262411	0	0	0	0.354609929078014	0.709219858156028	0	0	0	0.354609929078014	0	0	0	0	0	0	0
