"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
16474	25765	"Buntes Moor"	46.995904	11.140446	5	"AWI"	5	-103	35	-29	8	0	237	1	0	0	0	7	0	0	33	0	1	0	0	0	0	0	0	0	23	0	557	0	0	8	0	48	0	0	1	0	0	4	0	3	0	0	0	0	4	112	132	0	0	172	0	0	0	3	0	0	9	0	11	0	4	0	2	0	0	4	1	0	4	7	0
16474	25765	"Buntes Moor"	46.995904	11.140446	10	"AWI"	10	-86	64	-13	3	0	237	2	0	0	0	11	0	0	17	0	0	0	0	0	0	0	0	0	11	0	1992	0	0	0	0	18	0	0	0	0	0	6	0	0	0	0	1	0	0	117	118	0	0	0	0	0	0	2	0	0	9	0	2	3	0	0	6	0	0	0	1	0	0	7	0
16474	25765	"Buntes Moor"	46.995904	11.140446	15	"AWI"	15	-61	103	7	0	0	85	5	0	0	0	3	0	0	15	0	0	0	0	0	0	6	0	0	16	0	261	0	0	15	0	6	0	0	0	0	1	11	0	0	0	0	0	0	1	48	167	0	0	358	0	0	0	5	0	1	0	2	17	104	7	0	2	0	0	3	0	0	1	16	0
16474	25765	"Buntes Moor"	46.995904	11.140446	20	"AWI"	20	-20	171	51	0	0	72	3	0	0	0	3	0	0	13	0	1	0	0	0	0	9	0	0	11	0	451	0	0	0	0	4	0	0	0	0	67	19	0	2	0	0	0	0	1	37	132	0	0	374	0	0	1	7	0	1	28	2	13	257	3	0	0	0	0	5	0	0	1	17	0
16474	25765	"Buntes Moor"	46.995904	11.140446	25	"AWI"	25	-3	276	91	2	0	79	2	0	0	0	4	0	0	30	0	0	0	0	0	0	5	0	0	18	0	336	0	0	0	0	5	0	0	0	0	1	29	0	3	0	0	0	0	1	67	89	0	0	450	0	0	2	4	0	0	0	1	19	21	2	0	1	0	1	8	0	0	2	23	0
16474	25765	"Buntes Moor"	46.995904	11.140446	30	"AWI"	30	42	409	172	2	0	60	0	0	0	0	6	0	0	17	0	1	0	0	0	0	5	0	0	16	0	363	0	1	6	0	10	0	0	0	0	3	11	0	1	0	0	1	0	0	32	51	0	0	268	0	1	13	2	0	0	16	3	8	13	2	0	1	0	0	1	0	0	0	11	0
16474	25765	"Buntes Moor"	46.995904	11.140446	35	"AWI"	35	84	665	299	2	0	39	2	0	0	0	4	0	0	15	0	0	0	0	0	0	1	0	0	12	0	603	0	0	5	0	15	0	0	0	0	3	11	0	1	0	0	1	0	1	34	60	0	0	275	0	0	0	2	0	1	0	3	10	6	0	0	2	0	0	3	1	0	0	12	0
16474	25765	"Buntes Moor"	46.995904	11.140446	40	"AWI"	40	109	1003	417	0	0	0	3	0	0	0	10	0	0	26	0	0	0	4	0	0	1	2	0	108	0	356	42	0	5	0	10	1	0	0	0	34	11	0	0	0	0	0	0	1	30	70	0	0	252	0	1	0	3	0	0	0	1	18	9	2	0	2	0	1	5	2	0	6	27	0
16474	25765	"Buntes Moor"	46.995904	11.140446	45	"AWI"	45	200	1186	545	2	0	72	1	0	0	0	12	0	0	24	0	0	0	0	0	0	5	0	0	18	0	296	0	0	8	0	16	0	0	0	0	2	4	0	0	0	0	0	0	0	18	44	0	0	0	0	0	0	2	0	0	0	0	25	8	2	0	0	0	0	9	2	0	5	60	0
16474	25765	"Buntes Moor"	46.995904	11.140446	50	"AWI"	50	272	1271	696	0	0	76	0	0	0	0	11	0	0	8	0	0	0	0	0	0	5	0	0	19	0	556	0	0	0	0	3	0	0	0	0	2	8	0	0	0	0	1	0	0	41	63	0	0	205	0	0	5	1	0	0	31	2	0	23	0	0	7	0	0	0	0	0	0	10	0
16474	25765	"Buntes Moor"	46.995904	11.140446	55	"AWI"	55	320	1436	831	5	0	88	0	0	0	0	15	0	0	19	0	0	0	0	0	0	3	1	0	25	0	717	0	0	0	0	15	0	0	0	0	1	5	0	1	0	0	0	0	0	107	71	0	0	0	0	0	0	1	0	0	0	1	19	39	0	0	4	0	0	2	0	0	0	20	0
16474	25765	"Buntes Moor"	46.995904	11.140446	60	"AWI"	60	465	1526	970	0	0	133	2	0	0	0	12	0	0	12	0	0	0	0	0	0	4	0	0	26	0	706	0	0	3	0	17	0	0	0	0	0	16	0	0	0	0	0	0	1	65	92	0	0	243	0	0	0	7	0	0	0	1	17	134	2	0	0	0	0	4	0	2	1	11	0
16474	25765	"Buntes Moor"	46.995904	11.140446	65	"AWI"	65	568	1608	1119	7	2	74	0	0	0	0	10	0	0	19	0	0	0	0	0	0	3	0	0	12	0	1384	0	0	0	0	22	0	0	1	0	3	8	0	1	0	0	0	0	0	115	112	0	0	145	0	0	0	3	0	0	0	1	11	10	5	0	7	0	0	1	0	0	1	28	0
16474	25765	"Buntes Moor"	46.995904	11.140446	70	"AWI"	70	646	1735	1259	6	0	80	1	0	0	0	12	0	0	25	0	0	0	0	0	0	3	0	0	18	0	587	0	1	4	0	17	0	0	0	0	3	9	0	0	0	0	0	0	1	113	117	9	0	225	0	0	2	2	0	0	48	0	0	83	0	0	12	0	0	8	0	0	0	8	0
16474	25765	"Buntes Moor"	46.995904	11.140446	75	"AWI"	75	929	1773	1383	2	0	227	1	0	0	0	20	0	0	31	0	0	0	0	0	0	1	0	2	27	0	119	0	0	3	0	13	1	0	1	0	0	0	0	0	0	0	0	0	5	43	91	0	0	106	0	0	0	4	0	0	9	2	11	7	0	0	0	0	0	3	0	0	3	17	0
16474	25765	"Buntes Moor"	46.995904	11.140446	80	"AWI"	80	1117	1839	1512	4	0	222	1	0	0	0	16	0	0	31	0	0	0	0	0	0	5	1	0	32	0	676	0	0	6	0	46	0	0	0	0	1	20	0	2	0	0	0	0	5	103	142	0	0	0	0	1	0	6	0	0	15	1	18	42	1	10	2	0	0	7	1	1	9	24	0
16474	25765	"Buntes Moor"	46.995904	11.140446	85	"AWI"	85	1262	1935	1635	10	0	228	2	0	0	0	11	0	0	64	0	0	0	0	0	0	3	0	0	57	0	1281	0	1	7	0	50	1	0	0	0	4	13	0	2	0	0	0	0	4	47	117	0	0	116	0	0	0	17	0	0	0	1	9	11	1	0	2	0	0	3	1	0	10	22	0
16474	25765	"Buntes Moor"	46.995904	11.140446	90	"AWI"	90	1414	1983	1726	7	0	191	1	0	0	0	8	0	0	30	0	0	0	0	0	0	9	0	0	21	0	1354	0	0	0	0	30	0	2	0	0	1	4	0	0	0	0	0	0	2	109	112	0	0	120	0	0	0	2	0	0	0	1	12	18	0	0	4	0	0	6	0	0	0	20	0
16474	25765	"Buntes Moor"	46.995904	11.140446	95	"AWI"	95	1514	2072	1817	6	0	140	1	0	0	0	6	0	0	24	0	0	0	0	0	0	2	0	0	11	0	484	0	0	0	0	28	2	0	0	0	1	2	0	0	0	0	0	0	1	85	127	0	0	0	0	0	0	6	0	0	0	0	4	13	1	0	1	0	0	2	0	0	7	6	0
