"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Olea"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Tamarix"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	6	"AWI"	6	-84	158	13	1	8	0	0	8	0	0	0	3	0	0	0	0	0	0	6	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	68	1	0	2	41	0	1	0	11	6	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	14	"AWI"	14	-41	328	102	1	4	0	0	42	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	117	0	7	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	95	0	0	0	66	0	0	0	18	7	0	0	0	0	0	2	1	2	0	0	2	0	0	0	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	22	"AWI"	22	9	473	198	0	2	0	0	24	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	30	0	8	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	0	59	0	0	0	11	1	1	0	0	0	3	3	1	0	0	0	4	0	0	0	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	38	"AWI"	38	135	696	397	1	2	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	177	0	19	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	1	1	32	1	0	0	82	0	0	0	33	31	0	0	0	0	0	10	0	0	0	0	4	0	0	0	0	1	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	46	"AWI"	46	222	767	498	2	1	0	0	40	0	3	0	1	0	0	1	0	0	0	0	0	4	0	0	145	0	23	0	0	3	0	0	0	0	0	0	0	0	1	0	5	0	3	0	58	0	0	0	65	0	0	3	43	22	0	0	0	0	0	8	0	0	0	0	2	1	0	0	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	54	"AWI"	54	309	855	601	1	2	0	0	17	0	0	0	2	0	0	0	0	0	0	0	0	2	0	1	80	0	34	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	22	0	0	0	68	0	0	0	17	16	2	0	0	0	0	10	0	1	0	0	2	0	0	0	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	59	"AWI"	59	352	904	670	2	5	0	0	36	0	1	0	1	0	0	0	0	0	0	7	0	0	0	0	176	0	21	0	0	2	1	0	0	0	0	0	0	0	2	0	2	0	0	0	27	1	0	0	127	0	0	0	18	12	2	0	0	0	0	6	1	0	0	0	4	0	0	1	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	76	"AWI"	76	648	1037	883	1	1	0	0	6	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	39	0	6	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	13	0	0	0	35	0	1	0	13	8	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	84	"AWI"	84	827	1094	971	1	4	0	0	19	0	3	0	1	0	0	0	0	0	0	0	0	2	0	0	192	0	20	0	0	5	1	0	0	0	0	0	0	0	0	0	3	0	0	0	42	0	0	0	61	0	0	0	46	31	0	0	0	0	1	10	0	0	0	0	7	0	0	0	0	0	1
26049	45181	"Tubilla del Lago"	41.80833	-3.5725	92	"AWI"	92	978	1153	1051	0	1	0	1	18	0	3	0	0	0	1	0	0	0	0	3	0	0	1	0	94	0	30	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	90	0	0	0	35	0	1	0	49	29	0	0	2	0	1	9	0	1	0	1	6	0	0	0	0	0	0
