"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14513	22732	"Lac de Villa"	45.68554	7.69021	95	"AWI"	95	-150	11	-69	0	1	0	0	1	0	3	0	4	1	0	0	0	6	1	3	0	157	0	0	0	0	0	3	0	0	0	0	19	3	0	2	0	0	1	0	0	0	0	1	0	6	0	103	0	0	19	2	1	0	1	7	1	0	0	0	0	0	4	0	0	9	0
14513	22732	"Lac de Villa"	45.68554	7.69021	100	"AWI"	100	-100	157	5	1	2	7	0	3	0	3	0	3	0	0	0	4	8	1	0	0	154	0	0	0	0	0	6	0	0	0	0	10	6	1	0	0	0	0	0	0	0	2	5	0	0	0	117	0	0	28	0	1	0	0	2	1	0	0	0	1	0	1	0	0	4	0
14513	22732	"Lac de Villa"	45.68554	7.69021	110	"AWI"	110	-65	563	144	1	0	0	4	2	0	4	0	1	0	1	0	0	4	1	6	0	82	1	0	0	0	0	2	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	3	0	4	0	120	0	0	39	0	0	0	1	2	0	1	0	0	0	0	0	1	0	3	0
14513	22732	"Lac de Villa"	45.68554	7.69021	115	"AWI"	115	-50	763	214	1	0	0	3	0	0	4	0	4	0	1	0	5	1	5	14	0	101	0	0	0	0	0	3	0	0	0	0	9	4	0	0	0	0	1	0	0	0	0	8	0	6	0	48	0	0	48	1	1	0	1	4	4	0	0	0	2	0	0	0	0	1	0
14513	22732	"Lac de Villa"	45.68554	7.69021	120	"AWI"	120	9	819	303	1	0	25	4	6	0	6	0	1	0	0	0	6	5	0	5	0	78	0	0	0	0	0	6	0	0	0	0	10	5	1	0	1	0	1	0	0	0	0	9	0	3	0	71	0	0	79	2	0	0	3	0	1	0	0	0	0	0	0	1	1	1	0
14513	22732	"Lac de Villa"	45.68554	7.69021	125	"AWI"	125	42	898	396	1	1	0	4	1	0	14	0	6	1	0	0	3	10	3	10	0	234	0	0	0	1	0	3	0	0	0	0	11	7	1	0	0	0	0	1	0	3	0	7	0	0	0	44	0	0	122	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0
14513	22732	"Lac de Villa"	45.68554	7.69021	130	"AWI"	130	68	997	479	1	0	29	0	1	0	3	0	7	0	0	0	0	2	0	8	0	109	0	0	0	0	0	5	0	0	0	0	9	0	1	0	0	0	0	0	1	0	0	3	0	5	0	0	0	0	61	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	135	"AWI"	135	98	1133	562	2	0	28	0	1	0	2	0	3	0	0	0	1	8	6	8	0	163	0	0	0	0	0	4	0	2	0	0	25	0	4	0	0	0	0	0	0	0	1	9	0	0	0	32	0	0	76	2	1	0	0	0	3	0	0	0	0	0	0	1	3	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	140	"AWI"	140	203	1176	647	2	2	0	1	0	0	0	0	2	0	0	0	0	1	0	2	0	14	0	0	0	0	0	3	0	0	0	0	4	0	1	2	0	0	0	0	0	0	0	4	0	0	0	13	0	0	60	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	145	"AWI"	145	254	1230	744	5	1	26	1	0	0	6	0	4	0	0	0	1	3	1	15	0	169	0	0	0	0	0	9	0	1	0	0	26	1	4	0	0	0	0	1	0	0	0	4	0	0	0	28	0	0	112	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	150	"AWI"	150	311	1311	838	2	0	29	1	0	0	2	0	8	0	1	0	2	1	6	11	0	147	0	0	0	0	0	6	0	4	0	0	15	0	4	2	0	0	0	0	0	2	0	9	0	0	0	42	0	0	92	1	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0
14513	22732	"Lac de Villa"	45.68554	7.69021	160	"AWI"	160	474	1453	1001	1	0	0	0	1	0	0	0	2	0	1	0	1	1	1	6	0	30	0	0	0	0	0	5	0	0	0	0	5	0	1	1	0	0	0	0	0	0	0	9	142	0	0	36	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0
