"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euonymus"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Lythraceae"	"Orchidaceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Tofieldiaceae"	"Ulmus"	"Urticaceae"
16657	26437	"Katzenloch"	47.34167	11.125	25	"AWI"	25	5964	7258	6726	2.58064516129032	0.276497695852535	8.66359447004608	0	0.0921658986175115	0	0.184331797235023	0	0	2.58064516129032	0	0.0921658986175115	0	0	0.0921658986175115	0	0	2.02764976958525	0	6.91244239631336	0	0	0	0	0.645161290322581	0	1.19815668202765	0	0	0.368663594470046	0	0.184331797235023	0	0	0	0	60.36866359447	10.7834101382488	0	0	0	0	0	0.645161290322581	0	0	0	0	0.0921658986175115	0	0	0	0	0.0921658986175115	0.0921658986175115	0.737327188940092	0	1.19815668202765	0.0921658986175115
16657	26437	"Katzenloch"	47.34167	11.125	30	"AWI"	30	6132	7347	6850	2.33644859813084	0.311526479750779	8.33333333333333	0	0.155763239875389	0.0778816199376947	0.155763239875389	0	0	3.27102803738318	0	0	0.0778816199376947	0	0	0	0	3.34890965732087	0	17.3676012461059	0.0778816199376947	0	0	0	0	0	0.856697819314642	0	0	0	0	0.0778816199376947	0	0	0	0	42.0560747663551	13.7071651090343	0	0	0	0	0	4.3613707165109	0	0	0	0	0.155763239875389	0.155763239875389	0	0	0	0.233644859813084	0.0778816199376947	1.01246105919003	0	1.79127725856698	0
16657	26437	"Katzenloch"	47.34167	11.125	35	"AWI"	35	6269	7504	6968	1.23222748815166	0.18957345971564	6.91943127962085	0	0	0	0.568720379146919	0	0	0.947867298578199	0	0	0	0	0	0	0	3.3175355450237	0	8.43601895734597	0	0	0	0	0.28436018957346	0	1.23222748815166	0	0	0	0	0	0	0	0	0	57.1563981042654	15.260663507109	0	0	0	0	0	1.23222748815166	0	0	0	0	0.18957345971564	0.0947867298578199	0	0	0	0	0	1.04265402843602	0	1.8957345971564	0
16657	26437	"Katzenloch"	47.34167	11.125	40	"AWI"	40	6449	7580	7084	0.470957613814757	0.235478806907378	7.6138147566719	0.0784929356357928	0.0784929356357928	0	0.0784929356357928	0	0	3.84615384615385	0	0	0	0	0	0.0784929356357928	0	1.72684458398744	0	8.24175824175824	0.0784929356357928	0	0	0	0.156985871271586	0	2.74725274725275	0	0	0	0	0.156985871271586	0	0	0	0	49.2150706436421	19.1522762951334	0	0	0	0	0	2.1978021978022	0.0784929356357928	0	0	0	0	0.235478806907378	0	0.0784929356357928	0	0	0	1.17739403453689	0	2.1978021978022	0.0784929356357928
16657	26437	"Katzenloch"	47.34167	11.125	45	"AWI"	45	6571	7698	7205	0	0.1669449081803	8.43071786310517	0.0834724540901502	0	0	0.0834724540901502	0	0	2.25375626043406	0	0	0	0	0	0	0	4.50751252086811	0	13.8564273789649	0	0	0	0	0.333889816360601	0	0.834724540901502	0	0	0.1669449081803	0	0.250417362270451	0	0	0	0	50.7512520868113	12.1869782971619	0	0	0	0	0	2.58764607679466	0	0	0	0	0.1669449081803	0.1669449081803	0	0	0	0	0	0.751252086811352	0	2.42070116861436	0
16657	26437	"Katzenloch"	47.34167	11.125	50	"AWI"	50	6749	7772	7332	0.30511060259344	0	6.1022120518688	0	0.15255530129672	0	0.53394355453852	0	0	3.27993897787948	0	0	0	0	0	0	0	2.36460717009916	0	8.3905415713196	0	0	0	0	0.22883295194508	0	1.1441647597254	0	0	0	0	0.15255530129672	0	0.07627765064836	0	0	56.0640732265446	12.280701754386	0	2.13577421815408	0	0.15255530129672	0	3.50877192982456	0.07627765064836	0	0	0.07627765064836	0.15255530129672	0	0	0	0	0	0	0.7627765064836	0	1.98321891685736	0.07627765064836
16657	26437	"Katzenloch"	47.34167	11.125	55	"AWI"	55	6864	7895	7459	0.29940119760479	0.119760479041916	10.4191616766467	0	0.239520958083832	0.0598802395209581	0.419161676646707	0	0	2.45508982035928	0	0	0	0	0	0	0	9.34131736526946	0.0598802395209581	10	0	0	0	0	0.718562874251497	0	1.37724550898204	0	0	0.119760479041916	0	0	0	0	0	0	41.5568862275449	13.4730538922156	0	1.79640718562874	0	0	0	2.63473053892216	0	0	0	0	0.0598802395209581	0	0	0	0	0	0	0.658682634730539	0	4.13173652694611	0.0598802395209581
16657	26437	"Katzenloch"	47.34167	11.125	60	"AWI"	60	7080	7952	7573	0	0	8.94996476391825	0	0.0704721634954193	0	0.493305144467935	0	0	5.77871740662438	0	0.140944326990839	0	0	0	0	0	3.80549682875264	0	8.80902043692741	0	0	0	0	0.140944326990839	0	2.04369274136716	0	0	0.140944326990839	0	0.281888653981677	0	0	0	0	51.3037350246653	10.6412966878083	0	0	0	0	0	3.45313601127555	0	0	0	0	0.140944326990839	0.140944326990839	0	0	0	0.0704721634954193	0	0.634249471458774	0	2.95983086680761	0
16657	26437	"Katzenloch"	47.34167	11.125	65	"AWI"	65	7219	8052	7695	0	0.16260162601626	7.5609756097561	0.0813008130081301	0.0813008130081301	0	0.40650406504065	0	0	1.30081300813008	0	0.0813008130081301	0	0	0	0	0	6.34146341463415	0	7.64227642276423	0	0	0	0	0.48780487804878	0.813008130081301	0	0	0	0	0	0	0	0	0	0	52.3577235772358	15.9349593495935	0	0	0	0	0	2.76422764227642	0	0	0	0	0.24390243902439	0.32520325203252	0	0	0	0	0.0813008130081301	0.24390243902439	0	3.00813008130081	0.0813008130081301
16657	26437	"Katzenloch"	47.34167	11.125	70	"AWI"	70	7463	8111	7803	0	0	6.65610142630745	0.237717908082409	0.158478605388273	0	0.0792393026941363	0	0	4.75435816164818	0	0	0	0	0.0792393026941363	0	0	4.12044374009509	0	7.60697305863708	0	0.237717908082409	0	0	0.0792393026941363	0	1.82250396196513	0	0	0	0	0	0	0	0	0	50.4754358161648	16.2440570522979	0	0	0	0	0.0792393026941363	3.64500792393027	0	0	0	0	0	0.0792393026941363	0	0	0	0	0	0.475435816164818	0	3.16957210776545	0
16657	26437	"Katzenloch"	47.34167	11.125	75	"AWI"	75	7605	8213	7923	0	0.32258064516129	5.96774193548387	0	0.241935483870968	0	0.403225806451613	0	0	2.01612903225806	0	0	0	0	0.0806451612903226	0	0	7.09677419354839	0	6.61290322580645	0	0.564516129032258	0	0	0	0	0.887096774193548	0	0	0	0	0	0	0	0	0	53.7903225806452	16.6129032258065	0	0	0	0	0	0.887096774193548	0	0	0	0	0.0806451612903226	0	0	0	0	0	0	0.887096774193548	0	3.46774193548387	0.0806451612903226
16657	26437	"Katzenloch"	47.34167	11.125	77.5	"AWI"	77.5	7675	8238	7970	0	0	3.7037037037037	0.231481481481481	0.154320987654321	0	1.38888888888889	0	0	2.39197530864198	0	0	0	0	0	0	0	3.7037037037037	0	13.3487654320988	0	0	0	0	0	0	0.694444444444444	0	0	0.0771604938271605	0	0	0	0	0	0	48.7654320987654	16.2037037037037	0	4.39814814814815	0	0	0.154320987654321	1.31172839506173	0	0	0	0	0.462962962962963	0.154320987654321	0	0	0	0.0771604938271605	0	0.462962962962963	0	2.23765432098765	0.0771604938271605
16657	26437	"Katzenloch"	47.34167	11.125	80	"AWI"	80	7738	8272	8020	0	0.0762195121951219	3.96341463414634	0	0.152439024390244	0	0.228658536585366	0	0	3.65853658536585	0	0	0	0	0	0	0	6.78353658536585	0	5.86890243902439	0	0	0	0	0	0	1.44817073170732	0	0	0	0	0	0	0	0	0	52.515243902439	15.625	0	3.50609756097561	0	0	0.152439024390244	2.13414634146341	0	0	0	0	0	0	0	0	0	0	0	1.06707317073171	0	2.82012195121951	0
16657	26437	"Katzenloch"	47.34167	11.125	82.5	"AWI"	82.5	7773.5	8325.5	8068	0	0	9.31326434619003	0.376293508936971	0.376293508936971	0	1.78739416745061	0	0	4.04515522107244	0	0	0	0	0	0	0	7.0555032925682	0	4.42144873000941	0	0	0	0	0	0	0.658513640639699	0	0	0.0940733772342427	0	0.0940733772342427	0	0	0	0	37.2530573847601	22.7657572906867	0	2.25776105362183	0	0	0	3.19849482596425	0	0	0	0.0940733772342427	0.564440263405456	0.282220131702728	0	0	0	0.188146754468485	0.376293508936971	2.35183443085607	0	2.44590780809031	0
16657	26437	"Katzenloch"	47.34167	11.125	85	"AWI"	85	7805	8401	8115	0	0.0871839581517001	5.75414123801221	0	0.4359197907585	0	0.610287707061901	0	0	1.743679163034	0	1.3949433304272	0	0	0.0871839581517001	0	0	7.49782040104621	0	6.10287707061901	0	0	0	0	0.0871839581517001	0	0.523103748910201	0	0	0	0	0	0	0	0	0	41.1508282476024	25.0217959895379	0	0	0	0	0.1743679163034	2.1795989537925	0.871839581517001	0	0	0	0.4359197907585	0	0	0	0	0.1743679163034	0.0871839581517001	1.3077593722755	0	4.2720139494333	0
16657	26437	"Katzenloch"	47.34167	11.125	87.5	"AWI"	87.5	7904.5	8432	8164	0	0	6.44351464435146	0.167364016736402	0.167364016736402	0	1.75732217573222	0	0	4.26778242677824	0	0	0	0	0.0836820083682008	0	0	6.94560669456067	0	7.86610878661088	0	0	0	0	0	0	0.836820083682008	0	0	0	0	0	0	0	0	0	40.3347280334728	18.1589958158996	0	4.18410041841004	0	0	0	3.09623430962343	0.0836820083682008	0	0	0.167364016736402	0.334728033472803	0.0836820083682008	0	0	0	0.0836820083682008	0	0.920502092050209	0	3.93305439330544	0.0836820083682008
16657	26437	"Katzenloch"	47.34167	11.125	90	"AWI"	90	7971	8476	8214	0	0	4.8264182895851	0.254022015241321	0.169348010160881	0	1.86282811176969	0	0	2.37087214225233	0	0.0846740050804403	0.0846740050804403	0	0.0846740050804403	0	0.0846740050804403	1.52413209144793	0	4.8264182895851	0	0	0	0	0	0	0.931414055884843	0	0	0	0	0	0	0	0	0	60.2878916172735	16.1727349703641	0	0	0	0	0	3.30228619813717	0	0	0	0	0.931414055884843	0.169348010160881	0	0	0	0	0.0846740050804403	0.931414055884843	0	1.01608806096528	0
16657	26437	"Katzenloch"	47.34167	11.125	92.5	"AWI"	92.5	8023	8523.5	8267	0.176056338028169	0.176056338028169	7.30633802816901	0.352112676056338	0	0	1.76056338028169	0	0	4.40140845070423	0	0.0880281690140845	0.0880281690140845	0	0.0880281690140845	0	0	14.5246478873239	0	6.60211267605634	0	0	0.0880281690140845	0	0	0	1.1443661971831	0	0	0.0880281690140845	0	0.0880281690140845	0	0	0	0	32.3943661971831	18.6619718309859	0	3.52112676056338	0	0	0	3.08098591549296	0	0	0	0	0.528169014084507	0.176056338028169	0	0	0	0	0	1.49647887323944	0	2.99295774647887	0.176056338028169
