"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
14286	48358	"Popradské  pleso"	49.153142	20.079368	1100	"AWI"	1100	-71	-63	-69	19	0	34	2	0	0	4	0	54	0	1	0	0	0	0	1	0	13	2	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	8	78	183	0	0	0	0	0	15	0	0	0	0	2	1	0	0	0	0	2	3	3	3	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1101	"AWI"	1101	-55	-47	-52	22	0	21	1	0	0	9	0	30	0	2	0	0	0	0	3	0	20	3	0	0	0	16	0	1	0	0	0	0	0	0	0	1	0	0	10	88	0	0	0	0	0	0	12	0	0	0	0	2	1	0	0	0	0	0	3	1	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1102	"AWI"	1102	-40	-29	-35	20	0	24	3	0	0	5	0	27	0	1	0	0	0	0	0	0	30	5	0	0	0	25	0	5	0	0	0	1	0	0	0	2	0	0	4	72	170	0	42	0	0	0	8	0	0	0	0	1	0	0	0	0	0	0	3	3	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1103	"AWI"	1103	-26	-10	-18	30	0	16	0	0	0	4	0	27	0	2	0	0	0	0	0	0	33	0	1	0	0	9	0	0	0	0	0	0	1	0	1	0	0	0	12	66	0	0	0	0	0	0	10	0	0	0	0	2	2	0	0	0	0	0	4	6	2	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1104	"AWI"	1104	-12	10	-1	38	0	29	1	0	0	7	0	31	0	0	0	0	0	0	0	0	31	3	0	0	0	17	0	1	0	0	0	0	0	0	0	1	0	0	12	52	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	3	14	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1105	"AWI"	1105	7	31	19	30	0	30	2	0	0	6	0	32	0	0	0	0	0	0	0	0	32	2	0	0	0	21	0	2	0	0	0	0	0	0	0	1	0	0	9	76	0	0	0	0	0	0	10	0	0	0	0	1	2	0	0	0	0	2	3	6	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1106	"AWI"	1106	26	65	45	30	0	45	3	0	0	5	0	36	0	0	0	0	0	0	0	0	38	2	0	0	0	27	0	2	0	0	0	0	1	0	1	2	1	0	5	71	0	0	70	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	2	11	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1107	"AWI"	1107	38	107	71	35	1	25	2	0	0	10	0	35	0	2	0	0	0	0	0	0	23	4	0	0	0	15	0	0	0	0	0	0	1	0	0	0	0	0	6	52	0	0	0	0	0	0	11	0	0	0	0	5	2	0	0	0	1	1	1	5	3	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1108	"AWI"	1108	50	150	98	33	0	33	3	0	0	2	0	34	0	0	0	0	0	0	0	0	19	4	0	0	0	28	0	1	0	0	0	0	3	0	0	0	0	0	7	65	0	0	0	0	0	0	10	0	0	0	1	2	1	0	0	0	2	0	3	5	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1109	"AWI"	1109	60	193	124	23	0	29	0	0	0	11	0	39	0	1	0	0	0	0	1	0	28	2	0	0	0	18	0	2	0	0	0	0	0	0	0	1	0	0	12	61	0	0	70	0	0	0	17	0	0	0	0	4	0	0	0	0	0	2	3	6	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1110	"AWI"	1110	79	228	152	27	0	29	1	0	0	6	0	30	0	0	0	0	0	0	0	0	16	3	0	0	0	20	0	2	0	0	0	0	0	0	1	2	0	0	6	68	0	0	51	0	0	0	15	0	0	0	0	3	1	0	0	0	0	0	0	6	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1111	"AWI"	1111	94	287	177	28	0	28	6	0	0	5	0	35	0	0	0	0	0	0	0	0	27	3	0	0	0	31	0	2	0	0	0	0	0	0	0	0	0	0	13	65	0	0	0	0	0	0	22	0	0	0	0	3	0	0	0	0	1	0	3	2	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1112	"AWI"	1112	102	363	200	43	0	34	1	0	0	5	0	38	0	1	0	0	0	0	0	0	24	3	0	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0	4	55	0	0	0	0	0	0	16	0	0	0	1	3	2	0	0	0	0	2	3	2	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1113	"AWI"	1113	109	442	223	32	0	27	0	0	0	8	0	35	0	1	0	0	0	0	1	0	30	1	0	0	0	18	0	1	0	0	0	0	1	0	1	0	0	0	11	65	0	0	0	0	0	0	10	0	0	0	3	1	2	0	0	0	0	1	3	9	2	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1114	"AWI"	1114	116	523	246	42	0	31	0	0	0	5	0	40	0	0	0	0	0	0	0	0	32	2	0	0	0	33	0	1	0	0	0	0	0	0	2	0	0	0	13	79	0	0	0	0	0	1	11	0	0	0	0	1	2	0	0	0	1	2	1	4	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1115	"AWI"	1115	140	543	275	37	1	29	0	0	1	11	0	39	0	0	0	0	0	0	0	0	18	2	0	0	0	35	0	1	0	0	0	0	0	0	0	0	0	0	8	57	0	0	0	0	0	0	11	0	0	0	0	7	1	0	0	0	0	0	2	3	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1116	"AWI"	1116	153	573	305	22	0	45	2	0	0	5	0	26	0	2	0	2	0	0	0	1	30	0	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	1	12	56	0	0	0	0	0	0	15	0	0	0	1	3	0	0	0	0	0	0	5	10	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1117	"AWI"	1117	163	614	332	39	0	24	1	0	0	6	0	35	0	2	0	0	0	0	0	0	29	3	0	0	0	30	0	0	0	0	0	0	0	0	1	0	0	1	12	67	0	0	0	0	0	0	9	0	0	0	0	5	2	0	0	0	0	1	2	6	3	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1118	"AWI"	1118	171	660	357	38	0	31	3	0	0	3	0	35	0	0	0	0	0	0	1	0	23	0	0	0	0	27	0	1	0	0	0	0	0	0	2	1	0	0	11	68	0	0	0	0	0	0	18	0	0	0	0	3	0	0	0	0	2	0	3	4	2	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1119	"AWI"	1119	192	702	382	32	0	43	2	0	0	14	0	43	0	2	0	0	0	0	0	0	32	1	0	0	0	43	0	0	0	1	0	0	0	1	0	1	0	0	8	76	0	0	0	0	0	0	19	0	0	0	0	5	1	0	0	0	0	0	2	8	2	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1120	"AWI"	1120	218	728	412	39	0	34	1	0	0	13	0	43	0	0	0	0	0	0	0	0	14	0	0	0	0	31	0	1	0	0	0	0	0	0	1	1	0	0	5	65	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	2	2	4	1	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1121	"AWI"	1121	235	763	443	46	0	32	1	0	0	5	0	32	0	0	0	0	0	0	0	0	16	0	0	0	0	24	0	0	0	0	0	0	0	0	1	1	0	0	14	77	0	0	0	0	0	0	7	0	0	0	0	2	1	0	0	0	0	0	5	7	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1122	"AWI"	1122	250	806	473	58	0	33	5	0	0	2	0	39	0	1	0	0	0	0	0	0	25	0	0	0	0	25	0	1	0	1	0	0	0	0	0	0	0	0	10	62	0	0	0	0	0	0	19	0	0	0	0	3	2	0	0	0	0	2	3	5	0	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1123	"AWI"	1123	261	845	500	50	0	39	0	0	0	10	0	29	0	3	0	0	0	0	0	0	19	1	0	0	0	33	0	2	0	0	0	0	0	0	1	0	0	0	13	66	0	0	0	0	0	0	15	0	0	0	1	4	2	0	0	0	1	0	3	5	3	0
14286	48358	"Popradské  pleso"	49.153142	20.079368	1124.5	"AWI"	1124.5	296.5	882.5	544.5	37	0	24	1	0	0	13	0	49	0	1	0	0	0	0	0	0	31	1	0	0	0	32	0	2	0	0	0	0	0	0	0	0	0	0	9	58	0	0	0	0	0	0	21	0	0	0	1	1	1	0	0	0	0	1	4	8	0	0
