"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Ulmus"	"Urticaceae"
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	150	"AWI"	150	1068	2031	1545	52	0	0	0	0	152	0	4	0	76	0	37	0	0	1	104	1	0	0	49	0	88	14	0	0	1	0	0	0	2	1
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	280	"AWI"	280	2629	3232	2936	55	0	0	0	4	113	0	5	0	100	0	22	0	0	5	84	1	0	1	54	4	101	7	0	0	0	0	0	1	3	1
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	310	"AWI"	310	3057	3654	3332	80	0	1	0	0	94	0	8	3	107	0	48	0	0	0	125	2	0	1	55	3	80	5	0	0	0	0	0	3	0	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	320	"AWI"	320	3193	3804	3499	62	0	3	1	0	116	0	4	0	98	0	20	218	1	0	123	0	1	1	25	0	82	6	0	0	0	0	0	1	0	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	330	"AWI"	330	3356	3948	3665	59	2	0	0	0	151	1	3	0	82	0	25	93	2	0	181	1	0	0	82	0	49	16	0	0	0	0	0	2	3	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	340	"AWI"	340	3569	4070	3823	70	0	0	1	0	99	0	5	0	99	0	34	0	1	0	131	3	0	0	88	0	81	16	0	0	0	0	0	4	2	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	350	"AWI"	350	3716	4266	3977	71	0	2	0	0	93	0	2	0	134	0	20	0	0	0	128	2	0	1	131	0	66	7	0	0	0	0	0	7	7	1
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	360	"AWI"	360	3825	4447	4129	90	0	2	0	3	119	0	1	0	86	0	34	79	0	0	140	1	0	0	150	0	52	28	0	0	0	0	0	4	5	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	370	"AWI"	370	3962	4591	4281	36	0	1	0	0	57	0	2	0	45	1	9	0	0	2	62	0	0	0	70	0	30	6	0	0	0	0	0	1	0	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	380	"AWI"	380	4125	4715	4437	69	1	1	0	0	105	0	4	0	88	0	18	0	0	1	161	1	0	0	129	0	48	21	0	0	0	0	3	1	6	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	400	"AWI"	400	4486	5031	4748	69	0	0	0	0	115	0	3	0	71	0	13	0	0	0	171	1	0	0	213	0	33	17	0	0	0	0	0	2	9	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	410	"AWI"	410	4581	5366	4902	67	0	3	0	0	181	0	0	0	65	0	13	0	1	1	109	0	1	0	194	0	26	31	0	0	0	0	0	0	7	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	430	"AWI"	430	4795	5861	5220	9	0	1	1	0	196	0	1	0	43	0	7	0	1	3	97	1	0	0	292	0	20	26	0	0	0	0	0	0	8	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	440	"AWI"	440	4896	6099	5382	94	0	0	0	0	129	0	1	0	63	0	11	0	1	0	90	1	0	0	219	0	27	17	0	0	0	0	0	2	4	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	450	"AWI"	450	5006	6326	5543	109	0	0	0	0	151	1	3	0	59	0	9	0	0	2	100	1	0	0	196	0	29	9	0	0	0	0	0	1	2	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	460	"AWI"	460	5124	6538	5710	68	0	0	0	0	116	0	1	0	62	0	13	0	0	0	1980	1	0	0	255	0	35	13	0	0	0	0	0	1	9	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	480	"AWI"	480	5365	6979	6033	45	0	3	0	0	123	0	3	0	70	0	6	0	0	0	114	2	0	0	258	0	34	17	0	0	0	0	0	6	19	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	490	"AWI"	490	5486	7183	6204	100	0	1	0	0	125	0	0	0	41	0	8	0	1	0	126	6	0	0	296	0	26	17	0	0	0	0	0	0	31	0
3058	3988	"Loch a'Chroisg"	57.573898	-5.15168	500	"AWI"	500	5607	7413	6367	2	0	0	1	0	107	0	1	0	38	0	8	0	1	0	62	10	0	0	465	0	29	13	0	0	0	0	0	2	10	0
