"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Celastraceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Juniperus"	"Onagraceae"	"Orobanchaceae"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
13384	20020	"Lake Ifjord"	70.43333	27.63333	0	"AWI"	0	-117	49	-38	0	7	0	2	1	0	171	0	0	0	0	0	0	100	15	0	0	9	0	0	3	83	79	0	0	0	1	0	14	0	0	0	10	0	0	0	2	0	0	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	4	"AWI"	4	-50	545	128	0	4	0	0	1	0	185	0	0	0	0	0	0	86	0	0	0	10	0	0	2	78	81	0	1	0	0	0	15	0	0	0	19	0	0	0	0	0	0	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	8	"AWI"	8	-23	1093	286	0	6	0	1	2	0	170	0	0	0	0	3	0	96	0	0	0	4	0	0	5	85	75	0	1	0	0	0	11	0	0	0	12	0	0	0	1	0	1	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	12	"AWI"	12	52	1480	469	0	6	0	3	7	0	150	0	0	0	0	2	1	94	0	0	0	9	0	0	3	67	86	0	1	0	0	3	19	0	0	0	14	0	0	0	1	0	0	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	16	"AWI"	16	125	1753	670	0	7	0	0	1	0	152	0	0	0	0	5	1	97	12	0	0	15	0	0	3	96	81	0	0	0	0	1	11	0	0	0	10	0	0	0	0	0	1	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	20	"AWI"	20	175	2136	858	0	9	0	0	1	0	158	0	0	0	0	2	1	97	0	0	0	7	0	0	3	99	85	0	0	0	0	0	15	0	0	0	5	0	0	0	2	0	1	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	24	"AWI"	24	323	2314	1074	0	4	0	0	0	0	161	0	0	0	0	0	0	117	0	0	0	11	0	0	2	87	74	0	1	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	28	"AWI"	28	417	2620	1282	0	12	0	1	1	0	183	0	0	0	0	4	0	71	0	0	0	8	0	0	4	69	97	0	1	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	32	"AWI"	32	549	2887	1473	0	14	0	4	1	0	223	0	0	0	0	4	0	82	0	0	0	11	0	0	0	68	66	0	0	0	0	3	6	0	0	0	8	0	0	0	1	0	0	1	0
13384	20020	"Lake Ifjord"	70.43333	27.63333	36	"AWI"	36	694	3085	1667	0	4	0	1	1	0	151	0	0	0	0	2	0	107	0	0	0	2	0	0	1	87	66	0	0	0	0	0	20	0	0	0	10	0	0	0	1	0	0	0	0
