"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Thalictrum"	"Ulmus"	"Urticaceae"	"Viburnum"
26126	45345	"Tiåvatnet"	63.05972	9.41694	733	"AWI"	733	-143	24	-57	0	27.536231884058	0	0	0	0	0	0	0	0	0	0	0	0	0.72463768115942	1.44927536231884	0	38.4057971014493	0	0	0	0	0	0	0.72463768115942	0	0	21.7391304347826	0	0	0	0	0	6.52173913043478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89855072463768	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	736	"AWI"	736	-97	192	17	0	14.7058823529412	0	0	0	0	0	42.436974789916	0	0	0	0	0	0	0	1.26050420168067	0	28.5714285714286	0	0	0	0	0	0	0	0	0.420168067226891	6.72268907563025	0	0.840336134453782	0	0	0	4.20168067226891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.840336134453782	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	740	"AWI"	740	-50	438	115	0	20.8163265306122	0	0	0	0	0	48.5714285714286	0	0	0	0	0	0.408163265306122	0	1.22448979591837	0	21.6326530612245	0	0	0	0	0	0	0	0	0	4.89795918367347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.408163265306122	0	0	0	0.816326530612245	0	0.816326530612245	0.408163265306122	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	744	"AWI"	744	-6	611	228	0	17.7304964539007	0	0	0	0	0	0	0	0	0	0	0	0.354609929078014	0	1.41843971631206	0	17.7304964539007	0	0	0	0	0	0	0.709219858156028	0	0	7.09219858156028	0	0.354609929078014	0	0	0	0.709219858156028	50	0.354609929078014	0	0	0	0	0	0	0	0	0	0	0	0	0	0.354609929078014	2.4822695035461	0.354609929078014	0.354609929078014	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	748	"AWI"	748	69	728	339	0	14.3730886850153	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8348623853211	0	15.9021406727829	0	0	0	0	0	0	0	0	0	8.86850152905199	0	0	0	0	0	0.917431192660551	55.3516819571865	0	0	0	0	0.611620795107034	0	0	0.305810397553517	0	0	0.305810397553517	0	0	0	0.305810397553517	0.611620795107034	0	0.611620795107034	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	752	"AWI"	752	136	880	444	0	9.50118764845606	0	0	0	0	0	28.5035629453682	0	0	0	0	0	0	0	0.237529691211401	0	14.9643705463183	0	0	0	0	0	0	0	0	0	4.75059382422803	0	0	0	0	0.237529691211401	0.475059382422803	38.7173396674584	0.237529691211401	0	0	0	0	0.237529691211401	0	0	0	0	1.18764845605701	0	0	0	0	0.475059382422803	0	0.475059382422803	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	756	"AWI"	756	192	1036	556	0	30.1724137931034	0	0	0	0	0	0	0	0	0	0	0	0	0	4.31034482758621	0	43.1034482758621	0	0	0	0	0	0	0.862068965517241	0	0	17.2413793103448	0	0	0	0	0	0.862068965517241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.58620689655172	0	0.862068965517241	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	760	"AWI"	760	285	1144	673	0	44.5544554455446	0	0	0	0	0	0	0	0	0	0	0	0	0	0.99009900990099	0	31.6831683168317	0	0	0	0	0	0	0.99009900990099	0	0	11.8811881188119	0	0	0	0	0	0.99009900990099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.96039603960396	3.96039603960396	0.99009900990099	0	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	764	"AWI"	764	391	1253	785	0	13.7055837563452	0	0	0	0	0	46.7005076142132	0	0	0	0	0	0	0	0	0	26.3959390862944	0	0	0	0	0	0	0	0	0	11.1675126903553	0	0	0	0	0.50761421319797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.52284263959391	0	0	0
26126	45345	"Tiåvatnet"	63.05972	9.41694	768	"AWI"	768	467	1391	905	0	10.077519379845	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16279069767442	0	20.5426356589147	0	0	0	0	0	0	0.387596899224806	0	0	11.2403100775194	0	0	0	0	0	0.775193798449612	54.6511627906977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775193798449612	0	0.387596899224806	0
