"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16120	24900	"Port des Lamberts"	46.96083	4.01056	4	"AWI"	4	-116	139	-10	4	0	22	4	0	1	0	0	0	61	0	1	0	1	0	0	0	0	0	34	0	2	198	0	0	80	0	0	0	1	0	0	0	0	0	0	0	0	0	22	0	6	54	0	0	0	0	0	0	0	37	0	0	0	7	1	0	0	0	0	1	0	4	3	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	10	"AWI"	10	-66	289	71	2	0	31	2	0	1	0	1	0	60	0	2	0	0	0	0	7	0	0	22	0	5	69	0	0	45	0	3	0	0	0	1	0	2	0	0	0	0	0	30	0	2	22	0	0	0	0	2	0	0	37	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	16	"AWI"	16	-1	385	157	0	0	45	3	0	3	0	0	0	50	0	1	0	1	0	0	7	0	0	18	0	12	76	0	0	22	0	2	0	3	0	0	0	0	1	0	0	0	0	7	0	3	17	0	0	0	0	0	0	0	30	1	0	0	8	6	0	0	0	0	2	0	2	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	18	"AWI"	18	21	412	185	2	0	38	2	0	2	0	0	0	48	0	3	0	0	0	0	6	0	0	10	0	28	0	0	0	24	0	2	0	1	0	0	1	1	0	0	0	0	0	6	0	3	26	0	75	1	0	0	0	0	41	3	0	0	9	2	0	0	2	0	1	0	2	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	20	"AWI"	20	37	455	211	2	0	30	4	0	0	0	3	0	33	0	0	0	1	0	0	8	0	0	29	2	20	0	0	0	34	0	1	0	0	0	0	0	3	0	0	0	0	0	6	0	0	38	18	88	0	0	1	0	0	47	3	0	0	14	1	0	0	0	0	0	0	0	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	24	"AWI"	24	86	508	267	0	1	31	1	0	3	0	1	0	16	0	7	0	1	0	0	16	0	0	17	0	15	114	0	0	21	1	1	0	0	0	0	0	5	0	0	0	0	0	8	0	2	21	0	110	0	0	0	0	0	48	3	0	0	14	6	0	0	1	0	0	0	1	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	28	"AWI"	28	126	567	322	0	1	29	1	0	4	0	1	0	28	0	2	0	4	0	0	17	0	0	20	0	1	219	0	0	13	0	3	0	2	0	1	0	4	0	0	2	0	0	14	0	0	10	0	138	0	0	0	0	0	41	4	0	1	7	3	0	0	2	0	0	0	0	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	32	"AWI"	32	173	629	380	0	1	25	0	0	7	0	0	0	20	0	1	0	4	0	0	30	0	0	20	0	17	32	0	0	23	0	5	0	0	0	0	0	0	4	0	0	0	0	7	1	0	14	0	0	0	0	0	0	0	76	5	0	4	9	5	0	0	0	2	0	0	2	3	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	36	"AWI"	36	220	686	438	2	1	106	4	0	3	0	1	0	30	0	3	0	3	0	0	15	0	0	12	0	6	20	0	0	55	0	1	0	0	0	0	0	2	0	0	0	0	0	8	1	0	9	0	0	2	0	0	0	0	52	12	0	3	7	3	0	0	1	0	0	0	2	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	40	"AWI"	40	268	739	492	0	0	40	2	0	5	0	0	0	27	0	1	0	0	0	0	5	0	0	22	0	10	4	0	0	96	2	2	0	1	1	0	0	4	3	0	0	0	0	16	1	1	10	0	168	1	0	0	0	0	53	3	0	0	14	1	0	0	0	0	1	0	0	1	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	44	"AWI"	44	321	788	549	1	0	87	5	0	2	0	1	0	94	0	6	0	3	0	0	8	0	0	27	0	40	19	0	0	277	0	0	0	0	0	0	1	4	0	0	0	0	0	20	1	1	16	0	221	0	0	0	0	0	137	14	0	6	28	1	1	1	0	0	0	0	0	0	1	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	48	"AWI"	48	379	842	604	0	0	36	3	0	1	0	2	0	25	0	1	0	3	0	0	5	0	0	16	0	26	0	0	0	67	0	3	0	0	0	0	0	1	1	0	0	0	0	5	0	0	2	0	102	2	0	0	0	0	42	0	0	1	6	4	0	2	0	4	0	0	4	3	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	52	"AWI"	52	434	893	660	0	0	82	1	0	4	0	2	0	69	0	1	0	8	0	0	12	0	0	25	0	17	0	0	0	158	0	1	0	0	0	1	0	6	0	0	0	0	0	17	4	0	11	0	218	0	0	0	0	0	120	5	0	8	28	4	1	0	2	0	2	0	0	0	0	1
16120	24900	"Port des Lamberts"	46.96083	4.01056	56	"AWI"	56	487	940	717	0	0	93	0	0	1	0	1	0	72	1	1	0	0	0	0	1	0	0	26	0	40	4	0	0	152	0	0	0	0	0	0	0	1	0	4	0	0	0	8	1	1	5	0	0	0	0	0	0	0	46	5	0	2	24	1	0	0	1	0	0	1	0	0	0	1
16120	24900	"Port des Lamberts"	46.96083	4.01056	60	"AWI"	60	541	987	772	0	0	498	1	2	0	0	2	0	150	0	0	0	2	0	0	0	0	0	31	0	22	0	0	0	119	0	0	0	0	0	1	0	0	0	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	45	0	0	0	19	6	0	0	0	0	0	0	0	1	1	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	64	"AWI"	64	610	1037	826	0	0	118	1	0	1	0	2	0	85	0	0	0	1	0	0	2	0	0	36	0	12	0	0	0	27	0	9	0	0	1	0	0	0	0	0	0	0	0	3	0	0	1	0	63	0	0	0	0	0	16	8	0	0	4	3	0	0	0	2	0	0	1	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	66	"AWI"	66	647	1063	852	0	0	687	1	0	4	0	2	0	562	0	1	0	0	0	0	4	0	2	19	0	8	0	0	0	79	0	3	0	1	0	0	0	3	0	0	1	0	0	8	1	0	1	0	156	0	0	0	0	0	33	29	0	0	1	2	1	7	0	0	1	0	0	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	70	"AWI"	70	708	1109	908	1	0	211	0	3	2	1	0	0	438	1	1	0	2	0	0	0	0	1	25	0	8	10	0	0	49	0	1	0	1	0	1	0	0	0	0	0	0	0	7	1	0	1	0	180	0	0	0	0	0	42	3	0	4	2	7	0	2	0	0	0	0	0	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	72	"AWI"	72	761	1128	933	0	0	276	1	2	5	0	2	0	251	0	0	0	0	0	3	0	0	0	26	0	5	0	1	0	52	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	0	193	0	0	1	0	0	37	3	0	4	6	7	0	0	1	2	1	0	0	1	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	74	"AWI"	74	797	1149	958	0	0	467	1	2	10	0	3	0	163	0	0	0	0	0	0	2	0	3	22	0	15	0	0	0	63	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	1	9	0	332	0	0	1	0	0	77	16	0	12	1	7	0	0	1	0	0	0	1	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	76	"AWI"	76	840	1171	988	2	0	437	3	0	17	0	3	0	37	0	0	0	0	0	0	0	0	2	41	0	3	4	0	0	96	0	1	0	1	0	0	0	1	0	0	0	0	1	8	0	0	6	0	305	0	0	0	0	0	59	9	0	14	6	5	0	3	2	0	1	1	0	0	0	0
16120	24900	"Port des Lamberts"	46.96083	4.01056	80	"AWI"	80	916	1237	1050	0	1	80	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	13	0	18	0	0	0	15	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	12	0	0	3	5	1	0	0	0	1	0	0	0	4	0	0
