"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juniperus"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
13396	20060	"Sandvikvatn"	59.283448	5.493056	1435	"AWI"	1435	2522	3048	2765	65	0	0	0	0	0	272	0	0	0	0	0	0	0	72	0	8	0	0	0	0	0	2	11	0	0	1	5	0	8	0	5	0	0	375	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	2	4	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1440	"AWI"	1440	2562	3240	2834	50	1	1	0	0	0	173	0	0	0	0	0	0	0	41	0	6	0	0	0	0	0	0	8	0	0	1	1	0	4	0	0	0	0	222	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	3	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1445	"AWI"	1445	2659	3312	2927	73	0	0	0	0	0	252	0	0	0	0	0	0	0	47	0	15	0	0	0	0	0	1	6	0	0	0	3	0	0	0	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	10	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1450	"AWI"	1450	2706	3438	3016	72	1	1	0	0	0	210	0	0	0	0	0	0	0	36	0	7	0	0	0	0	0	0	9	0	0	0	1	0	0	0	0	0	0	237	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1455	"AWI"	1455	2859	3591	3126	86	0	0	0	0	0	218	0	0	0	0	0	0	0	45	0	3	0	0	0	1	0	1	9	0	0	0	5	0	1	0	0	0	1	252	0	0	0	1	0	0	0	0	0	0	0	0	8	0	0	2	7	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1460	"AWI"	1460	2913	3805	3235	80	0	0	0	0	0	200	0	0	0	0	0	0	0	62	1	8	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	349	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	1	11	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1465	"AWI"	1465	3111	4186	3567	87	1	1	0	0	0	220	0	0	0	0	0	0	0	71	0	6	0	0	0	0	0	0	6	0	0	0	2	0	0	0	0	0	0	293	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	7	21	0	1
13396	20060	"Sandvikvatn"	59.283448	5.493056	1470	"AWI"	1470	3198	4877	3871	67	0	0	0	0	0	186	0	0	0	0	0	0	0	88	0	8	0	0	0	0	0	0	3	0	0	0	3	0	1	0	0	0	0	192	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	2	18	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1475	"AWI"	1475	3476	5113	4228	113	0	0	0	0	0	251	0	0	0	0	0	0	0	160	0	2	0	0	0	0	0	1	9	0	0	0	4	0	0	0	0	0	0	200	0	0	0	6	0	0	0	0	0	0	0	0	6	0	0	8	40	0	0
13396	20060	"Sandvikvatn"	59.283448	5.493056	1480	"AWI"	1480	3597	5489	4600	115	0	0	0	0	0	225	0	0	0	0	1	0	0	127	0	8	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	21	0	0
