"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celtis"	"Convolvulaceae"	"Cornus"	"Corylus"	"Dioscoreaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Loranthaceae"	"Malus"	"Onagraceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Smilacaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
2980	3883	"Arkutino Lake"	42.329472	27.724032	63	"AWI"	63	-54	221	65	0	0	190	0	41	0	10	0	1	0	50	0	16	0	0	0	0	0	0	1	6	0	0	1	0	1	18	15	0	0	0	0	9	3	0	0	0	0	1	23	0	2	1	12	1	0	0	0	2	1	0	0	0	0	0	0	1	2	115	0	0	0	1	0	0	0	24	8	0	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	65	"AWI"	65	-37	360	124	0	1	96	13	17	0	18	0	3	0	6	0	0	0	0	0	0	0	0	0	9	0	3	2	0	7	17	17	0	0	0	0	17	2	1	0	0	0	0	55	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	10	52	0	0	0	10	0	3	2	24	9	2	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	75	"AWI"	75	5	1066	415	0	0	65	0	0	2	15	0	2	0	4	0	2	0	0	0	0	0	0	0	8	0	0	1	0	3	37	43	0	0	0	0	3	6	0	0	0	0	3	57	0	0	1	13	0	0	0	0	0	3	0	203	0	0	0	0	0	3	43	0	0	0	0	0	0	0	24	0	0	3
2980	3883	"Arkutino Lake"	42.329472	27.724032	79	"AWI"	79	19	1353	534	0	0	150	0	5	0	15	0	3	0	12	0	0	0	0	0	0	0	0	0	4	0	1	0	0	2	11	0	0	0	0	0	0	1	0	0	0	0	0	24	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	1	49	0	0	0	0	0	0	2	12	0	0	1
2980	3883	"Arkutino Lake"	42.329472	27.724032	85	"AWI"	85	40	1784	707	0	0	77	0	12	0	8	0	1	0	3	0	2	0	0	0	0	0	0	0	4	0	0	1	0	2	13	32	0	0	0	0	0	0	0	0	0	0	5	41	0	1	0	8	0	0	0	0	0	1	0	176	0	0	0	0	3	0	65	0	0	1	0	0	1	0	17	0	0	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	91	"AWI"	91	59	2215	882	1	0	381	0	2	0	4	0	3	1	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	8	12	0	0	0	1	2	3	0	0	0	0	0	20	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	3	2	70	0	0	0	0	0	0	8	16	2	0	1
2980	3883	"Arkutino Lake"	42.329472	27.724032	99	"AWI"	99	259	2412	1147	0	0	292	0	5	0	8	0	3	2	6	0	0	0	9	1	0	0	0	1	1	0	3	0	0	2	9	0	0	0	0	0	7	0	0	0	0	0	0	23	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	39	0	0	0	0	0	0	2	8	0	1	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	105	"AWI"	105	364	2536	1363	1	1	550	0	6	1	4	0	0	2	13	0	2	0	1	0	0	0	0	0	3	0	0	1	0	1	20	7	0	0	0	0	0	2	0	0	0	0	0	23	0	0	1	9	0	0	0	0	0	0	0	0	0	0	2	0	3	1	139	0	0	1	0	0	1	1	11	0	0	1
2980	3883	"Arkutino Lake"	42.329472	27.724032	110	"AWI"	110	433	2644	1557	0	0	90	0	10	2	15	0	0	0	7	0	0	0	0	0	0	0	1	0	3	0	2	0	0	1	9	0	0	0	1	0	0	5	0	0	0	0	1	24	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	4	0	52	0	0	0	0	0	0	0	10	0	0	2
2980	3883	"Arkutino Lake"	42.329472	27.724032	115	"AWI"	115	491	2755	1737	1	3	195	0	8	2	12	0	3	0	6	0	1	0	4	0	0	0	0	0	0	0	1	0	0	1	17	15	0	0	0	2	5	14	0	1	1	0	2	34	0	0	0	6	0	0	0	0	0	0	0	205	0	0	0	0	0	3	115	0	0	0	0	0	1	5	32	0	0	1
2980	3883	"Arkutino Lake"	42.329472	27.724032	120	"AWI"	120	545	2914	1904	1	0	245	0	3	1	22	0	1	0	14	0	0	0	1	1	0	0	0	0	4	0	4	0	0	0	9	8	2	0	0	1	4	8	0	0	0	0	0	35	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	16	0	77	0	0	0	0	0	1	1	21	0	1	2
2980	3883	"Arkutino Lake"	42.329472	27.724032	130	"AWI"	130	1007	3139	2210	0	6	64	0	12	1	2	0	4	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	12	16	0	0	0	0	4	12	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	3	0	146	0	0	0	0	0	0	165	0	0	5	6	0	2	0	6	2	0	1
2980	3883	"Arkutino Lake"	42.329472	27.724032	140	"AWI"	140	1689	3220	2515	0	0	97	0	2	0	12	0	0	0	6	0	1	0	0	0	0	0	0	0	5	0	3	0	0	4	7	0	0	0	1	0	0	11	2	0	0	0	1	21	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	2	3	29	0	0	0	0	0	0	1	6	0	0	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	150	"AWI"	150	2227	3343	2840	1	0	17	0	4	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	10	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	30	0	0	0	0	0	0	2	2	1	0	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	160	"AWI"	160	2616	3522	3133	0	0	11	0	1	0	7	0	1	0	1	0	0	0	1	0	0	0	1	0	5	0	0	0	0	0	7	0	0	0	0	0	0	7	0	0	0	0	0	19	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	23	0	1	0	0	0	0	0	1	2	4	0	0	2
2980	3883	"Arkutino Lake"	42.329472	27.724032	180	"AWI"	180	3123	4034	3559	0	0	11	0	3	3	8	0	5	0	1	0	3	0	0	0	1	0	1	1	4	0	1	1	0	0	19	0	0	0	0	1	3	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	1	0	0	2	7	14	0	0	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	190	"AWI"	190	3234	4493	3748	0	0	7	0	6	2	6	0	4	0	0	0	3	0	7	0	0	0	0	0	3	0	0	0	0	2	16	10	0	0	0	0	0	14	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	4	3	0	0	0	0	0	0	0	6	0	0	0
2980	3883	"Arkutino Lake"	42.329472	27.724032	200	"AWI"	200	3398	4580	3934	0	3	11	0	4	2	15	0	2	0	2	0	3	0	5	0	0	0	0	0	3	0	0	0	0	0	27	22	0	0	0	0	2	33	1	0	0	0	0	73	0	0	0	5	0	0	0	0	0	0	0	229	0	0	0	0	4	0	2	0	0	0	0	0	0	6	12	0	0	0
