"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cupressaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Oleaceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"
15890	24456	"Baïssescure"	43.55	2.8	0	"AWI"	0	-133	31	-51	0	0	9	4	2	4	0	9	5	0	0	0	5	1	0	15	0	0	9	0	0	2	0	0	0	0	15	20	0	2	30	0	0	5	0	1	0	1
15890	24456	"Baïssescure"	43.55	2.8	5	"AWI"	5	-49	656	150	0	0	8	3	3	3	0	5	0	1	0	0	20	4	2	16	0	1	8	1	3	0	0	2	0	0	2	16	0	0	30	0	1	0	0	1	0	0
15890	24456	"Baïssescure"	43.55	2.8	10	"AWI"	10	58	1026	392	0	0	2	3	1	1	0	7	1	0	0	2	5	2	0	9	122	0	9	0	0	0	0	0	0	1	8	7	0	0	30	0	0	10	0	0	0	0
15890	24456	"Baïssescure"	43.55	2.8	15	"AWI"	15	185	1338	626	0	0	2	1	0	5	0	6	1	2	0	2	6	2	0	8	0	0	12	0	0	0	0	0	0	1	8	8	0	0	22	0	0	6	0	0	0	0
15890	24456	"Baïssescure"	43.55	2.8	20	"AWI"	20	333	1628	857	0	0	20	1	0	5	0	12	0	2	0	1	2	15	0	9	0	0	53	0	0	0	0	0	3	3	9	2	0	0	31	0	2	23	0	0	0	1
15890	24456	"Baïssescure"	43.55	2.8	25	"AWI"	25	502	1924	1098	0	0	6	14	1	4	0	4	0	0	0	0	0	4	0	9	0	0	20	0	0	0	0	0	0	3	5	1	0	0	10	0	0	5	0	0	0	1
15890	24456	"Baïssescure"	43.55	2.8	30	"AWI"	30	671	2202	1335	0	0	4	3	2	2	0	4	2	0	0	0	0	3	0	17	0	0	6	0	0	0	0	0	2	0	3	10	0	0	30	0	1	17	0	1	0	0
15890	24456	"Baïssescure"	43.55	2.8	35	"AWI"	35	869	2438	1578	0	0	3	0	1	2	0	9	0	0	0	0	3	9	0	11	0	0	18	0	0	2	0	0	0	1	2	5	0	0	22	0	0	8	0	1	0	0
15890	24456	"Baïssescure"	43.55	2.8	40	"AWI"	40	1082	2679	1812	1	0	6	0	0	1	0	16	0	1	0	0	1	5	0	10	0	0	21	0	0	0	0	0	0	1	0	5	0	0	15	0	0	42	0	1	0	0
15890	24456	"Baïssescure"	43.55	2.8	45	"AWI"	45	1281	2922	2042	0	0	6	2	1	1	0	26	0	0	0	0	0	3	0	20	0	0	22	0	0	0	0	0	0	1	1	5	0	0	19	0	1	6	0	2	0	1
15890	24456	"Baïssescure"	43.55	2.8	50	"AWI"	50	1504	3161	2278	21	0	10	1	3	4	0	60	0	1	0	0	1	8	0	43	0	0	31	0	0	0	0	0	0	1	12	4	0	0	23	0	0	4	0	2	1	1
15890	24456	"Baïssescure"	43.55	2.8	55	"AWI"	55	1729	3374	2517	13	0	4	0	4	2	0	46	0	0	0	0	3	14	0	0	0	0	52	0	0	1	0	0	0	3	4	3	0	0	18	0	0	7	0	8	0	0
15890	24456	"Baïssescure"	43.55	2.8	60	"AWI"	60	1952	3587	2753	9	0	8	0	1	2	0	43	0	0	0	0	2	10	0	29	0	0	32	0	0	0	0	0	0	2	5	3	0	0	23	0	0	8	0	8	0	0
15890	24456	"Baïssescure"	43.55	2.8	65	"AWI"	65	2163	3790	2995	0	0	16	1	1	1	0	111	1	0	0	0	1	28	0	9	0	0	55	1	2	0	0	0	0	9	6	2	0	0	52	0	0	5	0	17	1	1
15890	24456	"Baïssescure"	43.55	2.8	70	"AWI"	70	2423	4020	3234	15	0	3	1	1	0	0	61	0	0	0	0	1	12	0	13	0	0	67	0	0	0	0	1	0	0	9	2	0	0	23	0	0	17	0	16	0	2
15890	24456	"Baïssescure"	43.55	2.8	75	"AWI"	75	2687	4225	3469	9	0	9	0	0	1	0	50	0	0	0	0	0	8	0	10	0	0	44	2	0	0	0	0	0	5	6	0	0	0	23	0	3	0	0	21	0	0
15890	24456	"Baïssescure"	43.55	2.8	80	"AWI"	80	2971	4431	3698	15	0	15	1	3	2	0	45	0	0	0	0	0	10	0	6	0	0	31	8	0	0	0	2	0	4	11	1	38	0	47	0	12	2	0	12	6	2
15890	24456	"Baïssescure"	43.55	2.8	85	"AWI"	85	3270	4614	3925	10	0	6	0	1	0	0	38	0	0	0	0	0	12	0	4	0	0	21	1	0	0	0	2	0	4	7	3	0	0	52	0	4	0	0	9	3	1
