"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lamiaceae"	"Myrica"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sorbus"	"Ulmus"	"Urticaceae"
14497	22706	"Loch Laxford"	58.367324	-5.048628	0.5	"AWI"	0.5	-94.5	84.5	-14	1	0	4	0	1	0	1	0	1	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	2	38	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	2.5	"AWI"	2.5	-60	138.5	46.5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	14	74	0	1	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	4.5	"AWI"	4.5	-47.5	211.5	110	0	0	1	0	0	0	0	0	5	0	0	0	0	0	6	6	117	0	0	0	0	0	3	1	0	32	0	0	0	0	0	0	0	0	0	0	1	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	6.5	"AWI"	6.5	-38	297	172.5	0	0	0	0	0	0	0	0	4	0	0	0	0	0	3	8	81	0	0	0	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	8.5	"AWI"	8.5	-31	390	233	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	75	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	10.5	"AWI"	10.5	-18	463	286	0	0	1	0	0	0	0	0	10	1	0	0	0	0	1	11	96	0	1	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	12.5	"AWI"	12.5	16	475	318	0	0	0	0	0	0	1	0	15	0	0	0	0	0	4	10	139	0	0	0	0	0	1	1	0	6	0	0	0	1	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	14.5	"AWI"	14.5	46	491.5	350.5	0	0	1	0	0	0	0	0	5	0	0	0	0	0	3	9	189	0	0	0	0	0	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	1
14497	22706	"Loch Laxford"	58.367324	-5.048628	16.5	"AWI"	16.5	74	514	381	0	0	3	0	0	0	0	1	4	0	0	0	0	0	1	6	162	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	18.5	"AWI"	18.5	96.5	549	410.5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	8	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
14497	22706	"Loch Laxford"	58.367324	-5.048628	20.5	"AWI"	20.5	131	583.5	439	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	9	157	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	22.5	"AWI"	22.5	209	593.5	461	0	0	2	0	0	0	0	0	5	0	0	0	0	0	2	7	177	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1
14497	22706	"Loch Laxford"	58.367324	-5.048628	24.5	"AWI"	24.5	285	606	484	0	0	1	1	0	0	0	0	6	0	0	0	0	0	3	8	114	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
14497	22706	"Loch Laxford"	58.367324	-5.048628	26.5	"AWI"	26.5	353.5	620	507	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	24	136	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
