"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Orchidaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
15830	24360	"Pertouli"	39.52417	21.4775	0	"AWI"	0	-145	15	-60	296	1	6	7	0	0	0	5	0	16	1	0	3	6	0	0	5	106	0	0	0	12	1	0	5	19	0	3	0	0	0	0	9	0	0	10	0	0	62	6	10	0	5	0	3	1	0	0	0	1	5	0	0
15830	24360	"Pertouli"	39.52417	21.4775	10	"AWI"	10	-91	169	23	308	0	0	2	0	0	0	1	0	1	0	0	1	0	1	0	0	62	0	0	0	4	2	0	0	4	0	5	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15830	24360	"Pertouli"	39.52417	21.4775	20	"AWI"	20	-37	301	108	288	0	6	4	0	0	0	2	0	4	0	0	1	4	1	0	5	116	1	0	0	11	3	1	1	3	0	3	1	0	0	0	9	22	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	5	0	0
15830	24360	"Pertouli"	39.52417	21.4775	30	"AWI"	30	8	401	202	17	8	18	10	0	0	0	5	25	5	1	0	1	17	3	0	11	196	2	0	0	32	13	0	1	7	1	20	0	0	0	0	52	0	0	34	247	0	110	7	0	0	0	0	10	0	1	1	0	0	16	0	0
15830	24360	"Pertouli"	39.52417	21.4775	40	"AWI"	40	104	456	295	50	1	12	8	26	0	0	13	0	6	11	0	4	6	13	0	19	112	1	0	0	41	10	0	1	4	7	84	0	3	0	0	61	0	25	305	184	0	126	14	0	0	0	0	2	0	0	4	0	0	4	0	0
15830	24360	"Pertouli"	39.52417	21.4775	45	"AWI"	45	136	505	345	71	2	7	8	0	0	0	2	0	6	3	0	2	9	0	0	12	100	0	0	0	84	6	1	0	3	3	3	0	0	0	0	17	0	16	15	0	1	62	5	0	0	0	0	0	0	0	0	0	1	7	0	0
15830	24360	"Pertouli"	39.52417	21.4775	50	"AWI"	50	235	654	460	144	0	9	2	0	0	0	2	0	7	1	0	4	0	2	0	12	55	0	0	0	28	7	0	1	1	3	4	0	1	0	0	30	0	0	21	40	1	80	10	0	0	0	0	0	0	0	0	0	0	0	0	0
15830	24360	"Pertouli"	39.52417	21.4775	60	"AWI"	60	329	1256	650	199	3	7	8	16	0	0	9	0	20	2	0	4	4	3	0	19	64	0	0	0	8	10	0	1	2	8	6	0	0	0	0	39	0	0	23	137	2	105	11	0	0	0	0	9	1	0	2	0	0	3	0	0
15830	24360	"Pertouli"	39.52417	21.4775	70	"AWI"	70	505	1731	1001	212	1	5	1	14	15	0	11	0	27	0	0	5	0	2	0	281	25	1	0	0	19	3	0	1	0	1	0	0	1	0	0	34	0	0	15	182	8	92	11	0	0	0	18	2	0	0	2	0	0	7	0	0
15830	24360	"Pertouli"	39.52417	21.4775	80	"AWI"	80	703	2229	1330	217	0	6	5	9	23	0	7	0	33	1	0	7	1	2	0	190	37	0	0	0	11	2	0	0	0	1	1	0	1	0	0	16	0	0	7	111	5	98	11	0	0	0	15	4	0	0	1	0	2	1	0	0
15830	24360	"Pertouli"	39.52417	21.4775	90	"AWI"	90	871	2647	1680	148	1	9	2	8	23	0	7	0	37	0	0	10	1	0	0	428	69	0	0	0	20	7	0	0	0	5	2	0	1	0	0	93	0	0	20	190	2	111	18	0	0	0	20	3	1	0	0	0	2	2	0	0
15830	24360	"Pertouli"	39.52417	21.4775	100	"AWI"	100	1194	2874	2035	269	1	3	0	0	8	0	5	0	11	0	0	7	0	1	0	143	27	1	0	0	4	2	0	0	0	1	2	0	0	0	0	27	0	0	3	0	1	63	7	0	0	0	0	2	0	0	0	1	2	1	0	0
15830	24360	"Pertouli"	39.52417	21.4775	110	"AWI"	110	1553	3133	2380	270	3	4	6	18	3	0	6	0	21	0	0	0	0	0	0	123	32	1	0	0	10	4	0	0	0	0	0	0	0	0	0	29	0	0	5	50	2	52	5	0	0	0	0	3	0	1	0	0	1	1	0	0
15830	24360	"Pertouli"	39.52417	21.4775	120	"AWI"	120	1851	3392	2737	142	8	6	3	0	4	0	4	0	19	2	0	2	0	2	0	240	42	1	0	0	6	6	0	0	0	0	2	0	0	0	0	53	0	0	19	139	0	120	14	0	0	0	0	2	1	0	1	0	1	10	0	0
15830	24360	"Pertouli"	39.52417	21.4775	130	"AWI"	130	2428	3547	3054	206	3	6	5	0	2	0	5	0	17	0	0	1	0	1	0	134	29	0	0	0	3	5	0	0	0	0	2	0	0	0	0	63	0	0	2	49	0	70	11	0	0	0	0	7	0	0	0	0	1	13	0	0
15830	24360	"Pertouli"	39.52417	21.4775	140	"AWI"	140	2939	3770	3372	173	4	6	5	7	1	0	4	0	10	0	0	0	0	2	0	112	22	1	0	0	2	8	0	0	0	3	1	0	4	0	0	75	0	52	3	68	0	77	8	0	0	0	0	6	0	0	0	0	2	2	0	0
15830	24360	"Pertouli"	39.52417	21.4775	150	"AWI"	150	3194	4302	3684	308	3	4	2	0	0	0	2	0	3	0	0	1	0	0	2	19	10	0	0	0	1	4	0	0	2	1	0	0	4	0	0	36	0	0	1	19	0	56	5	0	0	0	0	1	1	0	0	0	3	5	0	1
15830	24360	"Pertouli"	39.52417	21.4775	160	"AWI"	160	3366	4975	3992	185	4	9	10	0	2	0	12	0	12	0	0	2	2	2	0	100	33	0	7	0	6	9	0	0	1	5	0	0	5	0	1	47	0	71	2	93	0	67	9	0	0	0	0	2	0	0	0	0	5	1	0	0
15830	24360	"Pertouli"	39.52417	21.4775	170	"AWI"	170	3568	5570	4300	114	7	4	5	6	1	0	14	21	11	0	0	4	0	0	0	235	36	0	5	0	2	6	8	2	1	1	0	0	15	1	2	60	0	0	5	326	1	136	12	0	0	0	0	2	1	0	3	0	4	4	0	0
15830	24360	"Pertouli"	39.52417	21.4775	180	"AWI"	180	3704	6187	4619	64	2	2	2	6	6	1	6	0	6	0	0	0	0	0	0	124	47	2	0	0	9	19	0	0	2	2	0	0	2	0	0	98	0	0	5	97	4	174	20	0	0	0	0	6	0	0	1	0	4	3	0	0
15830	24360	"Pertouli"	39.52417	21.4775	190	"AWI"	190	3925	6642	4948	32	2	2	8	21	1	0	17	0	3	0	0	1	0	0	0	478	146	0	0	0	1	9	0	0	0	5	0	0	1	0	0	147	0	0	5	152	24	136	16	0	0	0	0	6	0	0	1	0	3	5	0	0
15830	24360	"Pertouli"	39.52417	21.4775	200	"AWI"	200	4163	7137	5273	58	2	5	10	15	3	0	10	0	10	0	0	0	1	0	0	200	121	0	0	10	3	11	0	0	0	10	0	0	0	0	0	122	1	0	2	208	26	125	17	0	0	0	0	2	0	0	0	0	1	2	0	0
15830	24360	"Pertouli"	39.52417	21.4775	210	"AWI"	210	4333	7688	5607	47	0	1	5	0	0	0	0	9	2	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	24	4	0	0	0	0	0	1	0	0	0	0	0	0	0
15830	24360	"Pertouli"	39.52417	21.4775	224	"AWI"	224	4608	8365	6079	38	1	0	2	0	1	0	0	0	2	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
