"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Malvaceae"	"Olea"	"Onagraceae"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Vitaceae"
3068	3999	"Cala'n Porter"	39.87056	4.13139	615	"AWI"	615	3492	4327	3806	0	0	3	13	11	0	4	0	30	2	0	0	0	0	1	0	1	2	17	0	7	1	1	2	0	0	1	0	0	0	0	132	0	0	9	11	10	22	0	0	9	7	0	0	0	0	2	1	1	0	0	0	1
3068	3999	"Cala'n Porter"	39.87056	4.13139	660	"AWI"	660	3639	4547	4042	0	0	2	23	16	0	4	0	27	0	0	0	0	0	0	0	0	4	16	0	3	0	0	0	0	0	0	0	1	0	0	132	0	1	2	7	13	23	0	0	9	10	0	0	0	0	0	0	2	1	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	705	"AWI"	705	3845	4780	4300	0	0	6	6	12	0	4	0	22	0	0	0	0	0	2	0	0	6	35	0	7	0	0	3	0	0	0	1	0	0	0	123	0	0	5	13	8	34	0	0	9	9	0	0	0	0	1	0	0	0	0	0	3
3068	3999	"Cala'n Porter"	39.87056	4.13139	750	"AWI"	750	4059	5003	4550	0	0	0	13	7	0	3	0	11	1	0	0	0	0	1	0	0	3	24	1	6	0	0	2	0	0	0	0	0	0	0	93	0	0	3	11	10	6	0	0	8	10	1	0	0	0	1	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	795	"AWI"	795	4251	5153	4794	0	0	2	6	3	0	1	0	29	1	0	0	0	0	0	0	0	1	14	0	2	0	2	0	0	0	0	0	0	0	0	93	0	0	1	11	4	17	0	0	2	7	1	0	0	0	2	0	0	0	0	0	2
3068	3999	"Cala'n Porter"	39.87056	4.13139	850	"AWI"	850	4824	5254	5042	0	0	1	7	21	0	11	0	20	2	0	0	0	0	0	0	0	4	6	2	5	0	0	1	0	0	0	0	1	0	0	158	0	0	0	4	14	14	0	0	7	7	0	0	0	0	0	0	0	0	0	0	3
3068	3999	"Cala'n Porter"	39.87056	4.13139	860	"AWI"	860	4883	5289	5090	0	0	7	6	23	0	3	3	32	2	0	0	0	0	1	0	0	18	19	0	15	0	5	2	0	0	1	2	0	0	0	239	0	0	0	2	6	11	0	0	6	9	0	0	0	0	1	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	870	"AWI"	870	4922	5336	5136	0	0	2	3	17	0	6	3	45	1	0	0	0	0	2	0	0	6	6	5	5	0	0	2	0	0	0	0	0	0	0	78	0	0	0	2	3	29	0	9	3	9	0	0	0	0	3	0	0	3	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	880	"AWI"	880	4950	5398	5189	0	0	4	4	24	0	2	1	48	0	0	1	0	0	1	0	0	5	14	7	4	0	4	0	0	0	0	1	0	0	0	89	0	0	0	9	0	42	0	0	1	4	0	0	0	0	2	0	0	2	0	0	1
3068	3999	"Cala'n Porter"	39.87056	4.13139	890	"AWI"	890	4976	5470	5239	0	0	3	4	14	0	4	0	30	1	0	0	0	0	2	0	0	1	5	0	1	0	3	0	1	0	0	0	0	0	0	97	0	0	0	0	1	31	0	0	6	6	0	0	0	0	1	0	0	0	0	1	1
3068	3999	"Cala'n Porter"	39.87056	4.13139	900	"AWI"	900	4997	5548	5280	0	0	2	4	36	0	4	1	58	0	0	0	0	0	5	0	0	7	7	12	14	0	3	0	0	0	0	9	0	0	0	14	0	0	0	12	0	52	0	0	2	2	0	0	0	0	0	0	0	1	1	0	1
3068	3999	"Cala'n Porter"	39.87056	4.13139	910	"AWI"	910	5012	5637	5323	0	0	5	3	29	1	3	0	67	0	0	0	0	0	4	0	0	1	10	4	6	0	4	4	0	0	0	7	0	0	0	26	0	0	1	13	1	41	0	0	3	3	0	0	0	0	2	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	920	"AWI"	920	5076	5679	5366	0	0	6	3	26	0	3	0	56	0	0	2	0	0	9	0	0	7	26	5	6	0	2	0	0	0	0	1	0	0	0	15	0	0	0	13	0	62	0	0	6	2	0	0	0	0	0	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	930	"AWI"	930	5131	5703	5411	0	0	3	5	23	0	2	3	44	0	0	0	0	0	3	0	0	5	15	1	3	0	1	1	0	1	0	0	0	0	0	87	0	0	0	3	0	80	0	0	7	7	0	0	0	0	3	0	0	0	0	0	3
3068	3999	"Cala'n Porter"	39.87056	4.13139	940	"AWI"	940	5174	5725	5460	0	0	5	3	19	0	2	1	51	0	0	0	0	0	3	0	0	4	11	4	1	0	2	1	0	0	0	0	1	0	0	72	0	0	0	6	0	59	0	0	10	1	0	0	0	0	6	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	950	"AWI"	950	5208	5760	5512	1	0	2	6	10	0	2	3	41	0	0	0	0	0	7	0	0	12	2	2	5	0	0	0	0	0	0	0	0	0	0	94	0	0	0	9	0	86	0	0	6	2	0	0	0	0	3	0	1	0	1	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	960	"AWI"	960	5239	5799	5558	0	0	4	2	27	0	2	2	53	0	0	3	0	0	10	0	0	5	8	5	2	0	0	0	0	1	0	1	0	0	0	8	0	0	0	10	2	52	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	970	"AWI"	970	5265	5858	5604	0	0	1	6	26	0	0	1	45	0	0	0	0	0	6	0	0	3	9	4	3	0	0	0	0	0	0	1	0	0	0	7	0	0	0	13	0	70	0	0	5	2	1	0	0	0	3	0	0	0	0	0	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	980	"AWI"	980	5348	5880	5642	0	0	5	2	26	0	5	1	34	0	0	0	0	0	2	0	0	0	1	4	7	0	0	0	0	2	0	2	1	0	0	37	0	0	0	4	0	24	0	0	3	4	0	0	0	0	4	0	0	0	0	1	0
3068	3999	"Cala'n Porter"	39.87056	4.13139	990	"AWI"	990	5435	5898	5679	2	0	2	0	6	0	0	5	45	1	0	0	0	0	10	0	0	2	1	4	2	0	1	0	0	3	0	0	2	0	1	30	0	0	0	13	0	54	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
3068	3999	"Cala'n Porter"	39.87056	4.13139	1000	"AWI"	1000	5515	5918	5716	0	0	6	3	30	0	2	2	21	1	0	1	0	0	1	0	0	4	0	2	4	1	0	0	0	2	0	6	1	0	0	79	0	0	2	6	0	63	0	0	4	5	0	0	0	1	0	0	0	0	1	0	2
3068	3999	"Cala'n Porter"	39.87056	4.13139	1010	"AWI"	1010	5575	5943	5752	0	0	0	8	29	0	1	1	29	0	0	3	0	0	6	0	0	1	1	3	6	0	0	1	0	4	0	8	1	0	0	31	0	0	0	14	0	53	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4
