"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Fraxinus"	"Juniperus"	"Liliaceae"	"Lythraceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	6	"AWI"	6	9069	10266	9756	0	0	0	0	0	0	10	0	0	6	0	0	0	0	196	92	0	0	1	1	0	0	0	0	0	0	35	0	6	0	0	0	0	0	0	1	0	0	12	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	14	"AWI"	14	9296	10412	9928	7	0	0	0	0	0	3	1	0	0	0	0	0	0	252	108	0	0	1	1	0	0	0	0	0	0	12	0	10	0	0	0	0	3	0	0	0	0	17	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	22	"AWI"	22	9506	10566	10076	8	0	0	0	0	0	6	0	0	0	0	0	0	0	212	189	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	40	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	30	"AWI"	30	9686	10719	10243	12	0	0	0	0	0	6	3	1	0	0	0	0	0	241	69	0	0	1	1	0	0	0	0	0	0	25	0	11	0	0	0	0	1	0	0	0	0	46	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	38	"AWI"	38	9928	10819	10402	2	0	0	0	0	0	1	0	0	0	0	0	0	0	78	42	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	47	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	46	"AWI"	46	10176	10945	10552	10	0	0	0	0	0	10	11	0	0	0	0	0	0	493	248	0	0	3	1	0	0	0	0	0	0	34	0	3	0	0	0	0	0	0	0	0	0	84	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	54	"AWI"	54	10377	11044	10696	3	0	0	0	0	0	8	0	0	0	0	0	0	0	153	143	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	2	0	0	0	0	53	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	58	"AWI"	58	10492	11078	10776	3	0	0	0	0	0	13	2	0	0	0	0	0	0	134	110	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0	28	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	62	"AWI"	62	10569	11127	10861	3	0	0	0	0	0	14	0	0	0	0	0	0	0	70	153	0	0	0	0	0	0	0	0	0	0	10	0	3	0	0	0	1	0	0	0	0	0	74	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	66	"AWI"	66	10652	11186	10947	2	0	0	0	0	0	9	0	0	0	0	0	0	0	46	253	0	0	0	0	0	0	0	0	0	0	10	0	1	0	0	0	0	1	0	0	0	0	48	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	70	"AWI"	70	10750	11245	11035	4	0	0	0	0	0	11	0	0	0	0	0	0	0	4	27	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	8	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	74	"AWI"	74	10809	11360	11114	0	0	0	0	0	0	12	0	0	0	0	0	0	0	2	78	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	4	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	76	"AWI"	76	10828	11435	11153	0	0	0	0	1	0	21	1	0	0	0	0	0	0	0	84	1	1	0	4	0	0	0	0	0	0	19	1	1	0	0	0	0	1	0	0	1	0	0	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	80	"AWI"	80	10972	11492	11236	0	0	0	0	4	0	26	0	0	0	0	0	0	0	0	267	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	84	"AWI"	84	11079	11552	11321	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	186	1	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0
14639	22962	"Wachseldorn Untermoos"	46.82194	7.735	86	"AWI"	86	11124	11600	11368	0	0	0	0	2	0	7	0	0	0	0	0	0	0	0	48	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
