"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fraxinus"	"Ilex"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Myrica"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
23799	41233	"Bigholm Burn"	55.12028	-3.0725	5	"AWI"	5	-48	734	157	0	3	0	0	9	0	11	20	0	9	0	1	103	0	2	0	0	0	0	0	3	0	0	0	1	0	10	0	0	44	0	18	0	0	0	5	0	0	50	0	3	0	0	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	10	"AWI"	10	60	1139	419	0	1	0	0	5	0	12	17	0	12	0	0	92	1	0	0	0	0	0	0	5	0	0	0	1	0	7	0	0	56	0	6	1	0	0	0	3	0	37	0	0	0	0	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	15	"AWI"	15	189	1482	687	0	1	0	0	6	0	10	22	0	11	1	0	92	0	0	0	0	0	0	0	4	0	0	0	1	0	9	0	0	94	0	3	2	0	0	0	3	0	25	0	3	0	0	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	20	"AWI"	20	346	1849	954	0	0	0	0	4	0	7	6	0	10	0	0	86	0	0	0	0	0	0	0	6	0	0	0	1	0	2	0	0	57	0	5	0	0	0	0	1	0	29	0	0	0	0	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	25	"AWI"	25	517	2148	1222	1	1	0	0	8	0	11	18	0	7	1	0	65	0	0	0	0	0	0	0	1	0	1	0	1	0	10	0	0	54	0	5	0	0	0	6	3	0	20	0	5	0	1	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	30	"AWI"	30	702	2480	1478	0	0	0	0	6	0	7	12	0	17	0	0	82	0	0	0	0	0	0	0	4	0	0	0	1	1	6	0	0	87	0	4	0	0	0	4	2	0	28	0	2	0	0	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	35	"AWI"	35	930	2757	1736	0	1	0	0	11	0	18	13	0	21	0	0	109	0	0	0	0	0	0	0	6	0	0	0	1	0	10	0	0	64	0	5	2	0	0	0	2	0	16	0	4	0	0	1	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	40	"AWI"	40	1127	3032	1990	0	0	0	0	4	0	7	5	0	3	0	0	123	0	0	0	0	0	0	0	3	0	0	0	1	0	6	0	0	49	0	0	0	0	0	0	4	0	9	0	1	0	0	1	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	45	"AWI"	45	1334	3295	2252	0	1	0	0	1	0	39	1	0	4	0	0	150	0	0	0	0	0	0	0	33	0	0	0	1	0	6	0	0	49	0	0	0	0	0	0	3	0	22	0	4	0	1	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	50	"AWI"	50	1561	3598	2528	0	0	0	0	2	0	20	2	0	2	0	0	134	0	0	0	0	0	0	0	12	0	0	0	0	0	6	0	0	56	0	0	0	0	0	0	6	0	31	0	2	0	0	0	0
23799	41233	"Bigholm Burn"	55.12028	-3.0725	55	"AWI"	55	1781	3871	2786	5	1	0	0	0	0	35	1	0	4	0	5	155	1	0	0	0	0	0	0	21	0	0	0	1	0	3	0	0	57	0	1	1	0	44	0	4	0	36	0	2	0	0	0	0
