"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	0	"AWI"	0	-149	22	-53	16	0	18	1	0	1	0	0	0	829	0	5	0	0	0	0	0	2	0	16	0	0	0	0	3	0	41	1	7	1	0	1	1	0	0	0	0	0	17	0	68	71	0	0	0	0	0	0	41	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	2	"AWI"	2	-119	88	-17	2	0	6	0	0	1	0	0	0	2365	0	0	0	0	0	0	0	3	0	12	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	5	19	0	0	0	0	0	0	15	2	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	4	"AWI"	4	-94	147	18	2	0	14	1	0	0	0	0	0	647	0	0	0	0	0	0	0	2	0	40	0	3	0	0	0	0	18	0	4	0	0	0	0	0	0	0	0	0	6	0	3	47	0	0	0	0	0	0	41	0	0	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	8	"AWI"	8	-33	252	91	0	0	11	0	0	1	0	0	0	94	0	4	0	0	2	0	0	4	0	20	2	21	0	0	0	0	6	0	3	0	0	0	0	3	1	0	0	0	5	0	1	11	0	0	0	0	0	0	39	0	0	1	8	3	0	0	0	1	2	0	0	0	1	1	0	1
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	12	"AWI"	12	32	349	169	3	0	51	0	0	2	0	1	0	85	0	1	0	0	10	0	0	15	0	18	0	45	0	0	320	0	8	0	3	0	0	0	0	2	6	0	1	0	4	0	1	21	0	0	0	0	1	0	95	0	0	1	23	5	0	0	0	3	1	0	0	0	2	5	0	0
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	16	"AWI"	16	97	427	243	0	0	82	1	0	0	0	0	0	63	0	0	0	0	15	0	0	3	0	17	0	30	0	0	0	0	18	0	0	0	0	0	0	1	19	0	0	0	7	1	0	12	0	0	0	0	1	0	54	0	0	0	10	1	0	0	0	1	1	0	0	2	1	1	0	2
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	20	"AWI"	20	162	515	320	1	1	104	2	0	0	0	2	0	94	0	1	0	0	10	0	1	6	1	32	0	36	0	0	57	0	71	2	1	0	0	0	0	3	7	0	0	0	7	1	0	3	0	0	1	0	0	0	69	0	0	0	15	3	0	0	1	1	0	0	1	1	1	0	0	0
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	24	"AWI"	24	238	597	393	0	0	231	0	0	0	0	1	0	248	0	0	0	0	4	0	0	0	0	39	0	60	0	0	6	0	107	11	1	0	0	0	0	1	1	0	0	0	9	0	0	7	0	0	0	0	0	0	59	0	0	1	7	3	0	0	0	2	0	0	0	0	0	1	0	1
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	28	"AWI"	28	326	686	473	0	0	114	1	0	1	1	1	0	51	0	2	0	0	6	0	1	1	0	18	0	73	0	0	0	0	77	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0	47	0	0	0	0	19	0	0	1	7	6	0	0	0	1	1	0	1	1	0	2	0	2
16342	25370	"Le Verny des Brûlons"	47.31778	4.12278	32	"AWI"	32	410	771	549	0	0	1317	0	0	0	0	1	0	211	0	0	0	0	2	0	0	1	0	12	0	11	0	0	0	0	54	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	12	0	0	0	2	9	0	0	0	1	0	0	0	0	0	0	0	0
