"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juglans"	"Juniperus"	"Ligustrum"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
16144	24952	"Le Miroir"	46.53944	5.32667	80	"AWI"	80	1542	2288	1911	0.497512437810945	0	56.7164179104478	0.497512437810945	0	0	0	0	4.97512437810945	0	0	0	0	0	0.497512437810945	3.98009950248756	0	9.95024875621891	0	0.497512437810945	0	0.497512437810945	0.995024875621891	0	0	0	1.49253731343284	1.99004975124378	0	8.45771144278607	5.97014925373134	0	0	0	0.995024875621891	0.497512437810945	0	0	0	0.497512437810945	0.995024875621891	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	85	"AWI"	85	1672	2399	2035	0	0	53.125	0.520833333333333	0	0	0	0	4.16666666666667	0	0	0	0	0	0	10.4166666666667	0	8.33333333333333	0	0	0	2.08333333333333	1.5625	0	0	0	0	3.125	0	7.29166666666667	6.25	0	0	0	0	1.04166666666667	0	0	0	0.520833333333333	1.5625	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	130	"AWI"	130	2909	3362	3145	0.485436893203883	0	42.2330097087379	0.485436893203883	0	0	0.485436893203883	0	2.42718446601942	0	0	0	0	0	0	16.9902912621359	0	3.39805825242718	0	0	0	4.36893203883495	2.42718446601942	0	0	0	0	3.88349514563107	0	9.22330097087379	8.25242718446602	0	0	0	0	1.45631067961165	0	0	0	2.42718446601942	1.45631067961165	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	135	"AWI"	135	3076	3454	3265	0.515463917525773	0	39.1752577319588	1.03092783505155	0.515463917525773	0	0.515463917525773	0	2.57731958762887	0	0	0	0.515463917525773	0	0	17.5257731958763	0	3.09278350515464	0	0	0	6.18556701030928	2.57731958762887	0	0	0	0	4.12371134020619	0	7.7319587628866	8.24742268041237	0	0	0	0	1.03092783505155	0	0	0	3.09278350515464	1.54639175257732	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	140	"AWI"	140	3234	3664	3402	0.555555555555556	0	45.5555555555556	0.555555555555556	0	0	1.11111111111111	0	3.33333333333333	0	0	0	0	0	0	18.3333333333333	0	2.22222222222222	0	0	0	6.66666666666667	3.33333333333333	0	0	0	0	4.44444444444444	0	0	8.88888888888889	0	0	0	0	0.555555555555556	0	0	0	2.22222222222222	2.22222222222222	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	145	"AWI"	145	3351	3940	3581	0.512820512820513	0	43.0769230769231	0	0	0	0.512820512820513	0	3.58974358974359	0	0	0	0	0	0	15.8974358974359	0	2.05128205128205	0	0	0	6.15384615384615	2.56410256410256	0	0	0.512820512820513	0	3.58974358974359	0	7.69230769230769	8.71794871794872	0	0	0	0	0.512820512820513	0	0	0	2.56410256410256	2.05128205128205	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	150	"AWI"	150	3478	4170	3764	0.512820512820513	0	45.1282051282051	0.512820512820513	0	0	0	0	4.1025641025641	0	0	0	0	0	0	16.4102564102564	0	1.53846153846154	0	0	0	5.12820512820513	1.02564102564103	0	0	0	0	4.1025641025641	0	8.71794871794872	8.2051282051282	0	0	0	0	0.512820512820513	0	0	0	2.05128205128205	2.05128205128205	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	155	"AWI"	155	3614	4414	3945	0.571428571428571	0	49.7142857142857	0	0	0	0	0	6.28571428571429	0	0	0	0	0	0	15.4285714285714	0	1.14285714285714	0	0	0	6.85714285714286	1.14285714285714	0	0	0	0	3.42857142857143	0	0	10.2857142857143	0	0	0	0.571428571428571	0.571428571428571	0	0	0	2.28571428571429	1.71428571428571	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	160	"AWI"	160	3757	4630	4128	0.680272108843537	0	51.0204081632653	0.680272108843537	0	0	0	0	6.12244897959184	0	0	0	0	0	0	14.2857142857143	0	0.680272108843537	0	0	0	6.12244897959184	0	0	0	0	0	4.08163265306122	0	0	10.2040816326531	0	0	0	0	0.680272108843537	0	0	0	1.36054421768707	4.08163265306122	0	0
16144	24952	"Le Miroir"	46.53944	5.32667	165	"AWI"	165	3903	4837	4304	0.558659217877095	0.558659217877095	42.4581005586592	0	0	0	0	0	4.46927374301676	0	0	0	0	0	0	17.877094972067	0	5.58659217877095	0	0	0	5.58659217877095	1.11731843575419	0	0	0	0	3.35195530726257	0	0	9.49720670391061	0	0	0	0	0.558659217877095	0	0	0	4.46927374301676	3.91061452513966	0	0
