"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	5	"AWI"	5	-103	107	-6	1	0	0	120	1	0	0	0	0	114	6	0	2	0	0	0	0	14	10	0	0	0	0	11	2	1	0	0	0	2	0	0	0	0	0	11	0	8	386	0	159	0	0	0	50	0	0	0	20	1	0	0	1	1	0	0	4	1	9	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	10	"AWI"	10	-84	221	34	7	0	0	100	4	1	0	1	0	60	1	0	3	0	0	0	0	13	7	0	0	0	0	16	0	0	0	0	0	2	0	0	0	0	0	18	0	9	781	0	94	0	0	0	75	0	0	0	6	0	1	0	0	0	0	0	0	0	5	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	20	"AWI"	20	-61	477	114	1	0	1	44	1	1	0	1	0	28	0	0	0	0	0	0	0	6	2	0	0	0	0	4	1	0	0	0	0	1	0	0	0	0	0	8	0	6	513	0	116	0	0	0	36	0	0	0	9	0	1	0	0	0	0	0	2	0	1	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	25	"AWI"	25	-52	608	155	10	0	0	70	2	0	0	1	0	26	2	0	1	0	0	0	0	16	10	0	0	0	0	21	1	1	0	0	0	1	0	0	0	0	0	15	0	7	1197	0	0	0	0	0	44	0	0	0	8	0	0	0	0	0	0	0	4	0	1	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	30	"AWI"	30	-26	708	198	13	0	0	73	0	1	2	1	0	35	1	0	1	0	0	0	0	15	16	0	0	0	0	19	1	0	0	0	0	1	0	0	1	0	0	22	0	6	897	0	0	0	0	0	73	0	0	1	9	4	0	0	0	0	1	0	2	0	2	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	35	"AWI"	35	11	747	250	7	0	0	143	1	2	0	3	0	46	0	0	4	0	0	0	0	35	11	0	0	0	0	26	0	2	0	0	0	0	0	0	0	0	0	27	0	7	877	0	0	0	0	0	106	0	0	0	8	1	0	0	0	0	0	0	7	0	1	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	40	"AWI"	40	36	791	304	8	0	0	155	0	1	1	4	0	73	0	0	1	0	0	0	0	35	7	0	0	0	0	16	1	3	0	0	0	0	1	0	0	0	0	17	0	6	469	0	0	0	0	0	79	0	0	0	11	0	0	0	0	0	0	0	5	0	2	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	45	"AWI"	45	54	852	356	3	0	0	161	1	2	0	4	0	70	2	0	0	0	0	0	0	35	1	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	26	0	6	380	0	0	0	0	0	90	0	0	0	4	1	0	0	0	0	0	0	2	0	1	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	50	"AWI"	50	71	923	407	9	0	0	95	0	0	0	1	0	36	0	0	3	0	0	0	0	37	6	0	0	0	0	37	0	1	0	0	0	0	0	0	0	0	0	56	0	8	635	0	0	0	0	0	111	0	0	0	7	2	0	0	0	0	0	0	7	0	0	0	0
14541	22788	"Kleinen Mochowsee"	51.99639	14.19889	55	"AWI"	55	84	1007	455	1	0	0	180	1	1	0	9	0	110	0	0	7	0	0	0	0	29	7	0	0	0	0	18	0	0	1	0	0	0	1	0	0	0	0	22	0	2	167	0	0	0	0	0	80	0	0	0	15	1	0	0	0	0	0	0	3	0	4	0	0
