"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Berberidaceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Gentianaceae"	"Grossulariaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Morus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
23669	41469	"Burgaschisee"	47.16969	7.66823	100	"AWI"	100	185	414	306	3	0	0	60	0	0	0	1	2	0	0	0	0	0	0	1	0	25	0	0	9	0	0	0	0	0	20	0	0	38	1	0	0	0	0	0	17	0	0	0	0	0	0	4	0	17	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	77	0	3	0	1	109	0	0	0	1	0	9	0	0	0	0	0	0	1	2	0	0	0	1	3	1	0	1
23669	41469	"Burgaschisee"	47.16969	7.66823	110	"AWI"	110	226	443	344	12	1	0	66	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	23	0	0	34	0	0	0	0	0	0	37	0	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	0	0	0	0	0	12	0	0	0	0	71	0	10	0	1	98	0	0	0	1	9	9	0	0	0	0	0	0	0	1	0	0	0	2	3	0	0	1
23669	41469	"Burgaschisee"	47.16969	7.66823	120	"AWI"	120	267	470	383	6	0	0	64	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	39	0	0	41	0	0	0	0	0	0	47	0	0	0	0	0	1	3	0	22	0	0	1	0	0	0	0	1	0	0	0	0	15	0	0	0	0	65	0	7	0	2	113	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	130	"AWI"	130	312	496	420	11	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	45	0	0	1	0	0	0	1	1	28	0	0	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	71	0	7	0	0	213	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	139	"AWI"	139	366	525	452	7	1	0	83	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	59	0	0	17	0	0	0	0	0	0	56	0	0	0	0	0	0	6	1	10	0	0	0	0	0	0	0	1	0	0	0	0	12	0	0	0	0	53	0	1	0	0	222	0	0	0	0	0	8	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	147	"AWI"	147	418	549	479	13	1	0	90	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	59	0	0	25	0	0	0	0	0	0	79	0	0	0	0	0	1	3	1	31	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	62	0	10	0	2	184	0	0	0	1	0	7	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	157	"AWI"	157	482	607	522	27	0	0	111	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	0	5	0	21	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	52	0	10	0	0	119	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	2	6	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	167	"AWI"	167	515	704	581	14	0	0	96	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	105	0	0	0	1	0	0	0	0	0	75	0	0	0	0	0	1	6	2	27	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	89	0	24	0	1	150	0	1	0	1	0	9	0	0	0	0	0	3	0	0	0	0	0	4	7	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	177	"AWI"	177	552	808	650	13	1	0	60	2	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	55	0	5	0	0	0	0	2	1	21	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	116	0	12	0	0	128	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	1
23669	41469	"Burgaschisee"	47.16969	7.66823	187	"AWI"	187	592	900	718	9	1	0	75	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	1	0	19	0	0	0	0	1	1	0	0	0	0	0	0	10	0	0	0	0	87	0	11	0	1	73	0	1	0	1	0	10	0	0	0	0	0	0	1	0	0	0	0	2	8	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	196	"AWI"	196	633	967	780	21	0	0	74	1	0	0	0	9	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	59	1	0	0	0	0	0	2	1	22	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	132	0	46	0	0	90	0	0	0	2	0	30	0	0	0	0	0	1	0	0	0	0	0	3	8	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	206	"AWI"	206	686	1025	852	12	1	0	60	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	89	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	4	2	20	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	104	0	53	0	0	92	0	1	0	1	0	28	0	0	0	0	0	1	0	1	0	2	0	2	10	0	0	1
23669	41469	"Burgaschisee"	47.16969	7.66823	216	"AWI"	216	743	1083	920	12	1	0	88	1	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	1	11	0	0	1	0	0	0	0	0	0	0	4	0	20	0	0	0	0	97	0	9	0	0	129	0	0	0	1	0	21	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	226	"AWI"	226	814	1144	985	22	2	0	104	3	0	0	0	5	0	0	0	0	0	0	0	0	120	0	0	2	0	0	0	0	0	90	0	1	0	0	0	0	0	0	0	125	0	0	0	0	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0	94	0	7	0	2	148	0	0	0	2	0	16	0	0	0	0	0	0	0	1	0	0	0	4	6	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	236	"AWI"	236	868	1194	1054	12	1	0	136	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	15	0	0	0	0	48	0	20	0	1	119	0	0	0	1	0	6	0	0	0	0	0	0	1	0	0	0	0	0	5	1	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	246	"AWI"	246	961	1241	1125	9	1	0	242	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	48	0	45	0	0	81	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0
23669	41469	"Burgaschisee"	47.16969	7.66823	256	"AWI"	256	1057	1278	1195	11	1	0	276	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	63	0	26	0	0	22	0	0	0	1	0	23	0	0	0	0	0	0	0	0	0	0	0	6	3	1	0	0
