"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Phillyrea"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	0	"AWI"	0	86	260	161	3	0	12	1	0	0	0	0	28	0	0	0	0	0	3	0	9	0	8	45	0	0	15	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	11	57	5	0	0	0	47	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	1	"AWI"	1	122	358	217	1	0	3	1	4	0	0	0	18	0	0	0	0	0	6	0	4	0	34	36	0	0	6	3	0	0	0	0	1	0	0	0	0	4	0	1	0	0	1	37	0	0	0	0	34	0	0	0	0	6	1	0	0	0	2	0	0	0	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	5	"AWI"	5	224	832	451	0	0	4	3	0	0	1	0	29	2	0	0	0	0	3	0	3	0	34	0	0	0	2	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	2	24	0	59	0	0	23	0	0	0	0	6	1	0	0	0	1	0	0	1	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	10	"AWI"	10	412	1239	772	2	0	6	0	0	0	0	0	9	1	0	0	0	0	3	0	3	0	2	83	0	0	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	11	5	0	0	0	16	0	0	0	0	4	0	0	0	0	1	0	0	1	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	15	"AWI"	15	641	1573	1097	0	0	9	0	1	0	0	0	17	0	0	0	0	0	4	0	8	0	2	176	0	0	5	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	10	0	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	20	"AWI"	20	958	1836	1420	1	0	6	1	1	0	1	0	35	0	0	0	0	1	5	0	10	0	17	0	0	0	9	1	0	0	1	1	0	0	0	1	0	1	1	1	0	0	0	2	2	0	0	0	15	0	0	0	0	5	1	0	0	0	1	0	0	0	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	25	"AWI"	25	1293	2074	1736	1	0	35	0	1	0	1	0	71	0	0	0	0	1	4	1	33	0	14	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	61	0	0	70	0	0	0	0	3	1	1	0	0	0	0	0	1	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	30	"AWI"	30	1719	2258	2041	1	1	26	1	0	1	2	0	113	0	0	0	0	0	2	0	37	0	12	0	0	0	91	2	1	0	0	0	0	0	0	0	0	1	10	1	0	0	0	2	5	0	0	0	52	0	0	0	2	1	1	0	0	0	0	0	2	1	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	35	"AWI"	35	2017	2485	2276	1	1	48	0	2	0	0	0	43	0	0	0	0	0	0	0	34	0	12	0	0	0	148	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	77	0	0	0	0	1	0	0	0	0	1	0	7	1	0	0	0
16276	25230	"Tourbière de Chabannes"	45.64917	2.31056	40	"AWI"	40	2159	2759	2452	2	0	16	1	0	0	1	0	18	0	0	0	0	0	0	0	31	0	3	0	0	0	88	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	49	0	0	0	0	0	14	0	0	1	1	0	2	2	0	0	0
