"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Lamiaceae"	"Larix"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3189	4145	"Kepskoe"	65.08333	32.16667	5	"AWI"	5	-96	236	25	0	0	0	0	1	0	0	26	8	0	0	0	0	8	320	10	0	0	1	0	0	0	1	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	25	"AWI"	25	69	929	376	0	0	0	0	0	0	0	10	0	0	0	0	0	3	90	4	0	0	0	8	0	0	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	50	"AWI"	50	339	1578	837	1	0	0	0	0	0	0	25	0	0	0	0	0	12	125	1	0	0	0	0	1	0	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	75	"AWI"	75	688	2119	1305	0	0	0	0	0	0	1	32	0	0	0	0	0	46	292	2	0	1	0	0	0	0	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	100	"AWI"	100	1047	2639	1770	1	0	0	0	1	0	1	12	0	0	0	0	0	22	119	1	0	0	0	0	0	0	0	0	0	1
3189	4145	"Kepskoe"	65.08333	32.16667	125	"AWI"	125	1469	3144	2232	1	0	0	0	1	0	3	23	0	0	0	0	1	33	148	0	0	2	0	0	0	0	0	0	0	2
3189	4145	"Kepskoe"	65.08333	32.16667	150	"AWI"	150	1869	3621	2689	0	0	0	0	0	0	0	24	0	0	1	0	0	18	101	1	0	1	0	0	0	0	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	175	"AWI"	175	2285	4094	3163	1	0	0	0	0	0	1	13	0	0	0	0	0	15	70	0	0	0	0	0	0	3	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	200	"AWI"	200	2723	4564	3632	0	0	0	0	0	0	1	25	0	0	0	0	1	18	65	0	0	1	0	0	0	1	1	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	225	"AWI"	225	3196	4966	4097	0	0	0	0	0	0	2	58	0	0	0	0	0	25	86	0	0	0	0	0	0	0	2	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	250	"AWI"	250	3662	5397	4570	1	0	0	0	0	0	0	17	0	0	0	0	0	23	117	1	0	0	0	0	0	0	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	275	"AWI"	275	4155	5823	5024	0	0	0	0	1	0	3	20	0	0	1	0	0	31	159	2	0	0	0	0	0	0	0	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	300	"AWI"	300	4645	6222	5481	2	21	0	0	5	0	1	40	0	0	0	0	0	25	189	2	0	0	1	0	0	0	0	0	1	0
3189	4145	"Kepskoe"	65.08333	32.16667	325	"AWI"	325	5177	6585	5945	0	0	0	1	2	220	1	16	0	0	0	0	0	30	200	0	0	1	1	0	0	0	0	0	0	5
3189	4145	"Kepskoe"	65.08333	32.16667	350	"AWI"	350	5722	6945	6399	0	0	0	0	1	0	5	9	0	0	0	0	0	6	255	6	1	1	0	0	0	0	1	0	1	2
3189	4145	"Kepskoe"	65.08333	32.16667	375	"AWI"	375	6369	7255	6846	0	0	0	0	1	0	4	14	0	0	0	0	0	0	165	3	1	1	0	0	0	1	1	1	0	3
3189	4145	"Kepskoe"	65.08333	32.16667	400	"AWI"	400	6982	8076	7415	0	0	0	0	3	0	7	16	0	1	0	0	0	6	285	4	1	0	0	0	0	0	0	0	1	2
3189	4145	"Kepskoe"	65.08333	32.16667	425	"AWI"	425	7577	9025	8248	0	0	0	0	1	0	4	23	0	1	0	0	0	4	297	3	0	1	1	0	0	0	1	0	0	4
3189	4145	"Kepskoe"	65.08333	32.16667	450	"AWI"	450	8285	9816	9092	0	0	0	0	2	0	6	17	0	0	0	0	0	4	266	5	1	1	0	0	0	0	1	0	1	4
3189	4145	"Kepskoe"	65.08333	32.16667	475	"AWI"	475	9442	10357	9906	0	0	0	0	1	0	3	20	0	0	0	1	0	1	225	6	1	0	3	0	0	0	2	0	0	0
3189	4145	"Kepskoe"	65.08333	32.16667	490	"AWI"	490	9837	11178	10354	0	0	0	1	0	221	0	32	0	0	0	0	0	1	13	22	0	1	0	0	0	0	4	1	0	0
