"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Lamiaceae"	"Ligustrum"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	0	"AWI"	0	-130	75	-54	0	3	7	1	1	0	0	0	3	0	0	0	0	0	0	5	4	4	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	36	1	0	229	0	0	0	29	2	3	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	10	"AWI"	10	-53	639	144	0	2	1	13	0	1	0	0	0	1	0	0	1	2	0	0	8	3	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	33	0	225	0	0	0	9	0	31	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	20	"AWI"	20	44	959	382	0	4	4	2	1	2	0	0	1	0	0	0	3	0	0	4	6	3	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	5	0	21	0	0	0	5	0	113	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	30	"AWI"	30	187	1270	614	0	3	8	2	0	1	0	0	2	0	0	0	5	0	0	9	8	3	0	0	3	0	0	0	0	1	0	0	0	0	1	1	1	0	0	2	5	0	40	0	0	0	19	0	106	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	45	"AWI"	45	399	1689	975	0	5	7	2	1	1	0	0	0	0	0	0	1	1	0	5	16	5	0	0	2	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	41	0	0	0	16	0	68	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	55	"AWI"	55	572	1902	1226	0	6	8	2	0	0	0	15	1	0	0	0	2	0	0	5	7	0	0	1	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	2	7	0	59	0	0	0	13	0	49	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	60	"AWI"	60	681	2004	1343	1	6	0	2	1	1	0	0	1	0	0	0	1	0	0	3	12	0	0	1	3	1	0	0	0	1	1	0	0	2	1	1	0	1	0	1	3	0	56	0	0	0	24	0	48	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	65	"AWI"	65	765	2105	1460	1	3	8	4	0	1	0	0	4	0	0	0	1	2	0	4	32	0	0	2	3	0	0	0	0	2	1	0	0	3	0	1	0	1	0	1	5	0	79	0	0	0	13	1	26	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	70	"AWI"	70	874	2210	1573	1	2	6	5	1	1	0	0	5	1	0	0	1	0	0	12	70	0	0	0	4	1	0	0	0	1	3	0	0	6	0	0	0	2	0	3	5	0	127	0	0	0	28	1	2	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0
3447	4463	"Saint Viaud Cantin"	47.265	-2.01667	80	"AWI"	80	1107	2390	1810	1	3	3	1	0	1	0	0	3	0	0	0	1	0	0	10	82	0	0	1	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	17	0	33	0	0	0	40	0	5	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0
