"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Linaceae"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Populus"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	159	"AWI"	159	5529	6698	6009	81	2	0	0	0	2	0	2	0	13	0	2	0	0	0	1	8	0	32	0	0	0	0	0	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	211	0	0	0	0	0	4	3	7	0	0	0	0	1	14	0	0	0	1	0	1	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	171	"AWI"	171	5747	7275	6373	74	1	0	0	0	1	0	4	0	6	3	0	0	0	0	0	2	0	26	0	0	2	0	1	0	0	3	0	0	0	0	0	1	0	0	0	1	0	5	1	0	184	0	0	0	0	0	12	2	7	1	0	1	0	0	7	0	0	0	4	1	2	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	179	"AWI"	179	5835	7657	6632	98	2	0	0	0	4	0	14	0	6	3	0	0	0	0	0	14	0	33	0	0	1	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	198	0	0	0	0	0	5	1	2	0	0	1	0	0	18	0	0	0	1	2	2	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	185	"AWI"	185	6041	7801	6872	75	2	0	0	27	2	0	14	0	13	3	0	0	0	0	5	28	4	48	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	273	0	0	0	0	0	6	3	9	0	0	0	0	0	16	0	0	0	6	1	4	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	189	"AWI"	189	6128	7872	7052	65	0	0	1	0	2	0	16	0	12	1	0	0	0	0	2	21	0	51	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	1	202	0	0	0	0	0	9	1	5	0	0	0	0	0	23	0	0	0	1	1	4	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	195	"AWI"	195	6238	8155	7306	75	0	0	0	0	3	0	14	0	11	2	0	0	0	0	2	18	0	23	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	4	0	0	151	0	0	0	0	1	18	2	12	0	0	0	0	1	28	0	0	0	3	0	6	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	207	"AWI"	207	6699	8367	7725	137	0	0	2	0	2	0	16	0	8	1	0	0	0	0	1	6	0	19	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	167	0	0	0	0	0	7	0	3	0	0	0	0	0	5	0	0	0	0	4	0	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	215	"AWI"	215	7214	8520	7989	118	0	0	0	0	4	0	26	0	15	6	0	0	0	0	0	16	10	81	0	0	5	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	4	5	0	242	0	1	0	0	0	19	1	7	0	0	0	0	0	17	1	0	0	2	0	13	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	227	"AWI"	227	7947	8750	8425	95	0	0	1	0	4	0	21	0	10	0	0	0	0	0	1	11	7	27	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	4	0	181	0	0	0	0	0	8	3	7	0	0	0	0	0	22	0	0	0	2	0	13	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	235	"AWI"	235	8461	8897	8623	47	0	0	0	0	1	0	13	0	7	0	0	0	0	1	0	24	0	39	0	0	3	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	4	0	250	0	0	0	0	2	19	0	5	0	0	0	0	0	12	1	0	0	0	11	8	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	247	"AWI"	247	8608	9366	8904	1	1	0	0	0	3	0	16	0	27	2	0	0	0	0	3	25	0	62	0	0	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	257	0	0	0	0	0	21	0	2	0	0	0	0	0	23	4	0	0	2	5	4	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	255	"AWI"	255	8661	9738	9067	2	1	0	1	0	2	0	16	0	41	3	0	0	0	0	1	27	0	59	0	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	341	0	0	0	0	0	25	1	6	1	0	0	0	0	38	1	0	0	5	16	8	0	0
14485	22683	"Laghi dell'Orgials"	44.23333	7.13333	263	"AWI"	263	8789	9885	9243	0	0	0	0	0	5	0	14	0	26	0	0	0	0	0	0	22	3	38	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	237	0	0	0	0	0	19	2	1	0	0	0	0	0	25	2	0	0	4	0	15	0	0
