"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Indeterminable"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26128	45349	"Afstj¢rna"	61.64917	9.87667	944	"AWI"	944	-139	25	-53	0	17	1	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2	0	1	56	0	0	0	0	0	71	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	28	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	948	"AWI"	948	-84	297	45	0	25	0	3	0	0	0	0	0	0	0	0	0	0	30	0	0	0	1	0	1	0	1	80	0	0	1	0	0	31	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	4	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	952	"AWI"	952	-18	461	170	0	33	0	0	1	0	0	0	0	0	0	0	1	0	36	0	0	1	0	0	1	0	0	140	0	0	0	0	0	19	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	2	4	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	956	"AWI"	956	64	633	297	0	23	1	0	2	0	132	0	0	0	0	0	1	0	21	0	0	0	0	0	0	0	0	140	0	0	0	0	0	17	0	0	0	0	1	0	2	2	0	0	11	0	0	0	0	1	0	1	7	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	960	"AWI"	960	149	777	416	0	21	0	0	2	0	0	0	0	0	0	0	6	0	25	0	0	0	1	0	0	0	0	132	0	2	0	0	0	20	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	2	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	964	"AWI"	964	236	919	539	0	23	0	0	1	0	0	0	0	0	0	0	4	0	27	0	0	0	0	0	0	0	0	110	1	0	0	0	0	31	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	3	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	968	"AWI"	968	326	1030	678	0	23	0	4	2	0	134	1	0	0	0	0	6	0	22	0	0	0	0	0	0	0	1	84	0	0	0	0	1	33	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	3	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	972	"AWI"	972	450	1117	800	0	12	0	0	0	0	0	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	1	67	0	0	0	0	0	33	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	2	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	976	"AWI"	976	573	1220	928	0	26	0	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	1	0	0	0	0	60	0	0	0	0	0	32	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	3	2	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	980	"AWI"	980	700	1318	1050	0	21	0	0	4	0	150	0	0	0	0	0	1	0	18	0	0	0	0	0	2	0	1	130	0	0	0	0	0	21	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	984	"AWI"	984	843	1417	1171	0	10	0	0	3	0	147	0	0	0	1	0	1	0	17	0	0	0	1	1	1	0	0	111	0	0	1	0	0	22	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	4	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	988	"AWI"	988	995	1495	1276	0	14	0	4	0	0	0	0	0	0	0	0	5	0	18	0	0	0	1	1	0	0	1	123	0	0	1	0	0	20	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	4	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	992	"AWI"	992	1209	1586	1383	0	13	0	2	1	0	211	0	0	0	0	0	2	0	16	0	0	0	0	0	0	0	0	92	0	0	0	0	1	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	1	2	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	996	"AWI"	996	1363	1782	1532	0	16	0	0	2	0	182	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	42	0	1	0	0	1	17	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	4	0
26128	45349	"Afstj¢rna"	61.64917	9.87667	1000	"AWI"	1000	1462	2065	1700	0	37	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	55	0	1	0	0	1	8	0	0	0	0	1	0	3	2	0	0	0	0	0	0	0	0	0	5	6	0
