"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Verbenaceae"	"Viburnum"	"Vitaceae"
15991	24669	"Marais des Bourbes"	46.55	-1.81667	5	"AWI"	5	-112	44	-29	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	131	0	0	16	0	0	0	16	10	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	10	"AWI"	10	-99	68	-13	1	0	14	9	2	0	3	0	0	1	0	3	0	1	1	0	0	1	0	0	0	2	0	41	0	2	0	4	0	0	1	0	0	0	1	0	3	1	0	0	0	0	0	0	1	0	153	0	0	120	0	1	0	17	6	2	0	0	1	6	6	0	0	3	0	0	0	1	1	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	15	"AWI"	15	-90	98	3	0	0	1	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	20	"AWI"	20	-83	132	18	0	1	2	3	3	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	36	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	164	0	0	47	0	1	0	12	4	1	0	0	2	4	1	0	0	5	0	0	0	1	1	0	0	0	1
15991	24669	"Marais des Bourbes"	46.55	-1.81667	25	"AWI"	25	-76	169	33	0	0	0	3	1	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	10	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	16	6	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	30	"AWI"	30	-70	208	48	0	0	2	3	0	0	7	0	0	0	0	4	1	1	1	0	0	1	0	0	0	4	0	63	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	176	0	0	67	0	0	0	12	1	1	0	0	0	5	3	0	2	0	0	0	0	0	0	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	35	"AWI"	35	-57	236	64	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	135	1	4	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	110	0	0	0	0	3	0	6	2	2	0	0	0	4	0	0	0	1	0	0	0	0	2	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	40	"AWI"	40	-39	246	84	0	0	1	3	3	0	3	0	0	0	0	8	0	0	1	0	0	0	0	0	0	3	0	60	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	107	0	0	64	0	0	0	9	3	3	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0	0	0
15991	24669	"Marais des Bourbes"	46.55	-1.81667	50	"AWI"	50	-16	268	127	0	1	2	6	9	0	9	0	0	1	0	5	0	2	0	0	0	0	0	0	0	3	0	152	1	1	0	0	0	3	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	5	0	0	33	0	1	0	15	1	5	0	0	2	7	6	0	0	5	0	0	0	0	1	0	0	0	1
15991	24669	"Marais des Bourbes"	46.55	-1.81667	60	"AWI"	60	0	308	166	0	2	9	5	2	0	13	0	0	1	0	5	0	1	1	0	0	0	0	0	0	3	0	133	0	2	0	0	0	1	1	0	0	0	1	0	3	1	1	0	0	0	0	0	1	0	6	0	0	86	0	1	0	22	4	3	0	0	0	8	5	0	0	2	0	0	0	0	1	0	0	0	0
