"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Euonymus"	"Fabaceae"	"Fagus"	"Fraxinus"	"Lamiaceae"	"Moraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"
3515	4541	"Zalozhtsy"	49.75	25.45	12	"AWI"	12	21	422	224	0	2	9	0	2	3	3	0	2	0	0	3	0	2	0	0	0	0	0	0	3	89	3	2	3	0	0	3	0	4	0	0	14
3515	4541	"Zalozhtsy"	49.75	25.45	25	"AWI"	25	505	627	540	0	3	4	0	1	0	3	0	1	1	1	8	0	1	0	0	0	0	1	0	3	84	1	0	7	1	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	37	"AWI"	37	693	883	770	0	3	5	0	2	2	6	0	0	0	4	22	3	1	0	0	0	0	0	1	3	85	8	3	2	1	0	1	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	50	"AWI"	50	843	1051	951	0	4	0	3	3	3	5	0	0	1	2	46	1	4	1	0	0	1	0	0	2	79	14	1	8	2	0	3	1	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	62	"AWI"	62	977	1232	1092	0	5	4	8	4	14	9	0	0	2	1	34	0	1	3	1	3	0	1	1	1	66	41	3	14	0	0	5	2	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	75	"AWI"	75	1071	1391	1214	0	5	4	0	7	5	5	0	0	0	0	0	1	0	2	0	0	0	2	3	3	75	0	0	7	0	0	3	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	87	"AWI"	87	1171	1535	1326	0	7	3	0	2	1	5	0	0	0	0	4	0	0	0	0	0	0	0	0	2	81	0	0	4	0	0	1	0	0	1	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	100	"AWI"	100	1314	1681	1460	0	3	0	0	2	0	13	0	0	0	0	3	0	0	0	0	0	0	0	0	2	80	1	0	2	0	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	112	"AWI"	112	1457	1959	1696	0	5	0	0	2	3	6	0	0	0	1	6	0	0	1	0	0	0	0	0	0	83	0	0	5	0	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	125	"AWI"	125	1721	2193	1978	1	3	1	1	2	1	11	0	1	0	1	0	0	0	0	0	0	1	0	3	1	74	8	1	6	0	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	137	"AWI"	137	2026	2355	2212	0	3	1	1	3	8	9	0	0	0	2	0	1	0	1	0	0	0	0	0	2	78	0	0	7	0	0	9	1	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	150	"AWI"	150	2231	2664	2433	1	4	1	0	1	4	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	84	3	0	3	0	0	3	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	162	"AWI"	162	2425	2880	2633	4	5	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	72	5	0	7	0	1	4	0	1	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	175	"AWI"	175	2756	3118	2853	1	5	2	0	7	2	5	1	0	0	0	0	0	1	0	0	0	0	0	0	4	79	2	0	5	1	0	4	1	1	1	0	1
3515	4541	"Zalozhtsy"	49.75	25.45	187	"AWI"	187	3115	3534	3330	0	11	0	0	3	3	6	0	0	0	1	0	0	0	0	0	1	0	0	0	6	66	5	0	10	1	0	3	0	1	0	1	0
3515	4541	"Zalozhtsy"	49.75	25.45	200	"AWI"	200	3801	4284	4043	0	8	2	0	1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	87	15	0	3	3	0	2	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	225	"AWI"	225	4449	5461	4971	0	4	2	0	3	3	5	0	0	0	3	0	0	0	0	0	0	0	0	0	5	81	9	0	4	2	0	3	0	0	1	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	250	"AWI"	250	5629	6166	5909	0	6	3	0	3	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	10	80	1	0	1	1	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	275	"AWI"	275	6193	7004	6598	0	2	1	0	1	0	6	0	1	1	2	1	0	1	0	0	0	0	0	0	4	88	3	0	0	0	0	0	0	0	0	0	2
3515	4541	"Zalozhtsy"	49.75	25.45	300	"AWI"	300	7035	7544	7300	2	11	1	0	1	1	10	0	0	0	1	0	0	1	0	0	0	0	0	0	0	74	6	0	2	0	0	0	0	0	0	1	0
3515	4541	"Zalozhtsy"	49.75	25.45	325	"AWI"	325	8117	8623	8448	0	2	1	1	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	97	1	0	0	3	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	350	"AWI"	350	8695	9139	8922	0	1	2	0	6	2	2	0	2	0	1	0	0	0	0	0	0	0	0	0	2	94	2	0	1	0	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	375	"AWI"	375	9164	9604	9413	1	4	0	0	4	3	4	0	1	3	1	0	0	1	0	0	1	0	0	0	0	90	0	0	1	0	0	0	0	0	0	0	0
3515	4541	"Zalozhtsy"	49.75	25.45	400	"AWI"	400	9624	10198	9934	1	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	96	4	4	0	0	0	0	0	0	0	0	0
