"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Juglandaceae"	"Juniperus"	"Lamiaceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3231	4192	"Lake Lednica"	52.54901	17.38084	990	"AWI"	990	187	690	416	0	45	62	3	3	0	8	0	11	7	0	17	0	0	0	2	0	5	0	1	0	0	0	0	0	0	0	12	0	1	134	0	0	0	0	0	41	0	0	0	1	22	7	0	0	0	1	1	0	3	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1000	"AWI"	1000	234	738	470	0	0	34	2	1	0	4	0	49	6	0	7	1	0	0	11	13	2	0	4	0	0	0	0	0	0	0	11	0	2	153	0	149	0	2	146	39	0	0	0	0	34	2	1	0	0	0	0	1	1	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1010	"AWI"	1010	276	794	523	2	1	26	3	2	0	10	0	40	5	0	5	0	0	0	26	15	6	0	3	0	1	0	0	0	0	0	4	0	2	184	5	0	0	1	0	31	0	0	0	0	27	4	1	0	0	1	0	0	0	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1020	"AWI"	1020	325	848	575	1	0	33	4	1	0	1	0	34	6	0	7	1	0	0	17	13	2	0	6	1	0	0	0	0	0	0	4	1	3	180	0	0	0	4	0	40	0	0	0	1	23	5	0	0	0	1	0	0	1	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1030	"AWI"	1030	368	901	627	0	0	30	3	0	0	2	0	30	2	0	8	0	0	0	7	18	2	0	1	0	0	0	0	0	0	0	8	0	2	158	0	0	0	1	0	40	0	0	0	1	40	7	1	0	0	0	0	1	1	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1040	"AWI"	1040	411	950	679	1	0	25	1	0	0	2	0	42	2	0	23	0	0	0	9	7	3	0	2	0	1	0	0	0	0	0	6	0	2	167	6	0	0	3	0	52	0	0	0	1	31	2	1	0	0	1	0	0	3	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1050	"AWI"	1050	458	996	732	0	1	51	2	0	0	5	0	54	1	0	10	1	0	0	11	22	3	0	1	0	0	0	0	0	0	1	2	2	1	133	0	0	0	1	0	34	0	0	0	0	53	4	0	0	0	0	0	0	3	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1060	"AWI"	1060	511	1043	786	0	0	40	2	2	0	8	0	47	2	0	3	0	0	0	18	15	3	0	3	0	2	0	0	0	0	1	13	0	1	142	0	0	0	2	0	61	0	0	0	0	53	1	0	0	0	0	0	0	2	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1070	"AWI"	1070	565	1092	836	2	0	66	0	3	0	9	0	73	0	0	4	0	0	0	13	11	7	0	4	1	0	0	0	0	0	0	27	0	4	126	6	0	0	2	0	61	0	1	0	1	20	2	1	0	0	0	0	1	7	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1080	"AWI"	1080	627	1132	892	0	0	84	1	0	0	7	0	100	1	0	3	2	0	0	14	8	2	0	8	0	2	0	0	2	1	0	28	1	2	110	3	0	0	2	0	59	0	0	0	0	13	7	1	0	0	0	0	1	5	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1090	"AWI"	1090	688	1177	945	0	0	78	3	0	0	7	0	85	2	0	11	3	0	0	17	12	4	0	3	0	3	0	0	0	0	0	37	0	0	93	7	0	0	3	0	54	0	0	0	1	11	4	1	0	0	4	0	3	0	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1100	"AWI"	1100	743	1221	996	1	0	55	2	4	0	14	0	126	4	0	3	0	0	0	11	19	0	0	7	0	1	0	0	0	0	0	24	0	1	121	9	0	0	0	0	45	0	0	0	0	5	5	0	0	0	0	0	1	10	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1110	"AWI"	1110	815	1250	1048	0	1	42	0	4	1	12	0	83	5	0	5	0	0	0	14	7	4	2	8	0	4	0	0	0	0	0	38	0	1	92	9	0	0	1	0	45	0	2	0	2	14	17	1	0	0	0	0	0	5	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1120	"AWI"	1120	891	1293	1103	0	1	43	0	2	0	9	0	102	0	0	3	1	0	0	19	17	4	0	3	0	1	0	0	0	1	0	32	0	1	121	11	0	0	0	0	56	0	0	0	2	20	7	0	0	0	0	0	0	6	0	1
3231	4192	"Lake Lednica"	52.54901	17.38084	1130	"AWI"	1130	952	1346	1162	0	2	56	0	0	0	3	0	100	0	0	1	0	0	0	18	7	1	0	10	0	14	0	0	0	0	0	80	1	5	85	7	0	0	5	0	91	0	0	0	0	1	13	1	1	0	0	2	2	10	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1140	"AWI"	1140	1036	1437	1247	0	0	97	0	1	0	4	0	92	0	0	0	0	0	0	11	7	1	0	10	0	13	0	0	0	0	2	109	0	1	87	4	0	0	3	0	63	0	0	0	0	5	10	0	1	0	0	2	2	15	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1150	"AWI"	1150	1136	1535	1325	0	3	95	0	0	1	2	0	59	0	0	1	0	0	0	21	3	2	0	3	0	17	0	0	0	0	0	182	0	0	68	0	0	0	0	0	67	0	0	0	0	4	2	0	0	0	0	0	0	16	0	0
3231	4192	"Lake Lednica"	52.54901	17.38084	1160	"AWI"	1160	1238	1633	1409	1	2	104	0	0	0	1	0	66	0	0	0	1	0	0	23	3	1	0	7	0	15	0	0	0	0	0	131	0	0	86	0	0	0	1	0	87	0	0	0	0	1	3	0	0	0	0	0	0	15	0	0
