"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Lythraceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
26059	45202	"Tank Hill Road"	51.49194	0.23417	78	"AWI"	78	3308	3574	3444	0	0	92	7	0	13	3	1	0	5	1	0	0	0	0	0	0	32	116	0	0	0	0	0	5	0	0	0	3	0	0	0	0	0	0	0	2	0	0	221	0	0	51	4	0	4	12	3	0	0	0	0	0	0	3	0	4	1	0	2
26059	45202	"Tank Hill Road"	51.49194	0.23417	80	"AWI"	80	3323	3641	3481	0	0	116	12	0	11	0	0	0	8	0	0	0	0	0	0	0	23	115	0	0	0	0	0	2	0	0	0	2	0	0	0	0	3	0	0	7	0	0	213	0	0	52	2	0	2	0	2	0	0	0	0	2	2	3	0	9	6	2	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	82	"AWI"	82	3334	3708	3517	0	0	116	11	0	6	3	3	0	6	2	0	0	0	0	0	0	33	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	200	0	0	48	6	0	0	0	3	0	0	0	0	1	1	0	0	5	4	1	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	84	"AWI"	84	3401	3719	3556	0	0	114	17	0	12	0	3	0	6	1	0	0	0	0	0	0	34	117	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	4	0	0	193	0	0	62	1	0	1	9	5	0	0	0	0	1	0	4	0	3	6	2	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	86	"AWI"	86	3458	3733	3595	0	0	68	16	0	19	0	2	0	2	0	0	0	0	0	0	0	22	110	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	3	0	0	221	0	0	33	2	0	0	0	2	0	0	0	0	1	1	1	1	3	3	1	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	88	"AWI"	88	3503	3755	3634	0	1	152	9	0	7	0	5	17	4	1	0	0	0	0	0	0	24	62	0	0	0	1	0	4	0	0	0	0	0	0	0	0	3	0	0	4	0	0	212	0	0	56	3	0	3	16	2	0	0	0	0	2	1	1	0	10	9	2	1
26059	45202	"Tank Hill Road"	51.49194	0.23417	89	"AWI"	89	3522	3765	3655	0	0	143	15	0	2	1	3	0	2	1	0	0	0	0	0	0	38	36	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	0	210	0	0	56	1	0	2	0	1	0	0	0	0	5	1	4	0	12	12	1	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	90	"AWI"	90	3538	3783	3675	0	0	105	12	0	3	1	1	0	3	2	0	0	0	0	0	0	25	48	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	7	0	0	212	0	0	54	4	0	1	0	0	0	0	0	0	0	1	4	1	10	5	3	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	91	"AWI"	91	3553	3806	3694	0	0	278	25	1	4	3	2	0	5	0	0	0	0	0	0	1	101	29	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	10	0	0	69	0	0	104	1	0	0	0	5	0	0	0	0	0	0	2	0	30	20	0	0
26059	45202	"Tank Hill Road"	51.49194	0.23417	92	"AWI"	92	3566	3832	3714	0	2	168	16	0	6	2	3	0	7	1	0	0	0	0	0	0	57	35	0	0	0	2	0	7	0	1	0	0	0	0	0	0	0	0	0	6	0	0	180	0	0	58	0	0	1	0	1	0	0	0	0	2	0	2	0	14	11	0	0
