"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Aesculus"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Gentianaceae"	"Hypericaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Solanaceae"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	50	"AWI"	50	569	1192	951	4	0	0	1	0	0	0	0	1	0	19	0	0	0	1	0	0	0	0	0	3	0	19	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	3	0	6	54	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	55	"AWI"	55	791	1223	1029	45	1	1	36	2	0	0	0	4	0	78	0	0	0	4	0	0	0	0	0	39	0	36	0	0	0	0	56	0	7	0	0	0	0	0	0	0	0	0	0	14	0	21	122	0	0	0	3	0	1	69	0	0	3	0	2	0	0	0	1	0	2	3	1	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	60	"AWI"	60	867	1286	1126	46	0	0	37	0	0	0	0	1	0	66	2	0	0	13	0	0	0	0	0	61	0	11	0	16	0	0	106	0	6	0	0	0	1	1	0	0	0	0	0	13	0	8	102	0	0	0	0	0	0	103	0	0	0	0	3	0	0	0	0	0	4	5	0	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	65	"AWI"	65	1061	1306	1208	69	1	0	51	0	0	0	0	2	0	72	0	0	0	7	0	0	0	0	0	54	0	13	0	20	0	0	87	0	3	0	0	0	0	4	0	0	0	0	0	25	0	2	80	0	0	0	0	0	0	108	0	0	0	0	1	0	0	0	0	0	3	1	2	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	70	"AWI"	70	1181	1348	1296	37	0	0	53	0	0	0	1	2	0	75	0	0	0	7	0	0	0	0	0	55	0	8	0	12	0	0	87	0	2	0	0	0	0	2	0	0	0	0	0	23	0	3	59	0	69	0	0	0	0	99	0	0	1	0	3	0	0	0	0	0	1	5	2	0	1
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	75	"AWI"	75	1234	1465	1353	72	0	0	45	0	0	0	0	2	0	95	1	0	0	23	0	0	1	0	0	46	0	5	0	13	0	0	87	0	1	0	0	1	1	5	0	0	0	0	0	12	0	4	86	0	0	0	2	1	0	71	0	0	1	0	2	3	0	0	1	0	1	6	4	1	1
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	80	"AWI"	80	1277	1632	1407	68	0	0	37	1	0	0	0	2	0	59	1	0	0	3	0	0	0	0	0	52	0	3	0	20	0	0	92	0	3	0	0	0	0	0	0	0	0	0	0	19	0	2	87	0	0	0	0	0	1	101	0	0	0	0	0	1	0	0	0	0	1	7	0	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	85	"AWI"	85	1374	1652	1477	115	0	0	58	3	0	0	0	2	0	71	0	0	0	10	0	0	1	0	0	57	0	14	0	26	0	0	113	0	4	0	0	1	1	2	0	0	0	0	0	15	0	1	85	0	0	0	0	0	0	74	0	0	1	0	2	1	0	0	0	0	3	4	1	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	90	"AWI"	90	1427	1686	1540	55	1	0	52	0	0	0	0	2	0	58	0	0	0	2	0	0	0	0	0	59	0	5	0	21	0	0	104	0	4	0	0	0	0	0	0	0	0	0	0	21	0	3	96	0	0	0	0	0	0	74	0	0	0	0	1	0	0	0	0	0	2	9	1	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	95	"AWI"	95	1521	2032	1808	97	0	0	58	2	0	0	0	6	0	79	1	0	0	6	0	0	0	1	0	71	0	2	0	31	0	0	107	0	0	0	0	0	1	0	0	0	0	0	0	21	0	6	82	0	0	0	0	0	0	79	0	0	0	0	5	1	0	0	0	0	4	6	1	0	0
24246	42683	"Wildseemoor-Kaltenbronn"	48.7144	8.4594	99	"AWI"	99	1551	2411	2013	53	1	0	45	1	1	0	0	3	0	107	1	0	0	9	0	0	0	0	0	51	0	3	0	14	0	0	62	1	5	0	0	0	1	0	0	0	0	0	0	20	0	3	66	0	0	0	0	0	1	69	0	0	0	0	8	2	0	0	0	0	2	5	0	0	0
