"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Juglans"	"Juniperus"	"Linaceae"	"Myrica"	"Nartheciaceae"	"Onagraceae"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygalaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	500	"AWI"	500	-144	20	-57	0	44	0	0	0	0	0	33	0	1	0	0	0	62	1	55	0	0	0	2	0	0	0	0	0	15	5	0	0	50	0	0	0	0	0	24	0	8	0	5	3	0	0	1	0	0	0	7	2
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	508	"AWI"	508	-95	247	24	0	22	0	1	0	0	0	35	0	0	0	0	0	62	1	57	0	0	0	1	2	0	0	0	0	9	9	0	3	58	0	120	0	0	0	15	0	0	0	0	2	0	0	2	0	1	0	3	1
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	516	"AWI"	516	-39	396	117	0	37	0	0	1	3	6	30	1	0	0	0	0	56	0	49	0	0	0	0	3	0	0	0	0	20	8	0	3	53	0	115	1	0	0	16	0	0	0	3	3	0	0	0	0	0	0	5	2
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	522	"AWI"	522	-2	504	188	0	49	0	0	0	0	5	41	0	0	0	0	0	88	0	31	0	0	0	1	0	0	0	0	0	4	3	0	2	61	0	63	0	0	0	26	0	0	0	5	5	0	0	0	0	0	0	5	0
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	530	"AWI"	530	46	649	283	0	49	0	0	0	0	0	37	0	0	0	0	0	80	0	23	0	0	0	2	2	6	0	0	0	36	9	0	0	64	0	0	0	0	0	19	0	0	0	10	1	0	0	0	0	0	0	4	0
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	538	"AWI"	538	114	774	382	0	49	0	0	1	0	0	37	0	0	0	0	0	93	0	44	0	0	0	0	3	0	0	0	0	9	6	0	2	45	0	0	0	0	0	20	0	0	0	5	3	0	0	0	0	0	0	10	0
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	546	"AWI"	546	175	896	474	0	57	0	1	0	0	0	40	0	0	0	0	0	83	0	29	0	0	0	1	1	1	0	0	1	6	5	0	0	0	0	0	0	0	0	28	0	0	0	1	2	0	0	0	0	0	0	7	0
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	554	"AWI"	554	241	1011	569	0	35	0	0	0	0	0	31	1	0	0	0	0	76	0	58	0	0	0	1	4	0	0	0	0	7	2	0	0	41	0	0	0	0	0	18	0	0	2	6	1	0	1	0	0	0	0	3	1
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	562	"AWI"	562	311	1121	664	0	39	0	1	1	3	2	33	2	0	0	2	0	86	0	62	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	28	0	9	0	6	2	0	0	0	0	0	0	6	1
23911	41485	"Lough Mullaghlahan"	54.77523	-8.468418	570	"AWI"	570	376	1223	762	0	26	0	0	2	1	0	33	1	0	0	1	0	74	0	62	0	0	0	0	2	4	0	0	0	27	10	0	0	0	0	74	0	0	1	11	0	0	1	0	6	0	0	0	0	0	0	3	0
