"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Genista"	"Grossulariaceae"	"Hypericaceae"	"Indeterminable"	"Juniperus"	"Lamiaceae"	"Larix"	"Linaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Taxus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
14572	22847	"Darzlubie Forest"	54.70555	18.16208	1	"AWI"	1	-69	106	17	0	1	66	5	0	0	7	0	0	0	6	0	2	0	0	1	0	0	10	212	0	0	0	0	0	28	0	2	0	0	0	1	17	0	0	0	0	0	1	0	19	0	15	497	0	0	0	5	0	63	0	0	0	0	1	0	6	1	0	0	0	0	0	0	0	0	6	0	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	5	"AWI"	5	-24	409	163	0	0	102	0	2	0	9	0	0	1	9	0	1	0	0	0	0	1	12	0	0	0	0	0	0	22	0	0	0	0	0	0	17	0	0	0	1	2	0	0	35	0	5	436	0	0	0	7	0	98	0	0	0	0	1	0	4	2	0	0	1	0	0	0	0	0	2	2	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	10	"AWI"	10	4	821	346	0	0	89	2	3	0	15	0	0	0	3	0	3	0	0	0	0	0	20	311	0	0	0	1	0	26	0	1	0	0	0	0	21	0	0	0	0	4	0	0	39	1	1	441	0	0	0	5	0	92	0	0	0	0	2	0	4	1	0	0	0	0	0	0	0	0	2	3	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	15	"AWI"	15	227	900	557	0	0	78	5	0	0	12	0	0	1	5	0	1	0	0	0	0	0	19	0	0	0	0	0	0	23	0	0	0	0	1	2	13	0	0	1	0	0	0	0	31	0	7	573	0	0	0	4	0	99	0	0	1	0	5	0	3	0	0	0	0	0	0	0	0	0	1	3	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	20	"AWI"	20	346	1049	779	0	0	80	2	2	0	17	0	0	0	1	0	4	0	0	0	0	0	14	0	0	21	0	0	0	26	0	1	1	0	0	0	16	0	0	0	0	0	0	0	26	0	4	488	0	0	0	7	0	104	0	0	0	0	1	0	5	0	0	0	3	0	0	0	0	2	1	7	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	26	"AWI"	26	748	1125	950	0	0	63	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	48	0	4	0	0	2	0	0	0	0	0	1	0	0	0	144	0	8	255	0	0	0	3	0	137	0	0	0	0	1	0	6	0	0	0	2	0	0	1	0	0	3	2	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	30	"AWI"	30	868	1274	1072	0	0	135	0	0	0	2	0	0	0	2	0	1	0	0	0	0	0	32	0	0	0	0	0	0	26	0	4	0	0	0	6	5	0	0	0	0	0	0	0	221	0	10	225	0	0	0	2	0	184	0	0	0	0	0	0	4	1	0	0	0	0	0	0	2	0	4	7	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	35	"AWI"	35	947	1412	1168	0	0	122	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	19	0	0	0	0	0	0	16	0	5	0	0	0	5	2	0	0	0	0	0	0	0	277	0	5	252	0	0	0	1	0	184	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	11	1	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	40	"AWI"	40	990	1623	1255	0	0	106	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	79	0	0	0	0	0	0	5	0	5	0	0	0	12	0	0	0	0	0	0	0	0	112	0	3	292	0	0	0	0	0	151	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	2	0
14572	22847	"Darzlubie Forest"	54.70555	18.16208	45	"AWI"	45	1080	1723	1365	0	0	88	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	32	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	108	0	1	156	0	0	0	2	0	118	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	4	0
