"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Montiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	0	"AWI"	0	-105	59	-19	1.8450184501845	0	2.2140221402214	0	0.3690036900369	1.8450184501845	0	2.2140221402214	0	0	0	0.3690036900369	2.2140221402214	0.3690036900369	0	4.7970479704797	8.11808118081181	0	6.27306273062731	0	0	0	9.59409594095941	0	0.3690036900369	0.3690036900369	0	0	0	0.738007380073801	0.3690036900369	0.3690036900369	0	21.0332103321033	0	1.1070110701107	24.3542435424354	0.738007380073801	8.11808118081181	0.3690036900369	0	0	0	1.4760147601476	0	0	0.3690036900369	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	5	"AWI"	5	-3	916	254	3.37078651685393	0.561797752808989	5.61797752808989	0.561797752808989	0	6.17977528089888	0	3.93258426966292	0	0	0	0	5.61797752808989	1.12359550561798	0	1.68539325842697	21.3483146067416	0	0	0	0	0	19.6629213483146	0	0	0	0.561797752808989	0	0.561797752808989	0	0	0	0	10.6741573033708	0.561797752808989	2.80898876404494	0	0	8.42696629213483	1.12359550561798	0.561797752808989	0	0.561797752808989	3.37078651685393	0	0	0.561797752808989	0.561797752808989	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	10	"AWI"	10	126	1386	583	2	0	1.2	0	0	0.4	0	4.4	2.4	0	0	0	0.4	0.4	0	2.8	18	0	0	0	0	0	22	0	0	0	1.2	0	0	0.8	0	0	0	10	0	1.6	18	0	9.6	0	1.2	0	0.4	2.4	0	0	0	0.8	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	15	"AWI"	15	314	1832	925	2.59259259259259	0	1.48148148148148	0.37037037037037	0	0.740740740740741	0	4.44444444444444	2.96296296296296	0	0	0.37037037037037	0.37037037037037	1.11111111111111	0	2.59259259259259	10	0	6.2962962962963	0	0	0	13.3333333333333	0.37037037037037	0.37037037037037	0.37037037037037	1.11111111111111	0	0.740740740740741	0	0.37037037037037	0	0	18.8888888888889	0	1.48148148148148	20.7407407407407	0	7.40740740740741	0	0	0	0	1.11111111111111	0	0	0	0.37037037037037	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	20	"AWI"	20	534	2198	1244	1.96850393700787	0.78740157480315	3.54330708661417	0	0.78740157480315	0.393700787401575	0	7.08661417322835	0.78740157480315	0	0	0	1.96850393700787	0.78740157480315	0	2.75590551181102	14.1732283464567	0	0	0	0.393700787401575	0	20.4724409448819	0.393700787401575	0	0.393700787401575	0.393700787401575	0	0	0.393700787401575	0	0	0	9.44881889763779	0	0.78740157480315	17.3228346456693	0.78740157480315	8.66141732283465	0	1.18110236220472	0	1.18110236220472	1.18110236220472	0	0	0.78740157480315	1.18110236220472	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	25	"AWI"	25	763	2539	1565	1.68350168350168	0.336700336700337	3.36700336700337	0	0.336700336700337	2.02020202020202	0	3.7037037037037	1.68350168350168	0	0	0.673400673400673	1.68350168350168	1.68350168350168	0	2.02020202020202	6.73400673400673	0	7.40740740740741	0	0.336700336700337	0	16.8350168350168	0	0	1.34680134680135	0	0	1.01010101010101	0	0	0.336700336700337	0.336700336700337	14.8148148148148	0	1.01010101010101	19.1919191919192	0	9.42760942760943	0	0.336700336700337	0	0	0.673400673400673	0	0	0.336700336700337	0	0.673400673400673
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	30	"AWI"	30	1011	2889	1883	1.88087774294671	0.626959247648903	2.82131661442006	0	0.313479623824451	1.56739811912226	0	5.64263322884013	2.19435736677116	0	0	0	2.50783699059561	0	0	4.38871473354232	15.0470219435737	0	7.52351097178683	0	0	0	15.987460815047	0	0	0.313479623824451	0	0	0	0	0.313479623824451	0.313479623824451	0	10.0313479623824	0	0.940438871473354	16.3009404388715	0.313479623824451	8.15047021943574	0	0.313479623824451	0	0.313479623824451	1.56739811912226	0	0	0.626959247648903	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	35	"AWI"	35	1262	3225	2213	6.25	0	2.8125	0	0	2.1875	0	5.9375	0.625	0	0	0.3125	0.9375	0.625	0	4.0625	13.125	0	4.6875	0	0	0	20.625	0	0	0.3125	0	0	0	0	0	0.3125	0	11.875	0	0.625	11.5625	0.3125	10	0.3125	0.9375	0	0	0.9375	0.3125	0.3125	0	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	40	"AWI"	40	1557	3551	2530	3.05343511450382	1.14503816793893	3.43511450381679	0.381679389312977	0.381679389312977	1.90839694656489	0	4.9618320610687	1.14503816793893	0	0	0.381679389312977	1.90839694656489	0.763358778625954	0	4.19847328244275	6.48854961832061	0	0	0	0	0	30.9160305343511	0	0	0.381679389312977	0	0	0.381679389312977	0.381679389312977	0	0	0.381679389312977	13.7404580152672	0	1.14503816793893	9.54198473282443	0	9.54198473282443	0	1.90839694656489	0	0	0.381679389312977	0	0	1.14503816793893	0	0
15894	24461	"Tourbière des Narses Mortes"	44.43333	3.6	45	"AWI"	45	1889	3868	2878	3.003003003003	0.3003003003003	3.3033033033033	0	0	2.1021021021021	0	4.8048048048048	0.900900900900901	0	0	0	0.3003003003003	0	0	5.10510510510511	12.6126126126126	0	4.2042042042042	0.3003003003003	0	0	27.027027027027	0.3003003003003	0	0.3003003003003	0.3003003003003	0	0	0	0	0.3003003003003	0.3003003003003	7.20720720720721	0	1.5015015015015	11.1111111111111	0	10.8108108108108	0	0	1.8018018018018	0.3003003003003	1.5015015015015	0	0	0.3003003003003	0	0
