"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cercis"	"Cistaceae"	"Convolvulaceae"	"Corylus"	"Crassulaceae"	"Crataegus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Genista"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Iridaceae"	"Juglans"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Loranthaceae"	"Lythraceae"	"Montiaceae"	"Myrtus"	"Olea"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Poaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Resedaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	50	"AWI"	50	3244	3549	3447	0	1	0	7	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	132	5	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	55	"AWI"	55	3342	3745	3548	1	0	0	8	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	140	0	0	0	0	35	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	218	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	60	"AWI"	60	3427	3881	3639	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	138	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	65	"AWI"	65	3507	3995	3737	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	1	0	0	8	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	72	4	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	70	"AWI"	70	3593	4104	3837	0	0	0	2	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	56	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	75	"AWI"	75	3670	4209	3935	2	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	243	4	1	0	0	1	12	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	3	0	0	0	1	0	0	0	0	0	152	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	80	"AWI"	80	3759	4301	4035	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	145	2	0	0	1	0	10	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	63	7	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	85	"AWI"	85	3855	4372	4133	1	3	0	7	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	181	0	1	0	0	21	34	0	0	0	0	0	0	0	0	0	4	0	0	6	0	0	5	2	0	0	2	0	0	0	0	0	157	15	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	5	0	0	1	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	90	"AWI"	90	3963	4422	4230	1	1	0	2	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	315	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	169	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
27017	47587	"Urgo Pietra Giordano"	37.85262	14.12767	90.1	"AWI"	90.1	3964.9	4423.5	4231.9	1	1	0	4	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	1	0	0	1	36	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	2	0	0	0	0	0	0	0	0	152	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
