"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Araliaceae"	"Arbutus"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Cornus"	"Corylus"	"Crataegus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Indeterminable"	"Juniperus"	"Myrica"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Taxus"	"Ulmus"
9692	14278	"Camillan Wood"	52.01762	-9.533828	1	"AWI"	1	-104	77	-15	4	0	1	0	0	105	0	0	0	2	0	0	0	0	1	2	0	0	18	12	0	1	0	12	0	29	82	0	1	0	1	2	1	0	1	47	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	3	"AWI"	3	-76	238	39	6	0	2	0	0	80	0	0	0	4	0	0	0	0	6	2	0	1	10	6	0	2	0	8	0	27	48	0	7	0	0	0	0	0	1	84	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	5	"AWI"	5	-34	313	104	4	0	3	0	0	62	0	0	0	18	0	0	0	0	0	1	0	0	11	10	0	12	0	8	0	16	73	1	3	0	0	0	1	0	1	77	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	8	"AWI"	8	23	447	201	6	0	1	0	0	91	0	0	0	10	0	0	0	0	0	0	0	0	78	10	0	7	0	7	0	13	40	0	0	0	0	0	1	0	0	37	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	11	"AWI"	11	91	557	298	7	0	2	0	0	222	0	0	0	9	0	0	0	0	0	0	1	0	88	6	0	0	0	0	0	21	9	0	0	6	0	1	0	0	2	1	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	14	"AWI"	14	161	660	395	5	0	6	0	0	182	0	0	0	4	0	1	0	0	0	0	0	0	19	11	0	3	22	0	0	14	99	0	0	0	0	0	1	0	3	1	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	17	"AWI"	17	243	758	493	37	0	1	0	0	192	0	3	0	8	0	1	0	0	0	1	0	0	14	6	0	1	12	0	0	87	38	0	0	0	0	0	7	0	2	2	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	20	"AWI"	20	334	857	596	25	0	0	0	0	81	1	8	0	51	4	1	0	0	0	1	0	1	28	10	0	3	8	0.5	0	26	24	0	0	0	0	1	6	0	2	9	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	27	"AWI"	27	575	1062	824	21	0	4	0	0	266	0	0	0	19	1	0	0	0	0	0	0	0	17	3	0	19	10	0	0	22	25	0	0	0	0	0	3	0	3	2	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	34	"AWI"	34	928	1256	1044	11	0	1	0	0	212	0	0	0	14	0	0	0	0	0	3	0	0	23	7	0	3	1	0	0	55	37	0	0	0	0	0	1	0	1	0	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	43	"AWI"	43	1208	2114	1571	39	0	3	0	0	88	0	0	0	29	0	0	0	0	0	2	0	0	21	14	0	0	13	2	0	2	59	2	0	0	0	0	1	1	0	3	2
9692	14278	"Camillan Wood"	52.01762	-9.533828	66	"AWI"	66	2411	3515	3005	29	0	3	1	0	204	0	9	0	9	4	0	0	0	0	1	0	0	12	6	0	1	1	5	0	2	23	0	0	0	0	0	6	0	1	0	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	78	"AWI"	78	3293	4079	3737	110	0	2	0	0	174	0	0	0	11	0	1	0	0	0	0	0	0	27	19	0	2	2	9	0	2	129	0	0	0	0	0	5	0	0	2	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	90	"AWI"	90	3966	4741	4334	35	0	1	0	0	146	0	0	0	21	0	0	0	0	0	0	0	0	4	11	0	2	0	47	0	2	41	0	0	0	0	0	4	0	0	0	1
9692	14278	"Camillan Wood"	52.01762	-9.533828	102	"AWI"	102	4423	5396	4891	21	0	0	0	0	55	0	0	0	29	0	0	0	0	0	0	0	0	0	19	0	0	0	107	0	1	117	1	0	0	0	0	2	0	0	1	0
9692	14278	"Camillan Wood"	52.01762	-9.533828	112	"AWI"	112	4858	5852	5363	3	0	1	0	0	148	0	0	0	16	0	5	0	0	0	0	0	0	0	8	0	4	1	143	0	1	77	0	0	0	0	0	8	0	0	0	3
9692	14278	"Camillan Wood"	52.01762	-9.533828	123	"AWI"	123	5382	6312	5877	0	0	2	0	0	21	0	0	0	15	0	1	0	0	0	1	0	0	0	6	0	1	0	117	0	2	50	0	0	0	0	0	91	0	0	0	2
