"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Geraniaceae"	"Grossulariaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Lentibulariaceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
3105	4040	"Fjällnas"	62.615724	12.133112	3	"AWI"	3	-102	132	3	1	18	6	0	0	0	0	364	0	0	0	0	0	0	0	14	0	0	0	0	0	0	43	0	0	0	0	0	1	55	520	0	0	0	0	2	0	0	0	0	3	3	1	0	10	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	2	"AWI"	2	-115	78	-18	0	14	0	1	0	2	0	580	0	0	0	0	0	0	0	18	0	0	0	1	0	0	10	0	0	0	0	0	1	56	347	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	4	"AWI"	4	-92	184	23	0	8	0	0	0	0	0	117	0	0	0	0	0	0	0	18	0	0	0	0	0	0	2	0	0	0	0	0	2	12	105	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	1	"AWI"	1	-133	39	-39	0	16	0	1	2	0	0	685	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	1	59	251	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	0	"AWI"	0	-156	12	-62	1	27	0	2	0	0	0	538	0	0	0	0	0	0	0	24	0	0	0	0	0	1	11	0	0	0	0	0	0	58	375	0	0	0	0	1	0	0	0	0	6	0	0	0	2	0	0	1	0
3105	4040	"Fjällnas"	62.615724	12.133112	5	"AWI"	5	-85	244	43	0	1	0	2	0	0	0	38	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	6	"AWI"	6	-57	260	65	1	22	3	0	0	2	0	637	0	0	0	0	1	0	2	66	0	0	0	0	0	1	38	0	0	1	0	0	0	54	264	0	0	0	0	0	0	0	0	0	18	4	1	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	7	"AWI"	7	-33	278	89	0	4	1	0	0	0	0	80	0	0	0	0	0	0	0	6	0	0	0	0	0	0	6	0	0	0	0	0	0	19	76	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	8	"AWI"	8	-18	307	112	0	14	2	1	0	0	0	687	0	0	0	0	0	0	0	42	0	0	0	0	0	0	50	0	0	1	0	0	1	44	195	0	0	0	0	0	0	0	0	0	31	17	0	0	0	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	9	"AWI"	9	-6	342	134	0	18	2	0	0	3	0	507	0	0	0	0	0	0	6	66	0	0	0	0	0	2	75	0	0	0	0	0	0	50	216	0	0	0	0	1	0	0	0	0	52	23	1	0	1	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	10	"AWI"	10	5	383	158	0	47	6	2	0	3	0	617	0	0	0	0	0	0	1	55	0	0	0	0	0	0	82	0	0	0	0	0	1	30	216	0	0	0	0	0	0	0	0	0	46	12	1	0	15	0	0	0	1
3105	4040	"Fjällnas"	62.615724	12.133112	11	"AWI"	11	84	400	204	0	41	3	2	0	4	0	571	0	0	0	0	0	0	1	69	0	0	0	0	0	1	77	0	0	0	0	25	1	37	262	0	0	0	0	0	0	0	0	0	40	17	0	0	10	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	12	"AWI"	12	141	419	254	1	12	0	2	0	2	0	548	0	1	0	0	0	0	0	32	0	0	0	0	0	0	82	0	0	0	0	0	0	64	276	0	0	0	0	0	0	1	0	0	11	2	0	0	10	0	0	0	0
3105	4040	"Fjällnas"	62.615724	12.133112	13	"AWI"	13	201	448	303	0	18	0	0	0	1	0	470	0	0	0	0	0	0	0	43	0	0	0	0	0	0	155	0	0	0	0	0	0	68	286	0	0	0	0	0	0	0	0	0	15	16	0	0	8	0	0	1	0
3105	4040	"Fjällnas"	62.615724	12.133112	14	"AWI"	14	245	481	348	1	10	1	0	0	0	0	538	0	0	0	0	0	0	0	37	0	0	0	0	0	1	101	0	0	0	0	0	0	45	326	0	0	0	0	0	0	0	0	1	8	7	0	0	13	0	0	1	0
