"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Vitaceae"
15806	24302	"Aletschwald"	46.38972	8.02556	5	"AWI"	5	-74	164	43	6	0	83	1	0	0	0	13	0	0	11	0	0	0	0	0	0	6	15	0	0	0	0	3	0	0	0	0	15	0	0	0	35	186	0	39	0	2	0	0	0	0	2	0	0	0	0	1	0	1	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	15	"AWI"	15	-23	536	239	14	0	150	1	0	0	0	11	0	0	8	0	1	3	0	2	0	3	27	0	0	0	0	11	0	0	0	0	45	0	0	1	82	254	0	83	0	11	0	0	0	1	1	1	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	25	"AWI"	25	9	920	437	7	2	179	1	0	0	0	6	0	0	7	0	0	0	0	1	0	8	12	0	0	0	0	3	0	0	0	0	9	0	0	0	51	238	0	20	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	35	"AWI"	35	390	1200	728	6	0	32	0	0	0	0	0	0	0	10	0	0	2	0	0	0	3	32	0	0	0	0	3	0	0	0	0	14	0	0	1	93	260	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	45	"AWI"	45	683	1741	1126	5	4	49	0	0	1	0	2	0	0	10	0	0	2	0	0	0	6	20	0	0	0	0	2	0	0	0	0	21	0	0	0	57	189	0	0	0	7	0	0	0	1	1	2	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	55	"AWI"	55	814	2601	1490	13	2	0	0	0	1	0	6	0	0	10	0	0	0	0	1	0	6	55	0	0	0	0	2	0	0	1	0	8	0	0	0	65	153	0	15	0	15	0	1	0	1	3	0	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	65	"AWI"	65	1102	3191	1994	8	0	56	0	0	0	0	4	0	0	5	0	0	0	0	0	0	0	24	0	0	0	0	3	0	0	0	0	17	0	0	0	32	118	0	16	1	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	75	"AWI"	75	1361	3702	2592	11	2	85	0	0	1	0	14	0	0	10	0	2	0	0	0	0	7	60	0	0	0	0	3	0	0	2	0	14	0	0	1	89	334	0	22	0	17	0	0	0	0	5	2	0	0	0	1	0	1	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	85	"AWI"	85	1547	4446	3134	14	0	50	0	0	0	0	3	0	0	14	0	0	0	0	0	0	1	48	0	0	0	0	0	0	0	0	1	12	0	0	1	37	170	0	29	0	7	0	0	0	0	3	0	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	95	"AWI"	95	2307	4818	3650	16	0	33	0	0	1	0	7	0	0	19	0	0	1	0	0	0	5	85	0	0	0	0	6	0	0	0	0	3	0	1	0	45	268	0	42	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	105	"AWI"	105	3330	4938	4197	18	1	43	0	0	0	0	1	0	0	13	0	0	2	0	0	0	5	106	0	0	0	0	7	0	0	0	0	9	0	0	0	48	284	0	0	0	12	0	0	0	0	3	1	0	0	0	1	0	3	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	115	"AWI"	115	4068	5143	4776	22	0	33	0	0	1	0	1	0	0	10	0	0	1	0	0	0	2	84	0	0	0	0	0	0	0	0	0	3	0	0	0	29	318	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	125	"AWI"	125	4298	5324	5007	13	1	18	0	0	0	0	5	0	0	9	0	0	0	0	0	0	2	160	0	0	0	0	0	0	0	0	0	7	0	1	0	43	232	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	135	"AWI"	135	4428	5456	5095	25	0	9	0	0	1	0	4	0	0	5	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	5	0	0	0	34	271	0	0	0	6	0	0	0	1	2	0	0	0	0	0	0	1	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	145	"AWI"	145	4524	5631	5178	17	0	11	0	0	0	0	2	0	0	13	0	0	0	0	0	0	4	66	0	0	0	0	1	0	0	0	0	9	0	0	0	18	309	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	155	"AWI"	155	4628	5719	5262	12	0	10	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	49	0	0	0	0	2	0	0	0	1	6	0	0	0	14	178	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	165	"AWI"	165	4718	5796	5348	33	0	17	0	0	1	0	8	0	0	32	0	0	6	0	0	0	5	8	0	0	0	0	0	0	1	0	0	4	0	0	0	22	262	0	0	0	4	0	0	0	2	7	0	0	0	0	0	0	2	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	175	"AWI"	175	4808	5916	5430	9	0	18	0	0	1	0	4	0	0	32	0	0	1	0	0	0	8	12	0	0	0	0	1	0	0	0	0	6	0	0	0	7	342	0	0	0	11	0	0	0	2	4	2	0	0	0	0	0	2	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	185	"AWI"	185	4928	5983	5514	18	0	25	0	0	2	0	2	0	0	35	0	1	4	0	0	0	7	6	0	0	0	0	2	0	0	0	0	9	0	1	0	1	356	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	195	"AWI"	195	5029	6064	5600	19	0	10	0	0	3	0	4	0	0	23	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	0	7	0	0	0	1	312	0	0	0	4	0	0	0	0	0	3	0	0	0	2	0	2	0	0
15806	24302	"Aletschwald"	46.38972	8.02556	205	"AWI"	205	5095	6167	5685	17	0	10	0	0	0	0	7	1	0	39	0	1	1	0	1	0	1	19	0	0	0	0	2	1	0	0	0	6	0	0	0	3	275	0	10	0	6	0	0	0	0	0	1	0	0	0	0	0	2	0	0
