"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Lamiaceae"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Salix"	"Thalictrum"	"Tilia"	"Ulmus"
3392	4396	"Plesheevo Lake"	56.76882	38.77603	80	"AWI"	80	1844	4966	3243	0	0	0	8	20	10	0	76	0	0	0	2	4	0	1	0	12	0	1	0	0	0	0	0	0	0	11	0	0	0	2	0	1	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	95	"AWI"	95	2400	5619	3921	0	0	0	10	7	4	0	31	0	0	0	4	3	1	0	0	11	0	0	0	0	0	6	0	0	0	20	0	0	1	0	0	1	0	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	100	"AWI"	100	2548	5867	4139	0	0	0	8	10	4	0	19	0	0	0	3	3	3	0	0	7	0	0	0	0	0	18	0	0	0	13	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	115	"AWI"	115	3203	6409	4785	0	0	0	13	12	2	0	31	0	0	0	3	9	19	0	0	3	2	0	0	0	0	23	0	0	0	9	0	0	0	0	0	1	0	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	125	"AWI"	125	3602	6857	5219	0	0	0	5	2	5	0	7	2	0	0	1	0	18	0	0	2	0	0	0	0	0	9	0	0	0	76	0	0	1	1	0	9	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	140	"AWI"	140	4177	7503	5869	0	0	0	12	6	11	0	7	0	0	0	2	3	12	0	0	4	0	0	0	0	0	16	0	0	0	14	0	0	2	0	0	1	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	145	"AWI"	145	4417	7653	6078	0	0	0	18	8	7	0	5	0	0	0	10	3	10	0	0	2	0	0	0	0	0	6	0	0	0	42	0	0	0	0	0	1	0	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	160	"AWI"	160	5085	8221	6718	0	0	0	15	16	11	0	15	0	0	0	7	36	23	1	0	4	1	0	0	0	1	35	0	0	0	25	0	14	8	1	0	6	0	0	10
3392	4396	"Plesheevo Lake"	56.76882	38.77603	170	"AWI"	170	5491	8573	7142	0	0	0	8	1	4	0	9	1	0	0	4	8	22	0	0	2	0	0	0	0	0	92	0	0	0	11	0	0	9	0	0	1	0	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	180	"AWI"	180	5942	8925	7580	0	0	0	15	1	7	0	19	0	1	0	1	20	26	0	0	4	0	0	0	0	0	59	0	0	0	9	1	0	4	0	0	2	0	0	5
3392	4396	"Plesheevo Lake"	56.76882	38.77603	190	"AWI"	190	6384	9247	8008	0	0	0	0	0	0	0	19	0	0	0	0	3	0	0	0	1	0	0	0	0	0	25	0	0	0	1	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	200	"AWI"	200	6909	9561	8434	0	0	0	1	1	2	0	18	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	4	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	205	"AWI"	205	7214	9666	8643	0	0	0	0	2	10	0	40	0	0	0	0	0	16	0	0	1	0	0	0	0	0	7	151	0	0	4	0	0	0	0	0	21	1	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	215	"AWI"	215	7755	9939	9077	0	0	0	2	2	2	0	89	0	0	0	0	0	15	0	0	3	0	0	0	0	0	1	0	0	0	17	0	0	0	0	2	19	3	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	220	"AWI"	220	7990	10121	9299	0	0	0	3	0	10	3	33	1	0	0	1	0	59	0	0	4	1	0	0	0	0	1	49	0	0	39	0	0	1	2	0	8	3	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	225	"AWI"	225	8349	10213	9498	0	0	0	5	30	26	0	42	1	0	0	1	0	20	0	0	6	0	0	0	0	0	1	0	0	0	61	0	0	0	0	0	10	1	0	2
3392	4396	"Plesheevo Lake"	56.76882	38.77603	230	"AWI"	230	8564	10377	9718	0	0	0	20	19	80	0	98	1	0	0	3	0	21	2	0	12	0	0	0	0	0	18	0	0	0	110	0	0	0	0	0	18	8	0	2
3392	4396	"Plesheevo Lake"	56.76882	38.77603	235	"AWI"	235	9118	10464	9900	0	0	0	1	0	30	0	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	240	"AWI"	240	9445	10624	10113	0	0	0	2	0	5	0	0	0	0	0	2	5	0	0	0	3	0	0	0	0	0	16	0	0	0	4	0	0	0	0	0	2	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	250	"AWI"	250	10078	11330	10571	0	0	0	0	0	3	0	7	0	0	0	1	4	0	1	0	0	0	0	0	0	2	24	0	1	0	2	0	0	0	0	0	2	0	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	255	"AWI"	255	10300	11874	10890	0	0	0	0	0	2	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	270	"AWI"	270	10729	13906	11833	0	0	0	1	0	4	0	0	0	0	0	1	7	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	275	"AWI"	275	10976	14315	12181	0	0	0	1	1	3	0	9	1	0	0	2	3	18	0	0	2	0	0	0	0	0	12	0	0	0	8	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	310	"AWI"	310	12370	17620	14520	0	0	0	0	0	4	0	9	0	0	0	1	10	0	0	0	2	0	0	0	0	0	8	0	0	0	2	0	0	1	0	0	2	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	320	"AWI"	320	12855	18418	15207	0	0	0	1	2	3	0	14	1	0	0	10	6	3	0	0	0	0	0	0	0	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	350	"AWI"	350	14362	20912	17259	0	0	0	1	0	16	0	18	1	0	0	1	7	15	0	0	6	0	0	0	0	0	8	0	0	0	16	0	0	0	0	0	1	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	360	"AWI"	360	14844	21746	17970	1	0	0	4	0	12	0	7	0	0	0	1	7	5	0	1	7	0	0	0	0	1	11	0	0	0	14	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	380	"AWI"	380	16044	23392	19309	0	0	0	2	0	22	0	24	9	0	0	1	7	25	0	0	9	1	0	0	0	1	9	0	0	0	67	0	0	0	2	0	4	0	0	1
3392	4396	"Plesheevo Lake"	56.76882	38.77603	395	"AWI"	395	16985	24601	20325	0	0	0	5	0	19	0	24	1	0	0	0	12	1	0	0	1	0	0	0	0	0	7	0	1	0	4	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	410	"AWI"	410	17818	25791	21357	0	0	0	0	0	25	0	0	2	0	0	0	6	0	0	4	11	0	0	0	0	0	5	0	0	0	2	0	0	0	0	1	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	450	"AWI"	450	20115	28986	24049	0	0	0	9	0	12	0	11	0	0	0	0	7	1	0	0	3	0	0	0	0	0	9	16	0	0	2	0	0	1	0	0	2	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	475	"AWI"	475	21621	30800	25733	0	0	0	0	0	14	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	490	"AWI"	490	22521	31981	26711	0	0	0	4	0	34	0	20	0	0	0	3	2	10	0	0	0	0	0	0	0	0	4	0	0	0	6	0	0	0	0	0	2	0	0	2
3392	4396	"Plesheevo Lake"	56.76882	38.77603	520	"AWI"	520	24342	34263	28732	0	0	0	0	0	6	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	540	"AWI"	540	25609	35707	30114	1	0	0	0	1	17	0	12	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	33	0	0	4	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	550	"AWI"	550	26314	36405	30799	0	0	0	0	0	17	0	25	0	0	0	1	1	2	0	0	2	0	0	0	0	1	5	0	0	0	3	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	555	"AWI"	555	26647	36741	31156	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	570	"AWI"	570	27493	37859	32131	0	0	0	0	0	6	0	19	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	590	"AWI"	590	28735	39517	33490	0	0	0	1	0	17	0	41	0	0	0	2	0	5	0	0	5	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	4	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	610	"AWI"	610	30048	40960	34851	0	0	0	7	3	34	0	35	0	0	0	1	4	32	0	0	1	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	7	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	630	"AWI"	630	31361	42484	36161	0	0	0	6	2	31	0	99	0	0	0	2	4	27	0	0	3	0	0	0	0	0	15	19	0	0	3	0	0	0	0	0	5	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	645	"AWI"	645	32383	43437	37178	1	0	0	4	0	15	0	40	1	0	0	0	5	81	0	1	30	1	0	0	0	5	5	10	0	0	21	0	0	0	0	0	4	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	663	"AWI"	663	33590	44788	38382	0	0	0	3	5	18	0	105	0	0	0	1	1	10	0	3	0	1	1	0	0	0	22	0	0	0	10	0	0	1	0	0	0	0	0	0
3392	4396	"Plesheevo Lake"	56.76882	38.77603	665	"AWI"	665	33684	44879	38520	0	0	32	4	2	19	0	29	1	0	0	4	23	55	0	1	6	0	0	0	0	5	67	91	0	0	15	0	0	7	2	0	10	0	0	2
