"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Geraniaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"
15803	24298	"Chutti Boltigen"	46.63333	7.3925	495	"AWI"	495	9643	10948	10261	0	0	0	1	0	5	0	96	0	0	0	0	0	76	9	0	0	0	0	1	0	0	0	0	267	0	7	0	0	0	0	0	1	0	3	0	0	2	0	38
15803	24298	"Chutti Boltigen"	46.63333	7.3925	502	"AWI"	502	10156	11186	10595	0	0	1	3	0	3	0	168	0	0	0	0	0	12	21	0	0	0	0	3	0	0	0	0	349	0	16	0	0	0	0	0	1	4	2	0	0	4	0	7
15803	24298	"Chutti Boltigen"	46.63333	7.3925	505	"AWI"	505	10298	11385	10782	0	0	0	4	0	2	0	63	0	0	0	0	0	22	48	0	0	0	0	2	0	0	0	0	253	0	21	0	0	0	0	0	0	3	0	0	0	2	0	10
15803	24298	"Chutti Boltigen"	46.63333	7.3925	511	"AWI"	511	10637	11690	11115	0	0	0	2	0	0	0	64	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	459	0	24	0	0	0	0	0	1	2	1	0	0	4	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	512	"AWI"	512	10677	11730	11163	0	0	1	5	0	20	0	152	0	0	0	0	0	0	5	3	0	0	0	8	0	0	0	1	1056	0	60	0	0	0	0	0	3	2	3	0	0	2	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	515	"AWI"	515	10770	11898	11306	0	0	1	2	0	16	0	54	0	0	0	0	0	0	7	0	0	0	0	4	0	0	0	0	192	0	25	0	0	0	0	0	0	2	0	0	0	3	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	517	"AWI"	517	10848	11960	11389	0	0	3	3	0	13	0	56	0	0	0	0	0	1	9	0	0	0	0	4	0	0	0	0	387	0	21	0	0	0	0	0	2	0	4	0	0	2	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	520	"AWI"	520	10929	12114	11521	0	0	0	1	0	18	0	96	0	1	0	0	0	1	10	1	0	0	0	3	0	0	0	0	468	0	30	0	0	0	0	0	2	1	4	0	0	3	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	522	"AWI"	522	11025	12172	11600	0	0	3	6	0	34	0	144	0	0	0	0	0	0	16	3	0	0	0	29	0	0	0	0	741	0	41	0	0	0	0	0	6	4	6	0	0	4	0	0
15803	24298	"Chutti Boltigen"	46.63333	7.3925	525	"AWI"	525	11111	12303	11723	0	0	1	3	0	26	0	70	1	0	0	2	0	0	23	4	0	0	0	10	0	0	0	0	729	0	52	3	0	0	0	0	4	2	3	0	0	7	0	0
