"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Juniperus"	"Larix"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Urticaceae"
14515	22736	"Juf Plan"	46.62639	10.25972	2.5	"AWI"	2.5	116	566.5	297.5	1	0	10	0	0	0	0	2	0	0	0	0	0	164	0	4	2	1	0	0	0	1	13	108	0	0	1	2	0	0	0	0	8	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	5	"AWI"	5	337	961	607	1	0	5	0	1	1	7	0	1	0	1	0	2	143	2	1	0	0	0	1	0	0	20	108	0	18	0	1	0	1	0	0	4	0	1
14515	22736	"Juf Plan"	46.62639	10.25972	10	"AWI"	10	872	1661	1238	1	0	12	0	0	0	0	0	0	2	0	0	1	190	0	0	0	0	1	1	0	0	13	161	0	0	0	0	0	0	0	0	18	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	15	"AWI"	15	1442	2309	1857	2	1	46	0	0	1	4	2	0	0	0	1	0	122	0	2	1	2	0	0	1	0	31	219	0	0	1	0	0	0	1	0	5	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	20	"AWI"	20	2051	2922	2485	4	1	27	0	0	1	0	0	0	0	0	0	1	74	0	0	0	0	1	0	0	0	58	221	0	0	0	1	0	0	0	0	1	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	25	"AWI"	25	2702	3484	3111	4	0	62	0	1	1	0	0	1	0	3	0	1	219	0	0	1	0	0	0	0	0	46	252	0	0	2	0	0	0	0	0	1	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	30	"AWI"	30	3412	4045	3726	2	0	17	0	0	1	4	1	0	0	0	1	0	101	0	0	0	0	0	0	0	0	26	151	0	0	0	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	35	"AWI"	35	3917	4684	4294	1	0	8	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	0	30	138	0	0	1	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	40	"AWI"	40	4429	5296	4864	3	0	14	0	0	2	0	2	0	0	0	0	1	85	0	0	0	0	1	0	0	0	23	146	0	0	0	1	0	0	0	0	0	1	0
14515	22736	"Juf Plan"	46.62639	10.25972	45	"AWI"	45	4980	5865	5429	2	0	14	0	1	0	0	0	0	0	0	0	0	71	0	0	0	0	2	0	0	0	29	141	0	0	0	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	50	"AWI"	50	5556	6411	6001	2	0	13	0	2	0	0	1	0	0	0	0	0	127	0	0	0	0	1	0	0	0	31	174	0	0	1	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	55	"AWI"	55	6147	6943	6576	3	0	5	1	0	1	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	33	186	0	0	0	1	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	60	"AWI"	60	6760	7435	7147	1	0	0	0	0	0	0	1	0	0	0	0	1	72	0	0	0	0	0	0	0	0	19	206	0	0	0	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	65	"AWI"	65	7258	8094	7695	0	0	1	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	5	68	0	0	0	0	0	0	0	0	0	0	0
14515	22736	"Juf Plan"	46.62639	10.25972	67	"AWI"	67	7457	8364	7918	0	0	0	0	0	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	11	112	0	0	0	0	0	1	0	1	0	0	0
