"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Iridaceae"	"Juniperus"	"Lamiaceae"	"Linaceae"	"Lythraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Sorbus"	"Tilia"	"Ulmus"	"Urticaceae"
3165	4115	"Isokärret"	60.214606	22.798556	0	"AWI"	0	-116	55	-20	0	35	2	2	2	0	378	0	1	0	0	0	0	0	3	91	0	0	0	0	0	127	0	0	0	0	0	41	555	0	32	0	1	0	0	4	0	0	4	0	2	1	0	0	0	1	0
3165	4115	"Isokärret"	60.214606	22.798556	10	"AWI"	10	-60	250	52	0	32	2	0	2	0	285	0	0	0	0	0	0	1	1	11	0	0	0	0	0	33	0	0	0	0	0	100	575	0	0	0	0	0	0	2	0	0	0	0	4	0	0	0	0	3	0
3165	4115	"Isokärret"	60.214606	22.798556	20	"AWI"	20	-9	392	138	0	21	0	0	1	0	238	0	0	0	0	0	0	0	0	5	0	0	0	0	0	33	0	0	0	0	0	56	679	2	33	0	0	0	0	3	0	0	0	0	6	1	0	0	0	2	0
3165	4115	"Isokärret"	60.214606	22.798556	30	"AWI"	30	51	517	223	0	77	7	2	5	0	333	0	1	0	0	0	0	2	1	61	0	0	0	1	0	176	1	0	0	0	0	101	474	0	152	0	0	0	7	6	0	1	5	1	29	0	2	0	0	0	0
3165	4115	"Isokärret"	60.214606	22.798556	40	"AWI"	40	112	648	304	0	61	3	3	2	0	293	1	0	4	0	0	0	1	3	39	0	0	0	1	0	25	0	1	0	0	0	95	545	2	118	0	0	1	0	7	0	0	0	0	27	2	0	1	0	0	0
3165	4115	"Isokärret"	60.214606	22.798556	50	"AWI"	50	185	770	387	0	54	1	1	4	0	159	0	0	0	0	0	0	2	4	34	0	0	1	1	0	28	1	0	0	0	0	142	638	0	50	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0
3165	4115	"Isokärret"	60.214606	22.798556	60	"AWI"	60	271	881	462	0	62	1	0	8	0	234	0	1	0	0	0	0	0	3	80	0	0	1	0	0	15	2	0	0	0	0	150	546	0	52	0	0	0	3	0	0	0	0	1	8	0	0	0	0	1	0
3165	4115	"Isokärret"	60.214606	22.798556	70	"AWI"	70	387	1007	557	0	126	1	0	3	0	242	0	0	0	0	0	0	0	4	134	0	0	0	3	0	7	0	0	0	0	0	162	452	0	44	1	1	0	0	10	0	0	0	0	6	0	1	0	0	1	0
3165	4115	"Isokärret"	60.214606	22.798556	75	"AWI"	75	633	1103	811	0	164	1	6	0	0	443	0	0	0	0	0	0	1	7	4	0	0	1	0	0	11	0	0	0	0	4	60	307	0	60	1	0	3	0	10	0	0	0	0	0	0	0	0	0	5	0
3165	4115	"Isokärret"	60.214606	22.798556	77.5	"AWI"	77.5	717.5	1175.5	933.5	0	167	0	1	0	0	470	0	1	0	0	0	0	4	5	2	0	0	1	1	0	6	0	0	0	0	3	59	288	0	0	0	0	1	0	13	0	0	0	0	8	0	0	0	4	4	0
3165	4115	"Isokärret"	60.214606	22.798556	80	"AWI"	80	785	1282	1048	0	149	0	3	3	0	460	0	0	0	0	0	1	6	13	4	5	0	0	3	0	0	0	0	0	0	4	69	263	0	0	0	0	2	0	29	0	0	0	0	1	0	0	0	2	8	0
3165	4115	"Isokärret"	60.214606	22.798556	82.5	"AWI"	82.5	908	1459	1192.5	0	171	0	2	5	0	492	0	1	0	0	0	0	7	21	4	0	0	0	1	1	0	0	0	0	19	4	56	248	0	0	0	1	1	0	19	0	0	0	0	3	0	0	0	5	8	1
3165	4115	"Isokärret"	60.214606	22.798556	85	"AWI"	85	983	1700	1331	0	199	0	1	1	0	451	0	0	0	0	0	0	2	12	2	0	0	0	0	0	0	0	0	0	0	5	63	237	0	0	1	1	1	0	14	0	2	0	0	4	1	4	0	6	12	0
3165	4115	"Isokärret"	60.214606	22.798556	87.5	"AWI"	87.5	1030	1982	1462.5	0	216	0	1	1	0	479	0	0	0	0	0	0	2	10	3	0	1	1	3	0	2	0	0	0	0	3	59	193	0	0	0	0	0	0	23	0	2	0	0	2	0	0	0	3	13	0
3165	4115	"Isokärret"	60.214606	22.798556	90	"AWI"	90	1061	2277	1597	0	201	0	0	3	0	441	0	0	0	0	0	0	12	17	0	0	1	0	3	0	1	0	0	0	0	2	86	201	0	0	0	1	0	0	37	0	0	0	0	1	2	3	0	2	10	0
3165	4115	"Isokärret"	60.214606	22.798556	92.5	"AWI"	92.5	1288	2330.5	1742	0	164	1	1	5	0	451	0	0	1	0	0	0	10	22	3	0	0	0	0	0	0	0	0	2	0	1	87	250	0	0	0	1	0	0	27	0	0	0	0	4	0	1	0	7	5	1
3165	4115	"Isokärret"	60.214606	22.798556	95	"AWI"	95	1434	2392	1894	0	167	1	3	3	0	449	0	0	0	0	0	0	8	24	2	0	0	0	3	0	0	0	0	0	0	4	81	247	0	0	0	0	0	0	20	0	0	0	0	4	0	0	0	4	7	0
