"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Balsaminaceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Frangula"	"Fraxinus"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Myrica"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"	"Viburnum"
3265	45381	"Lake Maardu"	59.43333	25	1	"AWI"	1	-122	62	-35	0	168	3	7	31	0	0	359	3	0	0	0	0	0	0	19	0	15	0	0	8	0	0	0	9	0	0	1	0	1	1	0	0	0	2	39	350	0	0	0	0	1	15	0	0	0	3	0	21	0	0	0	1	2	2	0	5	0	0
3265	45381	"Lake Maardu"	59.43333	25	5	"AWI"	5	-78	365	72	0	233	9	11	24	0	0	340	0	0	0	0	0	0	0	18	0	54	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	31.5	310	0	0	0	7	0	13	0	0	0	1	0	20	0	0	0	0	1	2	0	8	2	0
3265	45381	"Lake Maardu"	59.43333	25	10	"AWI"	10	-51	779	202	0	183	4	8	17	0	0	375	0	1	0	0	0	0	0	25	1	47	1	0	8	0	1	0	8	0	0	7	0	0	2	0	0	0	2	53	265	0	0	0	0	0	11	0	0	0	6	0	26	0	0	0	1	3	1	0	0	0	0
3265	45381	"Lake Maardu"	59.43333	25	15	"AWI"	15	48	898	380	0	212	2	17	12	0	0	350	5	0	0	0	0	0	0	33	0	63	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	0	1	52.5	319.5	0	0	0	1	0	16	0	0	0	6	0	20	0	0	0	0	2	1	0	3	0	0
3265	45381	"Lake Maardu"	59.43333	25	20	"AWI"	20	103	1130	545	0	200	8	13	11	0	0	357	1	0	0	0	0	1	0	28	0	62	0	0	0	0	0	0	3	0	0	6	0	0	1	0	4	0	0	65	273	0	0	0	0	1	15	0	0	0	9	0	13	2	0	0	0	5	3	0	9	0	0
3265	45381	"Lake Maardu"	59.43333	25	22	"AWI"	22	194	1164	622	1	169	3	10	15	0	0	353	3	0	4	0	0	0	1	39	0	99	0	0	0	0	0	0	0	0	0	5	0	0	1	0	2	0	3	61	312.5	0	0	0	0	0	18	0	0	0	4	0	29	0	0	0	0	2	5	0	10	0	0
3265	45381	"Lake Maardu"	59.43333	25	24	"AWI"	24	251	1204	699	0	201	2	22	9	0	0	345	3	0	17	0	0	0	1	46	0	159	0	0	0	0	0	0	3	0	0	6	0	0	0	0	0	0	2	49.5	293	0	0	0	0	0	17	0	0	0	8	0	30	1	0	0	0	0	6	0	7	0	0
3265	45381	"Lake Maardu"	59.43333	25	27	"AWI"	27	307	1285	822	0	228	4	18	10	0	0	401	8	0	12	0	0	0	0	26	0	165	0	0	0	0	0	1	1	0	0	6	0	0	2	0	0	0	1	54	291.5	0	0	0	3	0	12	0	0	0	13	0	24	0	0	0	0	2	5	0	7	0	0
3265	45381	"Lake Maardu"	59.43333	25	30	"AWI"	30	358	1408	936	0	188	0	7	10	0	1	368	5	0	6	0	0	0	0	24	0	77	0	0	0	0	0	0	4	0	0	9	0	0	0	0	0	0	1	55	309	0	0	0	2	2	19	0	1	0	2	0	10	0	0	0	0	6	7	0	10	0	0
3265	45381	"Lake Maardu"	59.43333	25	37	"AWI"	37	696	1500	1180	1	258	2	4	11	0	0	401	0	0	9	0	0	0	0	35	0	44	0	0	0	0	1	0	6	0	0	10	0	0	0	0	0	0	3	57	240	0	0	0	0	0	25	0	0	0	1	0	19	0	0	0	0	2	10	0	8	1	0
3265	45381	"Lake Maardu"	59.43333	25	41	"AWI"	41	841	1592	1313	0	232	2	4	14	0	0	378	0	0	2	0	0	0	0	39	0	22	0	0	0	0	0	2	4	0	0	10	0	0	0	0	0	0	4	64	242	0	0	0	2	0	18	0	0	0	1	0	10	0	0	0	0	3	5	0	13	0	0
3265	45381	"Lake Maardu"	59.43333	25	44	"AWI"	44	1061	1617	1381	0	236	0	1	9	0	0	371	0	0	5	0	0	0	0	37	0	43	0	0	0	0	0	1	1	0	0	10	0	0	0	0	0	0	1	60	232	0	0	0	0	0	24	0	0	0	1	0	14	0	0	0	0	1	6	0	15	0	0
3265	45381	"Lake Maardu"	59.43333	25	47	"AWI"	47	1254	1657	1460	1	223	2	3	14	0	0	403	0	0	0	0	0	0	0	31	0	53	0	0	0	0	1	0	3	0	0	15	0	0	0	0	0	3	1	71	236	0	0	0	0	0	18	0	0	0	1	0	12	0	0	0	0	0	7	0	15	1	0
3265	45381	"Lake Maardu"	59.43333	25	51	"AWI"	51	1367	1743	1560	0	224	4	0	15	0	0	405	0	0	6	0	0	0	0	48	0	37	0	0	0	0	0	0	3	0	0	19	0	0	0	0	0	0	3	66	245	0	0	0	0	0	23	0	0	0	0	0	12	0	0	0	0	1	6	0	6	0	0
3265	45381	"Lake Maardu"	59.43333	25	54	"AWI"	54	1402	1787	1592	0	214	4	4	17	0	0	380	0	0	0	0	0	0	0	28	0	32	0	0	0	0	0	0	3	1	0	26	0	0	1	0	0	0	4	56	214.5	0	0	0	0	0	27	0	0	0	0	0	19	0	0	0	0	0	7	0	8	0	0
3265	45381	"Lake Maardu"	59.43333	25	57	"AWI"	57	1425	1849	1622	0	242	1	2	8	0	0	402	1	0	7	0	0	0	0	34	0	33	0	0	0	0	2	0	3	0	0	12	0	0	0	0	0	0	2	65	190	0	0	0	1	1	28	0	0	0	1	0	17	0	0	0	0	1	7	0	19	2	0
3265	45381	"Lake Maardu"	59.43333	25	61	"AWI"	61	1462	1928	1661	0	274	2	5	16	0	0	479	0	0	3	0	0	0	0	38	0	14	0	0	0	0	0	4	5	0	0	12	0	0	0	0	0	0	3	40	165	0	0	0	3	0	18	0	0	0	2	0	9	0	0	0	0	2	6	0	16	0	0
3265	45381	"Lake Maardu"	59.43333	25	64	"AWI"	64	1497	1982	1696	0	224	4	5	10	0	0	417	1	0	0	0	0	0	0	35	0	22	0	0	0	0	0	0	6	0	0	9	0	0	0	0	1	0	5	67	205	0	0	0	0	0	28	0	0	0	0	0	14	0	0	0	0	3	4	0	16	1	0
3265	45381	"Lake Maardu"	59.43333	25	68	"AWI"	68	1531	2063	1740	0	226	0	3	7	0	0	423	1	0	0	0	0	0	0	24	0	34	0	0	0	0	1	0	4	0	0	10	0	0	0	0	0	0	2	59	191	0	0	0	1	0	27	0	0	0	2	0	18	0	0	0	0	0	4	0	14	2	0
3265	45381	"Lake Maardu"	59.43333	25	71	"AWI"	71	1583	2137	1783	0	242	0	1	12	0	0	446	1	0	2	0	0	0	0	31	0	21	0	0	0	0	0	0	10	0	0	6	0	0	0	0	0	0	3	66	190	0	0	0	1	0	27	0	0	0	0	0	16	0	0	0	0	0	5	0	11	0	0
3265	45381	"Lake Maardu"	59.43333	25	75	"AWI"	75	1671	2296	1876	0	236	1	3	9	0	0	481	1	0	0	0	0	0	0	33	0	17	0	0	0	0	0	1	4	0	0	2	0	0	1	0	1	0	2	38.5	132	0	0	0	0	1	34	0	0	0	1	0	15	0	0	0	0	1	6	0	17	1	0
3265	45381	"Lake Maardu"	59.43333	25	77	"AWI"	77	1694	2381	1923	0	243	1	0	12	0	0	473	1	0	0	0	0	0	0	24	0	28	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	6	46	133	0	0	0	1	0	26	0	0	0	0	0	20	0	0	0	0	1	8	0	15	0	0
3265	45381	"Lake Maardu"	59.43333	25	81	"AWI"	81	1780	2573	2045	0	225	2	3	10	0	0	449	1	0	0	0	0	0	0	40	0	21	0	0	0	0	1	0	4	0	0	11	0	0	0	0	0	0	3	39	169	0	0	0	3	0	35	0	0	0	0	0	16	0	0	0	0	2	7	0	7	0	0
