"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ericales"	"Fagus"	"Fraxinus"	"Juglans"	"Lamiaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Primulaceae"	"Quercus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Violaceae"
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	10	"AWI"	10	-80	370	71	0	0	28	0	0	0	1	0	18	1	0	5	14	0	0	6	0	0	0	3	0	40	2	8	0	5	0	0	0	0	0	0	0	0	0	1	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	15	"AWI"	15	-66	590	138	0	0	31	0	0	0	1	0	13	0	0	6	0	0	0	8	0	0	0	3	0	37	0	5	0	8	0	0	2	0	0	0	0	0	0	0	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	20	"AWI"	20	-53	802	206	0	0	61	0	0	0	0	0	36	0	0	14	1	0	0	18	1	0	0	11	1	70	0	12	0	26	0	0	10	1	0	0	0	3	3	1	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	25	"AWI"	25	10	852	293	0	0	47	0	0	0	1	0	29	0	0	17	3	0	0	16	0	0	0	9	0	78	0	12	0	20	0	0	1	0	0	0	0	0	1	0	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	30	"AWI"	30	44	914	385	2	0	55	1	0	0	0	0	24	0	0	13	8	0	0	21	0	0	0	8	0	65	3	8	0	10	0	2	6	3	0	0	0	1	1	0	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	35	"AWI"	35	71	1015	471	0	0	57	0	0	0	1	0	30	0	0	11	3	0	0	18	0	0	0	9	0	67	1	8	0	15	0	0	4	1	0	0	0	1	0	1	1
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	40	"AWI"	40	92	1151	554	1	0	57	0	0	0	2	0	41	1	0	11	5	0	0	21	0	0	2	7	0	57	1	6	0	16	0	0	7	0	0	0	0	1	0	0	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	50	"AWI"	50	246	1247	721	0	0	40	0	0	0	0	0	36	0	0	7	4	0	0	15	0	0	0	13	1	72	1	7	0	19	0	1	3	1	0	0	0	1	1	0	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	55	"AWI"	55	290	1318	809	0	0	51	0	0	0	1	0	26	0	0	16	2	0	0	33	0	0	3	10	0	63	1	7	0	18	0	0	1	0	0	0	0	0	1	0	0
14558	22824	"Ahlbecker Seegrund"	53.65556	14.22083	60	"AWI"	60	324	1436	890	2	0	51	0	0	0	2	0	25	0	0	10	2	0	0	37	1	0	0	10	0	53	2	5	0	21	0	0	5	0	0	0	0	1	0	0	0
