"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15908	24493	"Tanneurs"	47.21389	-1.55722	735	"AWI"	735	2083	4444	3283	0	0	89	4	3	2	2	0	2	0	0	0	0	0	0	0	0	0	24	0	1	0	0	0	4	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	16	0	0	0	0	0	0	48	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	750	"AWI"	750	2164	4507	3352	1	0	60	1	0	0	0	0	4	0	0	0	0	0	0	1	1	0	22	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	42	0	1	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	770	"AWI"	770	2254	4579	3441	3	0	146	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	36	0	4	0	0	0	1	4	2	0	0	0	0	0	1	0	0	0	0	0	1	0	24	3	0	0	0	0	0	52	0	2	0	0	0	3	1	0	0	0	0	0	0	6	1	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	785	"AWI"	785	2308	4644	3507	0	0	104	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	28	0	3	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	19	0	0	0	0	0	0	89	0	10	0	0	0	0	0	0	0	0	1	0	0	17	3	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	915	"AWI"	915	2943	5130	4131	0	0	52	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	930	"AWI"	930	3036	5172	4199	0	0	40	5	1	0	0	0	0	1	2	0	0	0	0	0	0	0	13	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	20	0	2	0	0	0	0	0	0	0	0	0	0	2	6	2	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	950	"AWI"	950	3112	5226	4288	0	0	54	10	0	2	0	0	6	0	0	0	0	0	0	0	0	0	39	0	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	40	3	0	8	3	0	1	96	1	2	0	0	0	0	1	0	0	0	1	0	0	9	3	2	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	985	"AWI"	985	3263	5364	4461	3	0	83	19	0	2	3	0	3	0	0	0	0	0	0	0	0	1	28	0	8	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	31	2	1	0	0	0	0	131	0	3	0	0	0	0	3	0	0	0	0	0	0	13	0	0	0	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	1010	"AWI"	1010	3426	5430	4571	4	3	71	17	1	3	1	3	5	0	0	0	0	0	0	0	0	0	25	0	6	0	0	0	0	3	1	0	0	0	0	0	1	0	0	1	0	0	0	0	25	1	0	0	0	0	0	149	0	13	0	0	0	1	0	1	0	0	0	0	0	11	3	0	1	0	0
15908	24493	"Tanneurs"	47.21389	-1.55722	1045	"AWI"	1045	3626	5526	4730	2	0	57	23	0	1	0	0	8	0	0	0	0	0	0	0	0	0	19	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	3	0	0	0	0	0	157	0	5	0	0	0	0	1	0	0	0	0	0	0	11	1	0	0	0	1
