"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Fraxinus"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Primulaceae"	"Prunus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Taxus"	"Tilia"	"Ulmus"	"Viburnum"
23790	41214	"Aveley marshes"	51.49222	0.2225	44	"AWI"	44	3295	3538	3409	39	4	2	1	1	39	1	1	0	0	6	87	5	0	5	0	2	4	0	69	2	0	23	0	2	3	0	3	0	4	3	0
23790	41214	"Aveley marshes"	51.49222	0.2225	52	"AWI"	52	3420	3641	3522	173	0	0	3	1	0	0	1	0	0	30	3	0	0	5	0	5	1	1	10	0	1	37	0	0	0	0	2	11	12	8	0
23790	41214	"Aveley marshes"	51.49222	0.2225	60	"AWI"	60	3531	3760	3634	153	0	1	0	0	0	1	1	0	0	25	2	6	0	0	0	2	0	0	0	0	0	64	0	0	0	0	2	18	18	6	0
23790	41214	"Aveley marshes"	51.49222	0.2225	68	"AWI"	68	3640	3873	3747	156	0	0	5	0	0	0	0	0	0	14	0	4	0	2	0	2	0	0	0	0	0	64	0	0	0	0	2	41	12	2	0
23790	41214	"Aveley marshes"	51.49222	0.2225	76	"AWI"	76	3750	3992	3861	160	0	1	3	0	0	0	0	0	1	23	1	5	0	0	0	0	0	0	0	0	0	61	1	0	0	0	2	26	10	4	0
23790	41214	"Aveley marshes"	51.49222	0.2225	84	"AWI"	84	3864	4107	3975	184	1	0	2	0	0	0	0	0	0	8	0	5	2	0	0	0	1	0	3	0	0	57	0	0	0	0	8	24	6	0	0
23790	41214	"Aveley marshes"	51.49222	0.2225	92	"AWI"	92	3980	4217	4087	139	0	0	5	0	0	1	0	1	0	16	2	5	2	0	0	0	0	0	0	1	0	81	0	0	0	0	3	38	6	3	0
23790	41214	"Aveley marshes"	51.49222	0.2225	100	"AWI"	100	4102	4337	4198	119	1	0	0	0	0	0	0	0	0	13	1	7	3	1	0	0	0	0	0	0	0	42	0	0	0	0	1	0	4	2	1
23790	41214	"Aveley marshes"	51.49222	0.2225	108	"AWI"	108	4200	4455	4308	147	1	2	3	0	0	1	0	0	0	15	2	15	1	4	0	1	0	0	0	0	0	49	0	0	0	0	2	0	4	2	0
23790	41214	"Aveley marshes"	51.49222	0.2225	116	"AWI"	116	4308	4572	4417	149	0	1	2	0	0	2	0	0	0	25	9	4	1	1	0	1	0	0	0	0	0	64	0	0	0	0	2	34	6	0	0
23790	41214	"Aveley marshes"	51.49222	0.2225	124	"AWI"	124	4417	4689	4526	163	0	4	0	0	0	0	0	0	0	26	18	2	0	0	0	2	0	0	0	0	1	76	0	0	0	0	0	0	2	1	0
23790	41214	"Aveley marshes"	51.49222	0.2225	132	"AWI"	132	4532	4800	4634	163	1	0	1	0	0	2	0	1	0	14	18	3	1	1	0	0	0	0	0	0	0	78	0	0	0	0	6	0	13	1	0
23790	41214	"Aveley marshes"	51.49222	0.2225	140	"AWI"	140	4627	4927	4749	160	1	3	1	0	0	1	0	0	0	28	17	1	0	0	1	7	0	0	0	0	0	53	0	0	1	1	5	0	15	4	0
