"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"Ilex"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15909	24495	"Ilot Sully"	47.2225	-1.55139	425	"AWI"	425	24	621	431	0	1	2	4	0	0	1	0	24	2	0	0	0	0	0	0	0	1	0	0	20	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	16	48	1	0	0	0	0	89	0	0	0	0	0	2	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	430	"AWI"	430	103	627	454	1	5	4	1	0	0	2	0	22	0	1	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	31	42	0	0	0	0	0	60	0	0	0	0	0	2	0	0	0	1	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	435	"AWI"	435	178	633	476	3	6	1	4	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	27	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	2	0	24	52	0	0	0	0	0	146	0	0	0	3	0	1	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	440	"AWI"	440	256	640	498	0	17	0	6	1	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	89	1	0	0	0	0	104	0	0	1	0	0	3	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	445	"AWI"	445	331	648	521	0	8	3	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	70	0	0	0	0	0	52	0	0	0	0	0	4	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	450	"AWI"	450	403	656	546	0	6	0	5	0	0	2	0	13	0	0	0	0	0	0	1	0	0	0	0	37	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	20	0	0	0	0	0	40	0	0	0	0	0	2	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	455	"AWI"	455	469	668	574	0	9	6	10	1	0	1	0	39	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	40	96	0	1	0	2	0	54	0	0	0	3	0	3	1	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	460	"AWI"	460	512	692	603	3	13	3	19	0	0	1	0	28	3	0	0	0	0	0	0	0	0	0	1	17	0	1	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	31	131	0	0	0	0	0	83	0	0	1	2	0	0	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	465	"AWI"	465	531	734	631	4	11	5	17	0	0	1	0	25	1	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	3	0	0	0	0	1	0	1	0	0	0	1	0	0	3	0	0	0	0	0	1	0	25	149	0	0	0	0	1	71	1	0	0	1	0	3	0	0	0	0	0
15909	24495	"Ilot Sully"	47.2225	-1.55139	470	"AWI"	470	542	801	656	2	11	8	23	0	1	0	0	19	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	32	157	0	0	0	0	0	57	0	0	0	3	0	1	0	0	0	0	0
