"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Juniperus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"
3303	4287	"Lake Mullsjön"	58.31761	14.21136	798	"AWI"	798	9358	10165	9547	5	0	0	1	0	171	0	0	72	1	0	0	0	0	2	0	728	0	24	0	1	0	0	2	0	6	0	1	0	3
3303	4287	"Lake Mullsjön"	58.31761	14.21136	803	"AWI"	803	9576	10559	9827	0	0	1	2	0	147	0	0	65	4	2	0	0	0	0	0	778	0	13	0	2	0	0	0	0	3	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	807	"AWI"	807	10024	10748	10354	0	0	0	2	0	122	0	0	14	1	6	0	0	0	1	1	519	0	17	0	0	0	0	0	0	8	0	0	0	1
3303	4287	"Lake Mullsjön"	58.31761	14.21136	810	"AWI"	810	10268	11005	10741	0	0	0	10	0	279	0	0	2	6	11	0	0	0	4	0	298	0	16	0	1	0	0	0	0	16	0	0	0	2
3303	4287	"Lake Mullsjön"	58.31761	14.21136	815	"AWI"	815	10506	11306	11051	1	1	1	8	0	369	0	0	1	8	13	0	0	1	32	0	235	0	14	0	0	0	0	0	0	25	0	1	0	3
3303	4287	"Lake Mullsjön"	58.31761	14.21136	817	"AWI"	817	10563	11341	11097	0	2	0	5	0	214	0	0	0	30	19	0	0	0	73	0	265	1	20	0	0	0	0	0	2	26	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	819	"AWI"	819	10612	11389	11145	0	2	1	8	0	317	0	0	2	17	18	0	0	0	72	1	229	1	31	0	0	0	0	0	2	25	0	1	0	1
3303	4287	"Lake Mullsjön"	58.31761	14.21136	820	"AWI"	820	10627	11415	11167	0	0	0	5	0	113	0	0	1	24	11	0	0	0	18	0	203	0	14	0	0	0	0	0	0	15	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	822	"AWI"	822	10666	11482	11211	1	6	0	7	0	253	1	0	2	23	2	1	0	0	29	1	261	0	19	0	0	0	0	1	3	31	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	825	"AWI"	825	10735	11516	11256	2	6	0	13	0	297	0	0	0	32	1	0	0	0	14	0	273	0	26	0	0	0	0	1	7	25	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	830	"AWI"	830	10816	11600	11332	7	9	1	27	0	235	0	0	0	21	0	0	0	0	4	1	53	0	2	0	0	0	0	2	3	14	0	1	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	835	"AWI"	835	10883	11683	11392	14	10	0	29	0	169	0	0	0	55	0	0	0	0	10	1	41	0	20	0	0	1	0	0	0	18	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	840	"AWI"	840	10937	11758	11444	2	6	0	23	0	124	0	0	2	42	1	0	0	0	14	2	284	0	12	0	0	0	0	2	2	11	0	1	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	845	"AWI"	845	10997	11834	11498	6	14	0	31	0	189	0	1	13	38	1	0	0	0	5	0	222	0	8	2	0	0	0	2	0	15	0	1	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	850	"AWI"	850	11052	11895	11553	5	2	0	18	2	97	0	0	0	37	0	0	0	0	20	1	358	0	11	0	0	0	0	3	0	10	0	1	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	855	"AWI"	855	11115	11956	11607	13	12	1	42	2	108	0	2	6	20	0	0	0	0	80	4	147	0	37	0	0	0	0	0	7	18	0	0	0	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	860	"AWI"	860	11166	12013	11662	14	9	0	16	0	104	0	0	10	24	0	0	0	0	67	2	293	0	20	3	2	0	0	4	4	9	0	1	0	1
3303	4287	"Lake Mullsjön"	58.31761	14.21136	865	"AWI"	865	11228	12073	11718	15	7	0	11	0	116	0	0	10	10	1	0	0	0	11	4	260	0	8	0	0	0	0	0	2	12	0	0	1	3
3303	4287	"Lake Mullsjön"	58.31761	14.21136	870	"AWI"	870	11283	12129	11773	6	3	0	18	0	154	0	0	5	26	0	0	0	0	26	2	266	0	14	2	3	0	0	0	3	3	0	0	2	0
3303	4287	"Lake Mullsjön"	58.31761	14.21136	875	"AWI"	875	11361	12183	11827	20	19	1	48	0	207	1	1	5	22	0	0	0	1	11	2	211	0	31	0	0	0	0	2	1	8	0	4	0	0
