"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Caryophyllaceae"	"Castanea"	"Corylus"	"Cyperaceae"	"Ericales"	"Euphorbiaceae"	"Fagus"	"Fraxinus"	"Geraniaceae"	"Juglans"	"Juniperus"	"Larix"	"Olea"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rumex"	"Tilia"	"Ulmus"	"Urticaceae"
3527	4555	"Plateau de Prarion"	45.88472	6.74944	20	"AWI"	20	-15	899	287	5	0	40	2	0	1	0	5	0	0	0	1	1	5	95	2	0	14	2	0	15	3	1	4	1	103	39	10	51	12	5	0	4	2	0	8
3527	4555	"Plateau de Prarion"	45.88472	6.74944	40	"AWI"	40	26	1830	609	26	1	18	1	0	1	0	1	0	0	0	0	0	1	6	0	0	21	0	0	3	0	0	0	0	232	11	2	0	11	2	0	2	0	0	1
3527	4555	"Plateau de Prarion"	45.88472	6.74944	60	"AWI"	60	253	2153	1031	16	2	67	0	0	2	0	18	0	0	0	0	0	13	23	0	0	43	0	0	3	1	1	0	1	145	27	7	27	30	1	2	0	1	3	1
3527	4555	"Plateau de Prarion"	45.88472	6.74944	70	"AWI"	70	324	2370	1240	14	0	62	2	0	1	2	5	0	0	0	0	0	15	34	0	1	30	1	0	0	0	0	1	3	130	9	5	20	24	2	0	3	1	0	2
3527	4555	"Plateau de Prarion"	45.88472	6.74944	100	"AWI"	100	797	2934	1835	14	0	49	1	0	1	0	8	0	0	0	0	0	23	46	1	0	63	0	0	0	2	1	1	1	142	26	7	0	35	0	0	2	0	0	0
3527	4555	"Plateau de Prarion"	45.88472	6.74944	120	"AWI"	120	1030	3259	2260	16	4	56	2	0	0	3	10	0	0	0	0	0	11	42	0	0	35	0	0	5	0	1	1	0	143	12	0	0	29	3	0	4	1	2	4
3527	4555	"Plateau de Prarion"	45.88472	6.74944	140	"AWI"	140	1571	3485	2607	29	1	63	1	0	4	0	17	0	0	0	0	0	16	31	1	0	42	0	0	0	0	0	1	1	150	13	0	0	26	0	0	1	0	1	3
3527	4555	"Plateau de Prarion"	45.88472	6.74944	160	"AWI"	160	1934	3723	2977	55	0	34	2	0	0	0	10	0	0	1	0	0	3	45	0	0	66	1	0	0	0	0	0	0	243	27	0	8	29	0	0	1	2	1	0
3527	4555	"Plateau de Prarion"	45.88472	6.74944	180	"AWI"	180	2527	3930	3290	56	1	56	0	0	1	0	10	0	0	0	0	0	11	27	0	0	40	0	0	0	0	0	0	0	170	17	2	0	14	1	0	0	1	4	0
3527	4555	"Plateau de Prarion"	45.88472	6.74944	200	"AWI"	200	2946	4204	3607	111	0	23	0	0	0	0	4	0	0	0	0	0	1	10	0	0	15	0	0	0	0	0	1	0	194	19	0	0	12	0	0	0	0	1	0
3527	4555	"Plateau de Prarion"	45.88472	6.74944	220	"AWI"	220	3153	4553	3877	59	3	54	1	0	2	0	21	0	0	0	0	0	46	20	0	0	66	1	0	0	0	0	0	1	110	21	0	0	18	3	0	0	0	6	0
3527	4555	"Plateau de Prarion"	45.88472	6.74944	240	"AWI"	240	3304	4970	4114	103	5	0	2	0	1	0	11	0	0	0	0	0	4	20	1	1	82	1	0	0	0	1	0	0	36	36	2	0	28	2	0	0	0	5	0
3527	4555	"Plateau de Prarion"	45.88472	6.74944	260	"AWI"	260	3516	5322	4343	122	8	53	4	0	0	0	53	0	0	0	0	0	22	65	0	0	59	0	0	0	1	1	0	0	19	40	0	0	36	1	3	1	1	12	0
