"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acanthaceae"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celtis"	"Convolvulaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Indeterminable"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Malvaceae"	"Olea"	"Ostrya.Carpinus"	"Phillyrea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Rutaceae"	"Scrophulariaceae"	"Ulmaceae"	"Ulmus"	"Urticaceae"	"Vitaceae"
23788	41205	"Burmarrad ria"	35.935	14.41444	900	"AWI"	900	5340	5881	5608	0	0	0	16	1	0	4	5	0	0	0	1	0	2	0	0	0	13	0	7	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	3	102	0	0	58	0	0	13	3	0	0	0	2	0	0	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	910	"AWI"	910	5394	5930	5667	1	0	0	19	1	0	1	12	0	1	0	2	0	1	0	0	0	5	1	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	3	75	0	0	54	0	0	18	2	0	0	0	1	0	0	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	920	"AWI"	920	5446	5990	5725	0	0	0	16	0	0	0	7	0	0	0	9	0	0	0	0	0	7	0	2	0	0	1	0	0	0	0	20	0	0	0	0	1	0	1	0	100	0	0	49	0	0	15	5	4	0	0	7	0	0	1	1	1	0
23788	41205	"Burmarrad ria"	35.935	14.41444	930	"AWI"	930	5510	6030	5786	0	0	1	5	1	0	2	6	0	0	0	5	0	0	1	0	1	10	0	5	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	72	0	0	66	0	0	6	4	0	0	0	7	0	2	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	940	"AWI"	940	5574	6077	5845	0	0	0	1	1	0	0	6	95	0	0	5	0	0	0	0	0	7	2	4	0	0	0	0	0	0	1	5	0	0	0	4	0	1	0	2	128	0	0	28	0	0	9	1	0	0	0	2	0	0	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	950	"AWI"	950	5632	6114	5906	0	0	1	25	4	0	0	3	0	0	0	1	0	1	0	0	0	13	0	5	0	0	0	0	0	0	0	16	0	0	1	2	0	1	1	4	83	0	0	0	0	0	22	1	0	0	0	13	0	0	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	960	"AWI"	960	5700	6156	5964	0	0	0	6	0	0	0	8	120	0	0	3	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	1	145	0	0	37	0	0	6	0	0	0	0	3	0	0	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	970	"AWI"	970	5760	6192	6022	0	0	0	7	0	0	0	9	0	0	0	7	0	2	0	0	2	13	0	7	0	0	0	1	0	0	0	27	0	0	0	0	0	1	0	5	132	0	0	0	0	0	8	2	0	0	0	7	0	2	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	980	"AWI"	980	5850	6226	6077	0	0	1	7	1	0	1	5	0	0	2	8	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	146	0	0	31	0	0	3	0	0	0	0	1	0	3	0	0	0	0
23788	41205	"Burmarrad ria"	35.935	14.41444	990	"AWI"	990	5921	6255	6138	0	0	0	2	0	0	0	10	0	0	0	3	0	2	0	0	1	9	0	5	0	0	0	0	0	0	0	11	0	0	1	0	3	2	0	2	175	0	0	31	0	0	8	1	0	0	0	1	0	0	0	0	0	0
