"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Alnus"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Droseraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Ilex"	"Juniperus"	"Lamiaceae"	"Myrica"	"Orobanchaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Saxifragaceae"	"Scrophulariaceae"	"Sorbus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
3423	4436	"Sluggan Moss"	54.77694	-6.25833	2	"AWI"	2	-89	94	2	12	1	0	0	1	14	0	0	0	52	4	0	0	0	0	4	0	0	0	0	0	0	0	7	39	0	0	12	2	0	0	1	0	0	0	0	0	0	1	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	4	"AWI"	4	-72	173	36	50	0	0	0	2	18	0	0	0	190	17	0	0	0	2	5	0	0	0	0	0	0	4	12	80	0	0	32	0	0	0	0	1	0	0	0	0	0	9	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	8	"AWI"	8	-51	357	102	67	0	0	0	2	33	1	0	1	129	41	0	0	0	1	9	0	0	0	0	0	0	4	12	39	0	0	52	3	0	0	0	5	0	0	0	0	0	6	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	12	"AWI"	12	0	443	183	8	0	0	0	4	23	1	0	0	58	119	0	0	0	0	1	0	0	0	0	0	1	1	23	64	0	0	30	2	0	0	3	2	0	0	1	0	0	2	0	1
3423	4436	"Sluggan Moss"	54.77694	-6.25833	16	"AWI"	16	31	551	261	32	0	0	0	1	37	0	0	0	187	123	0	0	1	0	2	0	0	0	0	0	1	1	30	65	0	0	38	2	0	0	3	4	0	0	0	0	0	0	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	20	"AWI"	20	93	638	341	20	0	0	0	2	40	0	0	0	208	178	0	0	0	0	1	0	1	0	1	0	0	1	19	60	0	0	26	2	0	0	2	3	0	0	0	0	0	0	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	24	"AWI"	24	148	714	432	71	0	0	0	2	32	0	0	0	163	53	0	0	0	0	1	0	0	0	0	0	0	0	11	22	0	0	35	0	0	0	2	2	0	0	0	0	0	1	2	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	32	"AWI"	32	316	858	609	62	0	0	0	0	35	0	0	0	164	40	0	0	0	0	8	0	0	0	0	0	0	0	4	23	0	0	26	2	0	0	0	4	0	1	0	0	0	5	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	36	"AWI"	36	428	930	701	72	0	0	0	0	27	0	0	0	175	16	0	0	0	0	16	0	0	0	0	0	0	0	6	28	0	0	27	2	0	0	1	2	0	1	0	0	0	2	0	3
3423	4436	"Sluggan Moss"	54.77694	-6.25833	38	"AWI"	38	531	956	740	76	0	0	1	0	24	0	0	0	141	35	0	0	0	0	17	0	0	0	0	0	0	2	20	39	0	0	38	0	0	0	5	5	0	0	0	0	0	1	0	2
3423	4436	"Sluggan Moss"	54.77694	-6.25833	40	"AWI"	40	624	985	783	61	3	0	0	0	30	0	0	0	161	14	1	0	0	0	4	0	0	0	0	0	0	2	8	22	0	0	38	0	0	0	0	3	0	0	0	0	0	4	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	42	"AWI"	42	696	1012	833	108	1	0	1	0	96	0	0	1	162	16	0	0	0	0	3	0	0	0	0	0	0	2	6	11	0	0	36	0	0	0	1	6	0	0	0	0	0	0	0	1
3423	4436	"Sluggan Moss"	54.77694	-6.25833	44	"AWI"	44	766	1045	891	95	0	0	0	1	83	0	0	0	95	106	0	0	0	0	4	0	0	0	0	0	0	1	28	53	0	0	27	0	0	0	0	1	0	0	0	0	0	1	0	1
3423	4436	"Sluggan Moss"	54.77694	-6.25833	48	"AWI"	48	917	1162	1029	61	0	0	0	2	38	1	0	0	104	164	0	0	0	0	1	0	0	0	0	0	0	2	40	67	0	0	93	3	0	2	2	3	0	0	0	0	0	0	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	52	"AWI"	52	987	1375	1172	62	1	1	0	1	34	2	0	0	140	77	0	0	1	0	4	0	0	0	0	0	0	1	17	21	1	0	57	0	0	0	0	1	0	0	1	0	0	3	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	56	"AWI"	56	1071	1433	1251	60	1	0	0	1	29	0	0	0	151	17	0	0	0	0	4	0	0	0	0	0	0	2	17	21	0	0	66	0	0	0	0	1	0	0	2	0	0	0	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	60	"AWI"	60	1119	1543	1329	28	0	0	0	0	23	0	0	0	198	9	0	0	0	0	9	0	0	0	0	0	0	1	3	5	0	0	50	0	0	0	0	3	0	0	0	0	0	0	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	64	"AWI"	64	1242	1606	1403	29	0	0	0	0	31	0	0	1	186	21	0	0	0	0	6	0	0	0	0	0	0	0	3	2	0	0	48	0	0	0	1	2	0	0	0	0	0	3	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	72	"AWI"	72	1393	1758	1567	38	0	0	0	0	32	0	0	0	137	11	0	0	0	0	19	0	0	0	0	0	0	1	3	6	0	0	67	1	0	0	0	3	0	0	0	0	0	13	1	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	80	"AWI"	80	1499	1980	1727	45	0	0	0	0	65	0	0	0	146	26	0	0	0	0	14	0	1	0	0	0	0	2	0	5	0	0	71	0	0	0	1	6	0	0	0	0	0	16	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	88	"AWI"	88	1637	2136	1872	47	0	0	0	0	43	0	0	0	169	23	0	0	0	0	19	0	0	0	0	0	0	0	9	13	0	0	29	0	0	0	0	1	0	1	0	0	0	4	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	96	"AWI"	96	1790	2253	2037	66	1	1	0	0	37	0	0	0	134	16	0	0	1	0	24	0	1	0	0	0	0	1	2	21	0	0	45	1	0	0	0	4	0	3	0	0	0	0	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	100	"AWI"	100	1947	2285	2112	47	0	0	0	0	22	1	0	0	163	40	0	0	0	0	4	0	3	0	0	0	0	1	24	42	0	0	54	3	0	0	0	2	0	2	0	0	0	5	0	2
3423	4436	"Sluggan Moss"	54.77694	-6.25833	104	"AWI"	104	2021	2395	2195	84	0	0	0	0	60	0	0	0	121	30	0	0	0	0	6	0	0	0	0	0	0	1	5	34	0	0	24	2	0	0	1	7	0	0	0	0	0	3	0	0
3423	4436	"Sluggan Moss"	54.77694	-6.25833	108	"AWI"	108	2130	2608	2386	42	0	0	0	0	28	0	0	0	141	19	0	0	0	0	10	0	0	0	0	0	0	1	3	8	0	0	62	0	0	0	0	1	0	0	0	0	0	23	0	0
