"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Saxifragaceae"	"Scrophulariaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Vitaceae"
3012	3926	"Besbog"	41.732864	23.524038	5	"AWI"	5	-71	439	90	5	0	1	0	0	3	0	1	0	0	0	0	0	7	0	0	3	0	0	0	1	1	0	0	0	0	2	155	0	0	23	0	0	2	0	0	0	2	0	0	0	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	15	"AWI"	15	123	839	436	20	0	5	1	0	5	0	2	1	0	0	6	0	7	0	0	16	0	0	0	1	1	1	0	0	0	11	433	6	0	35	0	0	3	1	0	0	3	0	0	0	2	0	1
3012	3926	"Besbog"	41.732864	23.524038	20	"AWI"	20	250	1001	604	20	0	0	1	0	4	0	4	0	0	0	0	0	3	0	0	4	0	1	0	0	0	1	0	0	0	29	420	0	0	0	0	0	12	3	0	0	3	0	0	1	2	2	0
3012	3926	"Besbog"	41.732864	23.524038	25	"AWI"	25	404	1144	779	16	0	2	1	0	4	0	3	0	0	0	3	0	4	0	1	12	0	1	0	0	1	1	0	0	0	12	397	0	0	0	0	0	1	1	0	0	7	0	1	0	1	0	0
3012	3926	"Besbog"	41.732864	23.524038	30	"AWI"	30	554	1272	947	10	0	2	1	0	2	0	2	0	0	0	0	0	1	0	0	8	0	1	0	0	0	0	1	0	0	21	443	0	0	0	0	0	6	1	0	1	2	0	0	0	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	35	"AWI"	35	764	1410	1111	25	0	2	1	0	5	0	2	1	0	0	0	1	6	0	0	11	0	0	0	1	1	0	0	0	2	39	457	0	0	0	0	0	5	2	0	0	4	0	0	0	1	1	0
3012	3926	"Besbog"	41.732864	23.524038	40	"AWI"	40	1072	1537	1268	11	1	1	1	0	4	0	0	1	1	0	0	0	2	0	0	5	0	0	0	0	1	1	0	0	0	25	453	0	0	0	0	1	3	3	0	0	2	0	0	1	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	45	"AWI"	45	1233	2087	1532	15	0	4	1	0	2	0	1	1	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	1	0	21	477	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
3012	3926	"Besbog"	41.732864	23.524038	50	"AWI"	50	1389	2569	1848	13	0	0	1	0	4	0	1	0	0	0	13	1	2	0	0	4	0	2	0	0	1	1	1	1	0	15	470	0	0	0	0	0	2	3	0	0	1	0	0	0	0	0	1
3012	3926	"Besbog"	41.732864	23.524038	55	"AWI"	55	1591	2970	2179	22	2	2	0	0	4	0	4	0	2	0	6	1	3	0	0	10	1	1	0	1	0	1	2	0	0	14	427	0	0	0	0	0	5	5	0	0	5	0	0	2	2	0	0
3012	3926	"Besbog"	41.732864	23.524038	60	"AWI"	60	1817	3301	2517	28	0	0	0	0	0	0	5	0	0	0	2	2	4	0	0	5	0	0	0	0	0	0	1	0	0	8	314	0	1	0	0	0	2	0	0	0	4	0	0	0	3	0	1
3012	3926	"Besbog"	41.732864	23.524038	65	"AWI"	65	2094	3615	2857	106	0	6	1	0	2	0	7	1	0	0	10	2	8	0	0	6	0	1	0	0	0	1	3	0	0	8	397	0	0	0	0	0	9	4	0	0	6	0	0	0	5	0	0
3012	3926	"Besbog"	41.732864	23.524038	70	"AWI"	70	2395	3869	3196	83	0	5	2	0	3	0	6	1	0	0	0	1	7	0	1	2	0	0	0	0	1	0	0	0	0	1	338	0	0	0	0	0	6	7	0	0	9	0	0	3	6	1	0
3012	3926	"Besbog"	41.732864	23.524038	75	"AWI"	75	2779	4103	3527	69	0	5	1	0	4	0	8	0	0	0	0	5	17	0	1	6	1	1	0	0	2	0	1	0	0	7	355	0	0	0	0	0	8	4	0	1	10	0	0	2	3	3	0
3012	3926	"Besbog"	41.732864	23.524038	80	"AWI"	80	3213	4301	3847	74	0	3	0	0	5	0	7	0	0	0	0	1	7	0	0	1	0	0	0	0	2	0	0	0	0	0	353	0	0	0	0	0	5	3	0	0	10	0	1	0	8	0	0
