"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Arbutus"	"Artemisia"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Brassicaceae"	"Caryophyllaceae"	"Cistaceae"	"Corylus"	"Cyperaceae"	"Ericales"	"Eucalyptus"	"Fabaceae"	"Frangula"	"Fraxinus"	"Genista"	"Geraniaceae"	"Ilex"	"Juglans"	"Juniperus"	"Lamiaceae"	"Liliaceae"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rumex"	"Salix"	"Scrophulariaceae"	"Urticaceae"
24037	41755	"PRD-4"	42.53333	-8.51667	2.5	"AWI"	2.5	-67.5	144	26.5	1	9	0	2	7	0	0	0	23	0	1	10	2	21	0	25	0	5	1	15	0	0	0	2	2	0	165	14	43	1	43	0	6	0	0	1
24037	41755	"PRD-4"	42.53333	-8.51667	7.5	"AWI"	7.5	46.5	261	137.5	0	12	0	2	13	0	0	14	7	0	1	11	3	13	150	13	0	3	1	13	1	0	0	3	1	0	208	12	35	1	39	0	3	0	0	0
24037	41755	"PRD-4"	42.53333	-8.51667	12.5	"AWI"	12.5	155.5	498.5	324	0	11	0	0	31	0	0	12	3	1	0	0	2	6	170	6	0	0	0	11	2	0	0	2	0	0	198	0	0	0	35	0	0	0	0	0
24037	41755	"PRD-4"	42.53333	-8.51667	17.5	"AWI"	17.5	302	665	477	0	2	8	1	13	0	12	26	4	1	9	24	1	19	242	0	0	1	1	13	0	0	0	1	1	0	59	23	42	1	43	0	2	0	0	11
24037	41755	"PRD-4"	42.53333	-8.51667	22.5	"AWI"	22.5	473.5	808	635	0	2	2	1	7	0	5	30	13	11	5	28	1	5	233	0	0	2	12	4	1	1	0	2	1	0	36	5	60	5	66	0	1	0	0	2
24037	41755	"PRD-4"	42.53333	-8.51667	27.5	"AWI"	27.5	699.5	920	780	0	3	1	1	4	0	4	31	10	9	3	33	1	6	231	0	0	1	10	7	0	6	0	3	2	0	25	2	71	6	53	0	2	0	0	2
24037	41755	"PRD-4"	42.53333	-8.51667	32.5	"AWI"	32.5	857.5	1418.5	1081	0	1	1	1	2	0	21	4	41	31	2	96	1	66	168	0	0	3	11	41	0	3	0	2	2	0	0	0	0	1	117	0	1	0	0	0
24037	41755	"PRD-4"	42.53333	-8.51667	37.5	"AWI"	37.5	1078.5	1791	1394.5	0	3	2	2	1	0	2	52	32	6	1	46	2	29	42	0	0	2	2	17	0	1	0	2	1	0	0	75	0	1	154	0	1	0	0	4
24037	41755	"PRD-4"	42.53333	-8.51667	42.5	"AWI"	42.5	1334.5	2130	1719	0	2	3	1	0	0	0	63	31	11	1	0	1	24	46	0	0	3	3	15	0	0	0	0	0	0	0	104	0	1	141	0	0	0	0	11
24037	41755	"PRD-4"	42.53333	-8.51667	47.5	"AWI"	47.5	1626	2478.5	2046	0	11	1	2	3	0	11	39	25	2	4	0	4	31	45	0	0	3	4	16	1	1	0	5	1	0	0	64	0	2	139	0	1	0	2	8
24037	41755	"PRD-4"	42.53333	-8.51667	52.5	"AWI"	52.5	1928	2749	2362.5	0	12	0	0	4	0	22	19	19	0	7	0	7	26	37	0	0	5	2	14	0	0	2	6	2	0	0	19	0	4	122	0	0	0	2	1
24037	41755	"PRD-4"	42.53333	-8.51667	57.5	"AWI"	57.5	2284	2989.5	2673.5	0	21	5	2	3	0	2	33	29	3	4	22	13	67	15	0	0	2	3	16	1	3	0	2	2	4	2	7	0	2	133	0	2	1	9	5
24037	41755	"PRD-4"	42.53333	-8.51667	62.5	"AWI"	62.5	2671	3207	2991.5	0	24	7	0	5	0	0	53	33	0	7	0	12	89	0	0	2	1	0	21	0	6	0	1	1	6	0	0	0	1	117	0	3	3	13	11
24037	41755	"PRD-4"	42.53333	-8.51667	67.5	"AWI"	67.5	3117.5	3378.5	3275	0	29	1	1	7	0	1	47	39	5	3	19	21	77	20	0	2	1	8	31	1	3	0	3	2	3	4	2	0	2	199	0	2	3	3	7
24037	41755	"PRD-4"	42.53333	-8.51667	72.5	"AWI"	72.5	3301.5	3759.5	3499.5	0	41	2	2	11	0	0	34	47	6	4	12	19	43	26	0	2	1	11	19	0	3	0	2	2	4	3	2	0	2	177	0	1	3	3	1
24037	41755	"PRD-4"	42.53333	-8.51667	77.5	"AWI"	77.5	3479	4026.5	3736.5	0	36	0	0	9	0	0	33	56	8	1	0	24	53	36	0	1	2	16	25	0	0	0	0	0	0	0	0	0	0	213	0	0	5	2	0
