"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Juniperus"	"Lythraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"
3479	4498	"Tullerinsuo"	61.3398	21.95107	180	"AWI"	180	2278	2803	2558	0	21.8253968253968	0	0	0.198412698412698	0	35.4166666666667	0	0	0	0	0	0	0	0.297619047619048	2.97619047619048	0	0.0992063492063492	0	0	0	0	0.0992063492063492	0	0	9.32539682539683	28.0753968253968	0	0	0	0.0992063492063492	1.19047619047619	0	0	0	0	0	0	0	0.0992063492063492	0.297619047619048	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	185	"AWI"	185	2322	2830	2608	0	12.8331688055281	0	0	0.197433366238894	0	47.1865745310958	0	0	0	0	0	0	0	0.592300098716683	0.888450148075025	0	0	0	0	0	0	0.0987166831194472	0	0.296150049358342	13.7216189536032	23.395853899309	0	0	0	0	0.197433366238894	0	0	0	0	0.197433366238894	0.0987166831194472	0	0.197433366238894	0.0987166831194472	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	190	"AWI"	190	2358	2867	2659	0	15.1785714285714	0	0	0.0992063492063492	0	56.9444444444444	0	0	0	0	0	0	0	0.396825396825397	2.48015873015873	0	0	0	0	0	0	0	0	0.0992063492063492	8.53174603174603	15.1785714285714	0	0	0	0	0.297619047619048	0	0	0	0.0992063492063492	0	0.198412698412698	0	0.297619047619048	0.198412698412698	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	195	"AWI"	195	2409	2909	2704	0	12.2266401590457	0	0.099403578528827	0.298210735586481	0	60.8349900596421	0	0	0	0	0	0	0	0.099403578528827	1.0934393638171	0	0	0	0	0	0	0	0	0	7.15705765407555	17.2962226640159	0	0	0	0.099403578528827	0.596421471172962	0	0	0	0	0	0	0	0.099403578528827	0.099403578528827	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	200	"AWI"	200	2489	2930	2742	0	19.9211045364891	0.19723865877712	0	0.788954635108481	0	49.3096646942801	0	0	0	0	0	0	0	0	1.87376725838264	0	0	0	0	0.0986193293885602	0.0986193293885602	0	0	0	8.97435897435897	16.7652859960552	0	0	0	0	0.690335305719921	0	0.788954635108481	0	0	0	0.0986193293885602	0	0.19723865877712	0.19723865877712	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	205	"AWI"	205	2535	2956	2780	0	16.3725490196078	0	0	0.392156862745098	0	42.9411764705882	0	0	0	0	0	0	0	0.588235294117647	0.784313725490196	0	0.294117647058824	0	0	0	0	0	0	0	12.0588235294118	24.7058823529412	0	0	0	0	1.07843137254902	0	0.392156862745098	0	0.0980392156862745	0	0.196078431372549	0	0.0980392156862745	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	210	"AWI"	210	2571	2994	2821	0	24.0196078431373	0	0	0.196078431372549	0	36.4705882352941	0	0	0	0	0	0	0	0.686274509803922	1.96078431372549	0	1.07843137254902	0	0	0	0.0980392156862745	0	0	0.0980392156862745	16.1764705882353	18.2352941176471	0	0	0	0	0.196078431372549	0	0	0	0	0	0	0	0.196078431372549	0.588235294117647	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	215	"AWI"	215	2614	3036	2856	0	17.5693527080581	0	0	0.396301188903567	0	47.4240422721268	0	0	0	0	0.264200792602378	0	0	0.264200792602378	1.71730515191546	0	0.132100396301189	0	0	0	0.264200792602378	0	0	0.396301188903567	0.264200792602378	29.9867899603699	0	0	0	0	0.528401585204756	0	0	0	0	0	0	0	0.660501981505945	0.132100396301189	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	220	"AWI"	220	2658	3063	2882	0	14.1592920353982	0.0983284169124877	0	0.196656833824975	0	35.693215339233	0	0	0	0	0	0	0.196656833824975	0.688298918387414	1.5732546705998	0	0.0983284169124877	0	0	0	0.196656833824975	0.0983284169124877	0	0.0983284169124877	21.7305801376598	23.2055063913471	0	0	0	0	0.884955752212389	0	0	0	0	0.196656833824975	0	0.0983284169124877	0.688298918387414	0.0983284169124877	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	225	"AWI"	225	2694	3094	2906	0	14.4278606965174	0.099502487562189	0	0.099502487562189	0	27.0646766169154	0	0	0	0	0	0	0	0.099502487562189	1.49253731343284	0	0.099502487562189	0	0	0	0	0	0	0.099502487562189	35.5223880597015	19.6019900497512	0	0	0	0	0.895522388059702	0	0	0	0	0	0	0.099502487562189	0.199004975124378	0.199004975124378	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	230	"AWI"	230	2726	3139	2928	0	16.3021868787276	0	0	0	0	29.0258449304175	0	0	0	0	0	0	0	0.596421471172962	1.19284294234592	0	0	0	0	0	0	0	0	0	30.8151093439364	21.0735586481113	0	0	0	0	0.397614314115308	0	0	0	0	0	0	0	0.497017892644135	0.099403578528827	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	235	"AWI"	235	2766	3171	2956	0	9.31615460852329	0	0	0	0	31.3181367690783	0	0	0	0	0	0	0	0.693756194251734	0.89197224975223	0	0.198216055500496	0	0	0	0	0	0	0.0991080277502478	34.0931615460852	22.1010901883053	0	0	0	0	0.495540138751239	0	0	0	0	0	0	0	0.297324083250743	0.495540138751239	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	240	"AWI"	240	2803	3209	2985	0	11.0344827586207	0	0	0.0985221674876847	0	31.0344827586207	0.0985221674876847	0	0	0	0	0	0.0985221674876847	0.394088669950739	0.886699507389163	0	0.591133004926108	0	0	0	0	0	0	0	26.6009852216749	28.3743842364532	0	0	0	0	0.197044334975369	0	0	0	0	0.197044334975369	0	0	0.0985221674876847	0.295566502463054	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	245	"AWI"	245	2826	3257	3014	0	14.2300194931774	0	0	0.194931773879142	0	46.7836257309941	0	0	0	0	0	0	0	1.55945419103314	2.72904483430799	0	0.487329434697856	0	0	0	0.194931773879142	0	0	0.0974658869395711	12.5730994152047	19.7855750487329	0	0	0	0	0.292397660818713	0	0	0	0	0	0.194931773879142	0	0.487329434697856	0.389863547758285	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	250	"AWI"	250	2844	3315	3042	0	9.83118172790467	0.099304865938431	0	0.198609731876862	0	52.4329692154916	0	0	0	0	0	0	0	0	2.58192651439921	0	0.099304865938431	0	0	0	0	0.198609731876862	0	0	4.76663356504469	27.6067527308838	0	0	0	0	0.99304865938431	0	0	0	0	0	0	0	0.297914597815293	0.893743793445879	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	255	"AWI"	255	2872	3362	3080	0	17.5834970530452	0	0	0.0982318271119843	0	50.196463654224	0	0	0	0	0	0	0	0.589390962671906	2.16110019646365	0	0.884086444007859	0	0	0	0	0	0	0	5.69744597249509	21.5127701375246	0	0	0	0	0.68762278978389	0	0	0	0	0.0982318271119843	0	0	0.0982318271119843	0.294695481335953	0.0982318271119843
3479	4498	"Tullerinsuo"	61.3398	21.95107	260	"AWI"	260	2898	3424	3122	0	19.6461824953445	0	3.1657355679702	0.186219739292365	0	50.6517690875233	0	0	0	0	0	0.0931098696461825	0	1.39664804469274	3.07262569832402	0	1.30353817504655	0	0	0	0.279329608938547	0	0.37243947858473	0	3.35195530726257	14.2458100558659	0	0	0	0.0931098696461825	1.11731843575419	0	0	0	0.279329608938547	0	0.0931098696461825	0	0.279329608938547	0.37243947858473	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	265	"AWI"	265	2917	3515	3162	0	10.7379134860051	0	0	0.356234096692112	0	26.0050890585242	0	0	0	0	0	0	0	48.3460559796438	1.47582697201018	0	0.305343511450382	0	0	0	0	0	0	0.0508905852417303	5.08905852417303	6.97201017811705	0	0	0	0	0.407124681933842	0	0	0	0	0	0.101781170483461	0	0.0508905852417303	0.101781170483461	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	270	"AWI"	270	2930	3618	3200	0	13.7071651090343	0	0.155763239875389	0.233644859813084	0	39.8753894080997	0	0	0	0	0.155763239875389	0	0	19.4704049844237	2.80373831775701	0	1.4018691588785	0	0	0	0	0	0	0.0778816199376947	7.00934579439252	13.9408099688474	0	0	0	0	0.778816199376947	0	0	0	0.0778816199376947	0	0.155763239875389	0	0.155763239875389	0	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	275	"AWI"	275	2963	3673	3242	0	10.8063175394846	0.166251039068994	0.249376558603491	0.58187863674148	0	39.4014962593516	0.0831255195344971	0	0	0	0.0831255195344971	0	0	11.6375727348296	1.66251039068994	0	3.49127182044888	0	0	0.166251039068994	0.0831255195344971	0	0	0.0831255195344971	15.211970074813	14.1313383208645	0	0	0	0	1.08063175394846	0	0	0	0	0.249376558603491	0.332502078137988	0	0.166251039068994	0.332502078137988	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	280	"AWI"	280	2989	3732	3282	0	22.3484848484848	0	1.32575757575758	0.378787878787879	0	39.9621212121212	0	0	0	0	0.189393939393939	0	0	2.27272727272727	5.11363636363636	0.189393939393939	1.51515151515152	0	0	0	0.189393939393939	0	0	0	16.6666666666667	8.14393939393939	0	0	0	0	1.32575757575758	0	0	0	0	0	0.189393939393939	0	0	0.189393939393939	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	285	"AWI"	285	3009	3801	3321	0	4.5822102425876	0	1.34770889487871	0	0	25.8760107816712	0	0	0	0	0	0	0	4.5822102425876	1.61725067385445	0.539083557951483	13.4770889487871	0	0	0	0	0	0	0	21.5633423180593	25.6064690026954	0	0	0	0	0.269541778975741	0	0	0	0.269541778975741	0	0	0	0	0.269541778975741	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	287.5	"AWI"	287.5	3015.5	3844	3341.5	0	2.53555967841682	0	0.0309214594928881	0.0618429189857761	0	12.1212121212121	0.0309214594928881	0	0	0	0	0	0	66.852195423624	0.587507730364873	0	3.43228200371058	0	0	0.0309214594928881	0.0309214594928881	0.0309214594928881	0	0	5.75139146567718	7.82312925170068	0	0	0	0	0.216450216450216	0	0	0	0	0.0309214594928881	0	0.0309214594928881	0.123685837971552	0.278293135435993	0
3479	4498	"Tullerinsuo"	61.3398	21.95107	290	"AWI"	290	3022	3890	3362	0	2.31362467866324	0	0.0701098387473709	0.0934797849964945	0	9.95559710212667	0.0467398924982473	0	0	0	0	0	0	75.8588455246553	0.560878709978967	0	0.467398924982472	0	0	0	0.0701098387473709	0	0	0	6.12292591727039	4.15985043234401	0	0	0	0	0.116849731245618	0	0	0	0.0233699462491236	0.0233699462491236	0	0	0.0467398924982473	0.0701098387473709	0
