"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Ilex"	"Iridaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Myrica"	"Onagraceae"	"Ostrya.Carpinus"	"Phytolaccaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnus"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Scrophulariaceae"	"Solanaceae"	"Sorbus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Violaceae"	"Vitaceae"
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	10	"AWI"	10	6261	6563	6408	3	0	103	4	0	0	0	0	2	0	0	0	0	1	0	0	3	0	0	0	0	0	24	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	0	24	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	44	2	0	0	0	2
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	20	"AWI"	20	6278	6574	6423	5	0	93	6	1	0	0	0	11	0	0	0	0	1	0	0	2	2	0	0	0	0	30	0	15	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	1	1	1	0	0	1	0	0	0	3	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	39	2	1	0	0	1
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	30	"AWI"	30	6293	6588	6436	2	0	82	3	0	0	0	0	3	0	1	0	0	1	0	0	2	1	0	0	0	0	28	0	5	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	4	0	0	0	0	0	35	0	0	1	0	0	0	0	0	0	0	1	0	1	4	0	53	0	1	0	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	40	"AWI"	40	6309	6600	6451	1	0	146	0	1	0	3	0	8	0	1	0	0	1	0	0	0	0	0	0	0	0	37	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	1	0	2	0	0	0	0	0	43	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	5	0	0	0	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	50	"AWI"	50	6325	6616	6465	3	0	48	13	1	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	23	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	38	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	4	4	0	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	65	"AWI"	65	6352	6634	6487	3	0	70	12	0	0	3	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	20	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	49	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	1	1	0	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	75	"AWI"	75	6367	6648	6501	0	1	96	6	0	1	0	0	11	0	0	0	0	0	0	0	2	1	0	0	0	0	22	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	33	2	2	0	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	85	"AWI"	85	6383	6661	6516	3	1	63	6	0	0	0	0	5	0	0	0	0	0	0	0	6	0	0	0	0	0	24	0	9	0	0	0	0	0	1	1	0	0	0	0	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	38	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	39	1	1	1	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	95	"AWI"	95	6397	6673	6531	2	0	82	1	1	0	1	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	27	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	0	0	0	11	0	0	0	0	0	45	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	56	1	2	0	0	0
15907	24491	"Montjean-sur-Loire"	47.3925	-0.85389	100	"AWI"	100	6404	6681	6538	0	1	70	1	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	28	0	26	0	0	0	0	0	1	2	0	2	0	0	0	0	0	5	1	0	0	0	0	0	0	2	0	2	0	8	0	0	0	0	0	70	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	35	1	0	0	0	1
