"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Arctostaphylos"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Carya"	"Caryophyllaceae"	"Castanea"	"Cedrus"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Cryptomeria"	"Cupressaceae"	"Cyperaceae"	"Elaeagnaceae"	"Engelhardia"	"Ephedraceae"	"Ericales"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Ilex"	"Juglandaceae"	"Juglans"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Liquidambar"	"Magnolia"	"Melanthiaceae"	"Myrica"	"Nyssa"	"Oleaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Podocarpus"	"Polemoniaceae"	"Polygonaceae"	"Populus"	"Primulaceae"	"Prunus"	"Pterocarya"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Saxifragaceae"	"Sciadopitys"	"Scrophulariaceae"	"Sequoia"	"Sorbus"	"Symplocos"	"Thalictrum"	"Tilia"	"Tsuga"	"Ulmus"	"Urticaceae"
15745	24181	"Labský dul"	50.762596	15.551962	20	"AWI"	20	97	1518	687	2.72373540856031	0	0	0.389105058365759	0	0	0	0.389105058365759	0	0	0	0	0	0.389105058365759	0	0	0	0	0	0	0	0	0.778210116731518	0	0	5.83657587548638	0	0	0	0	0	2.33463035019455	0	0	0	0	0	0.389105058365759	0	0	0	0	0	0	0	0	0	0	0	0	0	82.1011673151751	0	0	0	0	0	0	0	0	0	0	0	3.89105058365759	0	0	0	0	0	0.778210116731518	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	30	"AWI"	30	531	1925	1111	19.2307692307692	0.549450549450549	0	0.549450549450549	0	0	0	1.64835164835165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.59340659340659	0	0	2.1978021978022	0	0	0	0	0	9.89010989010989	0	0	0	0	0	0	0	0	0	0	0	0	0.549450549450549	0	0	0	0	0	2.74725274725275	50	0	0	0	0	0	0	0	0	0	0	0	2.74725274725275	0	0	0	0	0	2.74725274725275	0	0	0	0	0	0	0	0.549450549450549	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	40	"AWI"	40	1272	1993	1584	38.9078498293515	0	0	0.341296928327645	0	0	0	0.341296928327645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7542662116041	0	0	0.341296928327645	0	0	0	0	0	12.2866894197952	0.68259385665529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.43686006825939	33.7883959044369	0	0	0	0	0	0	0	0	0	0	0	4.43686006825939	0	0	0	0	0	0.68259385665529	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	60	"AWI"	60	2020	2338	2157	27.8592375366569	0	0	0	0	0	0	0.586510263929619	0	3.51906158357771	0	0	0	0.293255131964809	0	0	0	0	0	0	0	0	0.586510263929619	0	0	1.17302052785924	0	0	0	0	0	15.2492668621701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.46627565982405	46.3343108504399	0	0	0	0	0	0	0	0	0	0	0	2.93255131964809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	80	"AWI"	80	2250	2640	2381	28.1167108753316	0.26525198938992	0	0	0	0	0	0.795755968169761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97877984084881	0	0	2.6525198938992	0	0	0	0	0	13.5278514588859	0.530503978779841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.795755968169761	43.5013262599469	0	0	0	0	0	0	0	0	0	0	0	5.83554376657825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	100	"AWI"	100	2427	2815	2637	19.0114068441065	0.380228136882129	0	0	0	0	0	0.760456273764259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.84410646387833	0	0	11.0266159695817	0	0	0	0	0	29.277566539924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90114068441065	20.1520912547529	0	0	0	0	0	0	0	0	0	0	0	9.88593155893536	0	0	0	0	0	0.380228136882129	0	0	0	0	0	0	0	0.380228136882129	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	130	"AWI"	130	2794	2994	2879	22.8571428571429	0.714285714285714	0	0	0	0	0	0.714285714285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.2142857142857	0	0	1.78571428571429	0	0	0	0	0	16.4285714285714	1.07142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4285714285714	24.6428571428571	0	0	0	0	0	0	0	0	0	0	0	6.42857142857143	0	0	0	0	0	0.357142857142857	0	0	0	0	0	0	0	0	0	0	0	0.357142857142857
15745	24181	"Labský dul"	50.762596	15.551962	150	"AWI"	150	2880	3265	3039	28.4122562674095	0.278551532033426	0	0.557103064066852	0	0	0	2.22841225626741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.2562674094708	0	0	0.557103064066852	0	0	0	0	0	13.6490250696379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78551532033426	30.3621169916435	0	0	0	0	0	0	0	0	0	0	0	8.35654596100279	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278551532033426	0	0	0	0.278551532033426
15745	24181	"Labský dul"	50.762596	15.551962	165	"AWI"	165	3098	3539	3316	44.7368421052632	0	0	0.292397660818713	0	0	0	0.584795321637427	0	0	0	0	0	0.292397660818713	0	0	0	0	0	0	0	0	12.8654970760234	0	0	0.584795321637427	0	0	0	0	0	3.80116959064327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75438596491228	32.4561403508772	0	0	0	0	0	0	0	0	0	0	0	2.04678362573099	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584795321637427	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	170	"AWI"	170	3124	3699	3405	45.8083832335329	0.598802395209581	0	0	0	0	0	1.79640718562874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.1676646706587	0	0	0	0	0	0	0	0	4.79041916167665	0	0	0	0	0	0	0	0	0	0	0	0	0.598802395209581	0	0	0	0	0	0.898203592814371	24.8502994011976	0	0	0	0	0	0	0	0	0	0	0	3.2934131736527	0	0	0	0	0	0.898203592814371	0	0	0	0	0	0	0	0.29940119760479	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	180	"AWI"	180	3481	3985	3719	21.1864406779661	0	0	0	0	0	0	1.12994350282486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.864406779661	0	0	2.25988700564972	0	0	0	0	0	8.47457627118644	0.282485875706215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82485875706215	48.3050847457627	0	0	0	0	0	0	0	0	0	0	0	3.67231638418079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	200	"AWI"	200	4334	4695	4488	1.59235668789809	0	0	0	0	0	0	0.636942675159236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.2484076433121	0	0	4.77707006369427	0	0	0	0	0	1.91082802547771	2.86624203821656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318471337579618	59.2356687898089	0	0	0	0	0	0	0	0.955414012738854	0	0	0	4.45859872611465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	220	"AWI"	220	4489	4984	4688	1.6	0.8	0	0	0	0	0	0.4	0	10.4	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	6	0	0	0	0	0	2	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2	40.8	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	3.2	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	250	"AWI"	250	4772	5241	4968	0	0	0	0	0	0	0	1.02040816326531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.4489795918367	0	0	5.61224489795918	0	0	0	0	0	0.510204081632653	3.57142857142857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.510204081632653	56.1224489795918	0	0	0	0	0	0	0	0	0	0	0	5.10204081632653	0	0	0	0	0	1.53061224489796	0	0	0	0	0	0	0	0.510204081632653	2.55102040816327	0	0	0.510204081632653
15745	24181	"Labský dul"	50.762596	15.551962	270	"AWI"	270	5001	5439	5244	0	0	0	0	0	0	0	0.898203592814371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.1616766467066	0	0	0.598802395209581	0	0	0	0	0	1.19760479041916	0.29940119760479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.3652694610778	0	0	0	0	0	0	0	0	0	0	0	7.48502994011976	0	0	0	0	0	0.29940119760479	0	0	0	0	0	0	0	0.29940119760479	2.39520958083832	0	0	0
15745	24181	"Labský dul"	50.762596	15.551962	300	"AWI"	300	5374	5656	5508	1.42045454545455	0.568181818181818	0	0	0	0	0	0.852272727272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	0	0	1.42045454545455	0	0	0	0	0	6.53409090909091	1.70454545454545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568181818181818	67.0454545454545	0	0	0	0	0	0	0	0	0	0	0	7.10227272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.284090909090909
15745	24181	"Labský dul"	50.762596	15.551962	330	"AWI"	330	5540	5760	5662	0.977198697068404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.5211726384365	0	0	1.62866449511401	0	0	0	0	0	0.325732899022801	0.651465798045603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69.3811074918567	0	0	0	0	0	0	0	0	0	0	0	3.58306188925081	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325732899022801	2.28013029315961	0	0	0.325732899022801
15745	24181	"Labský dul"	50.762596	15.551962	350	"AWI"	350	5649	5890	5783	0	0	0	0	0	0	0	2.37154150197628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.6403162055336	0	0	1.58102766798419	0	0	0	0	0	0	1.18577075098814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.1304347826087	0	0	0	0	0	0	0	0	0	0	0	7.11462450592885	0	0	0	0	0	1.18577075098814	0	0	0	0	0	0	0	0.790513833992095	0	0	0	0
