"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Corylus"	"Cyperaceae"	"Ericales"	"Fagus"	"Larix"	"Onagraceae"	"Ostrya.Carpinus"	"Oxalidaceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Ranunculaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Santalaceae"	"Tilia"	"Ulmus"
3328	4320	"Oltush Lake"	51.69667	23.95667	10	"AWI"	10	-52	331	93	0	19	0	0	0	0	0	6	0	2	1	0	0	12	0	4	109	0	3	0	12	0	0	0	0	0	1	1
3328	4320	"Oltush Lake"	51.69667	23.95667	30	"AWI"	30	129	547	355	0	40	0	0	2	0	0	2	0	1	2	0	0	6	0	4	94	1	1	0	9	0	0	1	0	0	2	1
3328	4320	"Oltush Lake"	51.69667	23.95667	45	"AWI"	45	399	641	530	0	16	0	0	0	0	0	2	2	2	3	0	0	8	0	1	130	0	1	0	9	0	0	0	0	0	1	2
3328	4320	"Oltush Lake"	51.69667	23.95667	55	"AWI"	55	583	1053	809	1	11	0	0	0	0	0	3	0	1	6	0	0	11	0	1	147	0	1	0	9	0	0	1	0	0	1	1
3328	4320	"Oltush Lake"	51.69667	23.95667	65	"AWI"	65	948	1553	1246	0	12	1	0	3	0	0	3	0	1	1	0	0	9	0	1	124	0	0	0	8	0	0	0	2	0	12	2
3328	4320	"Oltush Lake"	51.69667	23.95667	75	"AWI"	75	1431	1769	1618	0	26	0	0	1	0	0	2	1	0	1	0	0	6	0	1	126	0	0	0	15	0	0	0	0	0	1	3
3328	4320	"Oltush Lake"	51.69667	23.95667	85	"AWI"	85	1654	2098	1868	1	23	0	0	0	0	0	5	0	1	1	0	0	10	0	1	119	0	3	0	14	0	1	0	0	0	1	3
3328	4320	"Oltush Lake"	51.69667	23.95667	95	"AWI"	95	1874	2263	2066	0	20	0	0	0	0	0	4	1	1	5	0	0	9	0	1	123	0	0	1	12	0	0	1	0	0	1	1
3328	4320	"Oltush Lake"	51.69667	23.95667	105	"AWI"	105	2089	2778	2361	1	23	0	0	1	0	0	8	0	0	1	0	0	10	0	3	115	0	1	1	7	0	0	0	0	0	1	2
3328	4320	"Oltush Lake"	51.69667	23.95667	115	"AWI"	115	2264	3560	2761	0	22	1	0	0	0	0	5	1	1	22	0	1	10	0	1	105	0	0	0	7	0	0	0	0	0	1	5
3328	4320	"Oltush Lake"	51.69667	23.95667	125	"AWI"	125	2515	4247	3207	0	23	1	0	0	0	0	2	0	1	3	0	0	10	0	1	130	0	0	0	6	0	0	0	0	0	1	4
3328	4320	"Oltush Lake"	51.69667	23.95667	135	"AWI"	135	2813	4774	3679	0	2	0	0	0	0	0	12	0	1	2	0	0	7	0	1	112	0	0	0	12	0	0	0	0	0	1	6
3328	4320	"Oltush Lake"	51.69667	23.95667	145	"AWI"	145	3171	5238	4154	0	21	0	0	2	0	0	14	1	1	1	0	0	3	0	2	118	0	0	0	12	0	0	0	0	0	3	4
3328	4320	"Oltush Lake"	51.69667	23.95667	155	"AWI"	155	3530	5595	4573	0	20	0	0	0	0	0	12	0	0	1	0	0	4	0	2	128	0	1	1	13	0	0	0	0	0	2	4
3328	4320	"Oltush Lake"	51.69667	23.95667	165	"AWI"	165	3976	5883	4999	0	18	0	0	0	0	0	7	1	1	1	0	0	3	0	1	126	0	1	1	15	0	0	0	0	0	3	7
3328	4320	"Oltush Lake"	51.69667	23.95667	175	"AWI"	175	4395	6187	5474	0	15	0	0	1	0	0	6	0	0	1	0	0	3	0	1	130	0	2	0	14	0	0	0	0	0	1	2
3328	4320	"Oltush Lake"	51.69667	23.95667	185	"AWI"	185	5052	6432	5950	0	31	0	0	0	0	0	8	1	0	1	0	0	1	0	1	116	0	3	0	14	0	0	0	0	0	3	8
3328	4320	"Oltush Lake"	51.69667	23.95667	195	"AWI"	195	5888	6606	6357	0	22	0	0	1	0	0	14	0	1	1	0	0	1	0	1	125	0	0	0	7	0	0	0	0	0	6	7
3328	4320	"Oltush Lake"	51.69667	23.95667	205	"AWI"	205	6388	6844	6615	0	24	0	0	0	0	0	21	0	0	0	0	0	0	1	1	122	0	0	2	9	0	0	0	0	0	0	3
3328	4320	"Oltush Lake"	51.69667	23.95667	215	"AWI"	215	6493	7174	6762	0	16	1	0	1	0	0	13	0	0	0	0	0	0	1	1	122	0	1	0	6	0	0	0	0	0	5	15
3328	4320	"Oltush Lake"	51.69667	23.95667	225	"AWI"	225	6594	7393	6920	0	38	0	0	0	0	0	22	0	2	0	0	0	0	1	1	177	0	2	1	7	0	0	0	0	1	7	14
3328	4320	"Oltush Lake"	51.69667	23.95667	235	"AWI"	235	6719	7571	7083	0	20	0	0	1	0	0	8	0	1	0	0	0	0	0	1	140	0	2	1	7	0	0	0	0	0	3	10
