"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Amaryllidaceae"	"Apiaceae"	"Artemisia"	"Asparagaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Celastraceae"	"Cistaceae"	"Cornus"	"Corylus"	"Crassulaceae"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Juncaceae"	"Juniperus"	"Lamiaceae"	"Larix"	"Liliaceae"	"Melanthiaceae"	"Onagraceae"	"Orobanchaceae"	"Ostrya.Carpinus"	"Papaveraceae"	"Picea"	"Pinus"	"Plantaginaceae"	"Poaceae"	"Polygonaceae"	"Populus"	"Quercus"	"Ranunculaceae"	"Rhododendron"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Saxifragaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"	"Vitaceae"
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	10	"AWI"	10	-83	371	68	3	0	48	0	0	0	5	0	0	36	1	1	1	2	0	0	0	0	0	3	0	104	0	0	0	0	0	5	4	0	0	28	0	0	35	0	0	0	0	1	3	60	220	0	131	0	0	13	6	0	3	0	8	0	0	0	1	0	1	1	6	0	2
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	60	"AWI"	60	214	1605	759	0	0	21	0	0	0	3	0	0	16	0	0	2	4	0	0	0	0	0	2	0	65	0	0	0	0	0	2	1	0	0	2	17	0	9	0	0	0	0	1	0	23	93	0	53	0	0	4	0	2	0	0	4	0	0	0	1	2	0	0	1	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	90	"AWI"	90	530	2091	1201	2	0	13	1	0	0	5	0	0	6	0	0	0	13	0	0	0	0	0	2	0	33	1	0	0	0	0	0	0	0	0	4	26	0	15	0	0	0	0	3	0	32	93	0	46	0	0	2	0	0	0	0	1	0	0	0	1	4	0	1	2	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	100	"AWI"	100	613	2297	1345	0	0	6	0	0	0	0	0	0	6	0	0	0	9	0	0	0	0	0	3	0	16	0	0	0	0	0	0	0	0	0	0	7	0	8	0	0	0	0	0	0	28	74	0	30	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	110	"AWI"	110	738	2443	1501	0	0	53	0	0	4	18	0	0	34	0	0	1	27	0	0	0	0	0	6	0	38	0	0	0	0	0	3	0	0	0	7	23	0	55	0	0	0	1	6	0	75	245	0	162	0	3	19	0	1	0	0	21	1	0	0	0	0	0	0	2	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	130	"AWI"	130	945	2787	1809	2	0	27	0	0	0	7	0	0	16	0	0	1	11	0	0	0	1	0	4	0	52	0	0	0	0	0	11	0	0	0	2	41	0	48	0	0	0	0	14	0	67	188	0	87	0	3	7	0	0	0	0	10	2	0	0	0	1	0	2	4	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	150	"AWI"	150	1195	3115	2087	1	0	45	0	0	0	16	0	0	30	0	1	3	14	0	0	1	0	0	0	0	42	1	0	0	0	0	12	0	0	0	10	42	0	48	0	0	0	0	8	0	87	264	0	108	0	0	23	0	2	0	0	7	1	0	0	0	0	0	0	11	0	1
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	160	"AWI"	160	1304	3255	2229	1	0	15	0	0	0	2	0	0	9	0	0	0	4	0	0	0	0	0	1	0	16	0	0	0	0	0	4	0	0	0	2	13	0	25	0	0	0	0	0	0	29	65	0	38	0	0	8	0	0	0	0	8	1	0	0	0	0	0	1	0	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	170	"AWI"	170	1445	3379	2384	3	1	38	0	0	0	10	0	0	30	0	0	1	7	0	0	0	0	0	4	0	33	0	0	0	0	0	8	0	1	0	2	24	0	40	0	0	0	0	1	0	54	191	0	72	0	0	7	0	0	0	0	10	0	0	0	0	0	1	1	6	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	185	"AWI"	185	1635	3591	2610	4	0	45	0	0	0	9	0	0	17	0	0	2	2	0	0	0	1	0	8	0	19	1	0	0	0	0	12	0	0	0	3	12	0	28	0	0	0	0	3	0	57	148	0	34	0	0	13	0	0	0	0	5	0	0	0	1	0	0	2	0	0	1
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	195	"AWI"	195	1763	3719	2756	6	0	74	0	0	0	13	0	0	61	0	0	1	2	0	0	0	3	0	12	0	63	1	0	0	0	0	16	1	0	0	1	10	0	51	0	0	0	0	4	0	98	421	0	72	0	0	23	0	1	0	0	6	0	0	0	0	0	0	1	2	0	1
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	210	"AWI"	210	1974	3926	2962	8	1	50	0	0	0	8	0	0	28	0	1	4	3	0	0	0	0	0	11	0	55	0	0	0	0	0	14	1	0	0	2	11	0	49	0	1	0	0	1	0	68	230	0	72	0	0	28	0	1	0	0	4	1	0	0	0	0	0	1	7	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	220	"AWI"	220	2097	4072	3104	5	0	29	2	0	0	3	0	0	17	0	0	0	1	0	0	0	0	0	6	0	26	0	0	0	0	0	9	0	0	0	2	13	0	28	0	0	0	0	2	0	70	153	0	27	0	0	18	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	230	"AWI"	230	2243	4179	3247	5	0	54	1	0	0	9	0	0	21	0	1	0	5	0	0	0	0	0	8	0	81	0	0	0	0	0	15	0	0	0	2	20	0	36	0	0	0	1	3	0	71	209	0	64	0	0	10	0	2	0	0	4	0	0	0	0	1	1	1	3	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	240	"AWI"	240	2361	4317	3393	4	0	58	1	0	0	6	0	0	19	0	0	0	2	0	0	0	0	0	4	0	36	0	0	0	0	0	11	0	0	0	3	5	0	29	0	0	0	0	1	0	70	151	0	53	0	0	14	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	250	"AWI"	250	2500	4421	3532	7	4	75	1	0	0	23	0	0	51	0	1	0	8	0	0	0	0	0	14	0	63	0	0	0	0	0	24	1	0	0	3	34	0	44	0	0	0	0	1	0	67	236	0	114	0	0	21	0	1	0	0	10	1	0	0	1	2	0	1	6	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	260	"AWI"	260	2648	4548	3679	7	1	48	1	0	0	7	0	0	17	0	0	0	2	0	0	0	0	0	4	0	52	0	0	0	0	0	5	0	0	0	2	7	0	20	0	0	0	1	0	0	50	130	0	38	0	0	12	0	0	0	0	1	0	0	0	0	0	0	2	4	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	270	"AWI"	270	2803	4653	3821	11	2	74	0	0	0	8	0	0	50	0	0	2	0	0	0	0	0	0	19	0	54	0	0	0	0	0	16	1	0	0	0	5	0	62	0	0	0	1	0	0	102	301	0	47	0	0	35	0	0	0	2	3	0	0	0	0	3	0	0	2	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	280	"AWI"	280	2956	4768	3963	7	0	57	2	0	0	7	0	0	21	0	0	3	2	0	0	0	0	0	4	0	19	0	0	0	0	0	12	1	0	0	0	7	0	29	0	0	0	1	0	0	61	225	0	0	0	0	17	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	290	"AWI"	290	3135	4874	4102	26	2	125	4	0	0	17	0	0	92	0	2	0	1	0	0	1	1	0	13	0	41	1	0	0	0	0	23	0	0	0	0	21	0	95	0	0	0	0	0	0	143	445	0	69	0	0	45	0	0	0	0	12	3	0	0	0	0	0	3	2	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	300	"AWI"	300	3303	4990	4255	10	0	43	1	0	0	8	0	0	35	0	0	0	3	0	0	0	0	0	5	0	22	0	0	0	0	0	4	0	0	0	1	4	0	39	0	0	0	1	2	0	67	180	0	48	0	0	23	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	310	"AWI"	310	3478	5082	4401	37	2	47	0	0	0	7	0	0	71	0	0	2	1	0	0	0	0	0	14	0	41	0	0	3	0	0	11	2	0	0	0	14	0	74	0	0	0	1	2	0	64	501	0	47	0	0	42	0	2	0	0	3	2	0	0	1	0	0	3	1	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	320	"AWI"	320	3631	5191	4555	39	1	23	0	0	0	6	0	0	38	0	2	3	2	0	0	0	0	0	5	0	21	0	0	0	0	0	9	0	0	0	3	0	0	55	0	0	0	1	0	0	42	442	0	47	0	0	17	0	0	0	0	3	1	0	0	0	1	1	2	1	0	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	330	"AWI"	330	3841	5281	4700	35	0	16	0	0	0	2	0	0	37	0	0	0	0	0	0	0	0	0	6	0	20	0	0	0	0	0	10	0	0	0	1	8	0	41	0	0	0	2	0	0	30	302	0	28	0	0	24	0	0	0	1	2	1	0	0	0	1	0	4	2	1	0
3030	3946	"Boehnigsee Goldmoos"	46.25917	7.84306	340	"AWI"	340	4004	5369	4852	53	1	15	1	0	0	4	0	0	49	0	0	1	0	0	0	1	0	0	10	0	8	0	0	0	0	0	9	2	0	0	0	5	0	41	0	0	0	0	0	0	48	610	0	0	0	0	25	0	0	0	0	2	0	0	0	0	1	2	5	3	0	0
