"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Araliaceae"	"Artemisia"	"Asparagaceae"	"Asphodelaceae"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Buxus"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Castanea"	"Celtis"	"Cistaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Elaeagnaceae"	"Ephedraceae"	"Ericales"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Hypericaceae"	"Juniperus"	"Lamiaceae"	"Ligustrum"	"Liliaceae"	"Lythraceae"	"Malvaceae"	"Olea"	"Orobanchaceae"	"Ostrya.Carpinus"	"Phillyrea"	"Picea"	"Pinus"	"Pistacia"	"Plantaginaceae"	"Platanus"	"Plumbaginaceae"	"Poaceae"	"Polygonaceae"	"Quercus"	"Quercus.evg.type"	"Ranunculaceae"	"Rhamnaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Scrophulariaceae"	"Solanaceae"	"Tamarix"	"Taxus"	"Thalictrum"	"Thymelaeaceae"	"Tilia"	"Ulmus"	"Viburnum"	"Vitaceae"
3127	4071	"Giannitsa B"	40.66667	22.31667	920	"AWI"	920	7811	8103	7959	3	0	37	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	14	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	66	4	0	1	0	0	0	76	1	0	0	0	0	0	5	0	0	0	0	0	0	0	2	11	0	17
3127	4071	"Giannitsa B"	40.66667	22.31667	940	"AWI"	940	7849	8140	7995	7	2	49	68	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	116	30	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	34	1	0	145	4	0	0	0	107	0	226	2	0	0	0	1	0	6	0	0	0	0	0	0	0	10	15	0	16
3127	4071	"Giannitsa B"	40.66667	22.31667	960	"AWI"	960	7889	8177	8031	17	0	22	49	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	56	14	0	0	0	0	0	2	5	0	0	0	2	0	0	0	0	0	0	0	19	0	0	193	2	0	0	0	0	0	181	1	0	0	0	3	0	2	0	1	0	0	0	1	0	9	9	0	5
3127	4071	"Giannitsa B"	40.66667	22.31667	985	"AWI"	985	7934	8225	8076	5	1	13	243	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	53	14	0	0	0	0	0	0	11	0	0	0	3	0	0	0	0	0	0	0	6	1	0	32	3	0	1	0	963	0	89	0	0	0	0	2	0	4	0	0	0	0	0	0	0	6	5	0	5
3127	4071	"Giannitsa B"	40.66667	22.31667	1005	"AWI"	1005	7970	8264	8111	8	2	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	21	258	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	72	1	0	0	0	52	0	95	0	0	0	0	0	0	3	0	0	0	0	0	1	0	12	5	0	1
3127	4071	"Giannitsa B"	40.66667	22.31667	1020	"AWI"	1020	7996	8289	8138	7	1	14	16	0	2	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	25	45	0	0	0	0	0	0	5	0	0	1	2	0	0	0	0	0	0	0	5	0	0	116	3	0	0	0	98	0	155	0	0	0	0	0	0	5	0	0	0	0	0	1	0	10	8	0	14
3127	4071	"Giannitsa B"	40.66667	22.31667	1045	"AWI"	1045	8035	8335	8181	5	1	34	17	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	44	35	0	0	0	0	0	1	8	0	0	1	6	0	0	1	0	0	0	0	0	0	0	61	5	0	0	0	104	0	93	0	0	0	0	0	0	9	0	0	0	0	0	0	0	17	4	1	11
3127	4071	"Giannitsa B"	40.66667	22.31667	1060	"AWI"	1060	8059	8364	8208	17	0	24	11	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	29	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	91	3	0	0	0	0	0	81	0	0	0	0	2	0	9	1	0	0	0	0	0	0	14	6	0	14
3127	4071	"Giannitsa B"	40.66667	22.31667	1080	"AWI"	1080	8093	8404	8245	13	3	30	29	0	1	0	0	1	0	1	0	0	0	0	1	0	4	0	0	0	0	0	43	33	0	0	0	0	0	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	90	5	0	0	0	163	0	146	0	0	0	0	2	0	27	0	2	0	0	0	0	0	12	3	0	7
3127	4071	"Giannitsa B"	40.66667	22.31667	1120	"AWI"	1120	8159	8478	8316	14	0	32	15	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	22	27	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	0	1	0	8	0	0	69	2	0	0	0	86	0	54	0	0	0	0	0	0	2	0	4	0	0	1	1	0	7	7	0	4
3127	4071	"Giannitsa B"	40.66667	22.31667	1140	"AWI"	1140	8192	8516	8351	34	2	72	54	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	136	53	0	0	0	0	0	0	7	0	0	0	2	0	0	0	1	0	0	0	0	0	0	70	3	0	0	0	104	0	75	0	0	0	0	0	0	15	2	0	1	0	0	0	0	9	8	0	2
3127	4071	"Giannitsa B"	40.66667	22.31667	1158	"AWI"	1158	8222	8552	8384	13	0	28	63	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	26	23	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	48	2	0	0	0	115	0	72	0	0	0	0	0	0	7	0	1	0	0	0	0	0	8	6	0	5
3127	4071	"Giannitsa B"	40.66667	22.31667	1189	"AWI"	1189	8273	8610	8439	1	0	46	53	0	0	0	0	0	0	8	0	0	0	0	0	0	2	0	0	0	0	0	62	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	85	0	0	0	0	3	0	2	0	0	0	0	0	0	0	11	6	0	8
3127	4071	"Giannitsa B"	40.66667	22.31667	1223	"AWI"	1223	8330	8681	8500	1	0	11	78	0	1	0	0	0	0	4	0	0	0	0	0	0	1	1	0	0	0	1	57	24	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	2	0	0	0	0	0	15	1	0	0	0	124	0	83	2	0	0	0	3	0	2	1	0	0	0	0	1	0	18	5	0	9
